Approved symbol	Status	Previous symbols	Gene group ID	NCBI Gene ID
A1BG	Approved		594	1
A1BG-AS1	Approved	NCRNA00181, A1BGAS, A1BG-AS	1987	503538
A1CF	Approved		725	29974
A1S9T	Symbol Withdrawn			
A2M	Approved		2148	2
A2M-AS1	Approved		1987	144571
A2ML1	Approved	CPAMD9	2148	144568
A2ML1-AS1	Approved		1987	
A2ML1-AS2	Approved		1987	
A2MP1	Approved	A2MP		3
A2MR	Symbol Withdrawn			
A2MRAP	Symbol Withdrawn			
A3GALT2	Approved	A3GALT2P	429	127550
A4GALT	Approved	P1	442|454	53947
A4GNT	Approved		442	51146
A12M1	Entry Withdrawn			
A12M2	Entry Withdrawn			
A12M3	Entry Withdrawn			
A12M4	Entry Withdrawn			
AA	Symbol Withdrawn	AA		
AAAS	Approved		1051|362	8086
AABT	Entry Withdrawn			
AAC1	Symbol Withdrawn			
AAC2	Symbol Withdrawn			
AACS	Approved		40	65985
AACSP1	Approved	AACSL		729522
AACT	Symbol Withdrawn			
AADAC	Approved		465|464	13
AADACL2	Approved		465	344752
AADACL2-AS1	Approved		1987	101928142
AADACL3	Approved		465	126767
AADACL4	Approved		465	343066
AADACP1	Approved			201651
AADAT	Approved			51166
AAGAB	Approved			79719
AAK1	Approved		1835	22848
AAMDC	Approved	C11orf67		28971
AAMP	Approved		362	14
AANAT	Approved		1134	15
AAR2	Approved	C20orf4		25980
AARD	Approved	C8orf85		441376
AARS1	Approved	AARS	132	16
AARS1P1	Approved	AARSP1		106480683
AARS2	Approved	AARSL	132	57505
AARSD1	Approved			80755
AARSD1P1	Approved			
AASDH	Approved		40	132949
AASDHPPT	Approved			60496
AASS	Approved			10157
AATBC	Approved		1992	284837
AATF	Approved		1691	26574
AATK	Approved		1691|694|321	9625
AAVS1	Approved			17
ABALON	Approved		1992	103021294
ABAT	Approved			18
ABC1	Symbol Withdrawn			
ABC2	Symbol Withdrawn			
ABC3	Symbol Withdrawn			
ABC7	Symbol Withdrawn			
ABC50	Symbol Withdrawn			
ABCA1	Approved	ABC1, HDLDT1	805	19
ABCA2	Approved	ABC2	805	20
