NCBI GeneID	Symbol	Description	Common Name	Transcripts
7157	TP53	tumor protein p53	human	26
1956	EGFR	epidermal growth factor receptor	human	13
7124	TNF	tumor necrosis factor	human	1
348	APOE	apolipoprotein E	human	5
7422	VEGFA	vascular endothelial growth factor A	human	20
3569	IL6	interleukin 6	human	6
7040	TGFB1	transforming growth factor beta 1	human	3
4524	MTHFR	methylenetetrahydrofolate reductase	human	20
2064	ERBB2	erb-b2 receptor tyrosine kinase 2	human	33
3091	HIF1A	hypoxia inducible factor 1 subunit alpha	human	3
2099	ESR1	estrogen receptor 1	human	55
3586	IL10	interleukin 10	human	4
351	APP	amyloid beta precursor protein	human	11
1636	ACE	angiotensin I converting enzyme	human	9
672	BRCA1	BRCA1 DNA repair associated	human	368
6774	STAT3	signal transducer and activator of transcription 3	human	27
4318	MMP9	matrix metallopeptidase 9	human	1
1401	CRP	C-reactive protein	human	4
3845	KRAS	KRAS proto-oncogene, GTPase	human	6
627	BDNF	brain derived neurotrophic factor	human	17
673	BRAF	B-Raf proto-oncogene, serine/threonine kinase	human	25
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	human	2
367	AR	androgen receptor	human	6
207	AKT1	AKT serine/threonine kinase 1	human	20
5243	ABCB1	ATP binding cassette subfamily B member 1	human	4
3123	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	human	6
4790	NFKB1	nuclear factor kappa B subunit 1	human	17
7421	VDR	vitamin D receptor	human	10
3553	IL1B	interleukin 1 beta	human	3
1029	CDKN2A	cyclin dependent kinase inhibitor 2A	human	15
5728	PTEN	phosphatase and tensin homolog	human	3
1499	CTNNB1	catenin beta 1	human	22
7099	TLR4	toll like receptor 4	human	3
5743	PTGS2	prostaglandin-endoperoxide synthase 2	human	1
4846	NOS3	nitric oxide synthase 3	human	4
1080	CFTR	CF transmembrane conductance regulator	human	1
1312	COMT	catechol-O-methyltransferase	human	5
6622	SNCA	synuclein alpha	human	24
3576	CXCL8	C-X-C motif chemokine ligand 8	human	2
29126	CD274	CD274 molecule	human	6
7015	TERT	telomerase reverse transcriptase	human	4
5468	PPARG	peroxisome proliferator activated receptor gamma	human	16
6532	SLC6A4	solute carrier family 6 member 4	human	1
4609	MYC	MYC proto-oncogene, bHLH transcription factor	human	2
4137	MAPT	microtubule associated protein tau	human	68
3106	HLA-B	major histocompatibility complex, class I, B	human	4
2475	MTOR	mechanistic target of rapamycin kinase	human	13
999	CDH1	cadherin 1	human	4
3479	IGF1	insulin like growth factor 1	human	13
596	BCL2	BCL2 apoptosis regulator	human	9
3952	LEP	leptin	human	3
7852	CXCR4	C-X-C motif chemokine receptor 4	human	7
2944	GSTM1	glutathione S-transferase mu 1	human	3
3458	IFNG	interferon gamma	human	1
675	BRCA2	BRCA2 DNA repair associated	human	6
4193	MDM2	MDM2 proto-oncogene	human	9
3717	JAK2	Janus kinase 2	human	9
4313	MMP2	matrix metallopeptidase 2	human	5
920	CD4	CD4 molecule	human	9
4780	NFE2L2	NFE2 like bZIP transcription factor 2	human	8
5594	MAPK1	mitogen-activated protein kinase 1	human	2
595	CCND1	cyclin D1	human	1
3605	IL17A	interleukin 17A	human	1
5054	SERPINE1	serpin family E member 1	human	12
5444	PON1	paraoxonase 1	human	1
6347	CCL2	C-C motif chemokine ligand 2	human	1
1234	CCR5	C-C motif chemokine receptor 5	human	3
1026	CDKN1A	cyclin dependent kinase inhibitor 1A	human	12
5290	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	human	9
23411	SIRT1	sirtuin 1	human	3
332	BIRC5	baculoviral IAP repeat containing 5	human	3
406991	MIR21	microRNA 21	human	1
4879	NPPB	natriuretic peptide B	human	1
2952	GSTT1	glutathione S-transferase theta 1	human	11
6647	SOD1	superoxide dismutase 1	human	1
7097	TLR2	toll like receptor 2	human	16
4851	NOTCH1	notch receptor 1	human	3
960	CD44	CD44 molecule (IN blood group)	human	62
1493	CTLA4	cytotoxic T-lymphocyte associated protein 4	human	2
2950	GSTP1	glutathione S-transferase pi 1	human	1
2147	F2	coagulation factor II, thrombin	human	1
3146	HMGB1	high mobility group box 1	human	12
4233	MET	MET proto-oncogene, receptor tyrosine kinase	human	8
3105	HLA-A	major histocompatibility complex, class I, A	human	4
472	ATM	ATM serine/threonine kinase	human	32
6387	CXCL12	C-X-C motif chemokine ligand 12	human	5
1813	DRD2	dopamine receptor D2	human	6
2153	F5	coagulation factor V	human	1
3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	human	3
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase	human	8
2908	NR3C1	nuclear receptor subfamily 3 group C member 1	human	22
3077	HFE	homeostatic iron regulator	human	15
2146	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	human	80
7515	XRCC1	X-ray repair cross complementing 1	human	1
3162	HMOX1	heme oxygenase 1	human	1
1565	CYP2D6	cytochrome P450 family 2 subfamily D member 6	human	2
3383	ICAM1	intercellular adhesion molecule 1	human	1
5970	RELA	RELA proto-oncogene, NF-kB subunit	human	13
6696	SPP1	secreted phosphoprotein 1	human	5
1557	CYP2C19	cytochrome P450 family 2 subfamily C member 19	human	1
50943	FOXP3	forkhead box P3	human	2
154	ADRB2	adrenoceptor beta 2	human	1
2100	ESR2	estrogen receptor 2	human	16
3606	IL18	interleukin 18	human	5
120892	LRRK2	leucine rich repeat kinase 2	human	23
355	FAS	Fas cell surface death receptor	human	26
2932	GSK3B	glycogen synthase kinase 3 beta	human	5
3135	HLA-G	major histocompatibility complex, class I, G	human	40
5925	RB1	RB transcriptional corepressor 1	human	5
1432	MAPK14	mitogen-activated protein kinase 14	human	31
3565	IL4	interleukin 4	human	3
5133	PDCD1	programmed cell death 1	human	4
3480	IGF1R	insulin like growth factor 1 receptor	human	17
7450	VWF	von Willebrand factor	human	3
142	PARP1	poly(ADP-ribose) polymerase 1	human	1
335	APOA1	apolipoprotein A1	human	10
177	AGER	advanced glycosylation end-product specific receptor	human	34
183	AGT	angiotensinogen	human	2
5979	RET	ret proto-oncogene	human	41
6714	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	human	59
857	CAV1	caveolin 1	human	4
51738	GHRL	ghrelin and obestatin prepropeptide	human	11
2706	GJB2	gap junction protein beta 2	human	3
3688	ITGB1	integrin subunit beta 1	human	3
79068	FTO	FTO alpha-ketoglutarate dependent dioxygenase	human	37
10413	YAP1	Yes1 associated transcriptional regulator	human	19
3690	ITGB3	integrin subunit beta 3	human	1
4292	MLH1	mutL homolog 1	human	33
64127	NOD2	nucleotide binding oligomerization domain containing 2	human	32
836	CASP3	caspase 3	human	17
3630	INS	insulin	human	4
5621	PRNP	prion protein (Kanno blood group)	human	6
1543	CYP1A1	cytochrome P450 family 1 subfamily A member 1	human	3
3958	LGALS3	galectin 3	human	3
4582	MUC1	mucin 1, cell surface associated	human	21
