Symbol	ComplexName
A2M	A2M-BCHE complex
AAAS	Nuclear pore complex
AATF	AATF-NGDN-NOL10 complex
ABCB1	ABCB1-ANXA2-RACK1-SRC complex|ABCB1-PPP2R3C-TFPI2 complex
ABCB11	ABCB11-CHMP5 complex
ABCC9	KCNJ11-ABCC9 complex
ABCD4	ABCD4-LMBRD1 complex
ABCF2	SNW1 complex
ABCG5	ABCG5-ABCG8 sterol transporter
ABCG8	ABCG5-ABCG8 sterol transporter
ABI1	ABI1-WASF2 complex|ABI1-WASL complex|SOS1-ABI1-EPS8 complex|SOS1-ABI1-EPS8L1 complex|SOS1-ABI1-EPS8L2 complex|SOS1-ABI1-EPS8L3 complex|Wave-2 complex|c-Abl-CAS-Abi1 complex
ABI3	ABI3-WAVE2-CYFIP1 complex
ABL1	BRCA1-cABL complex|c-Abl-CAS-Abi1 complex|c-Abl-cortactin-nmMLCK complex
ABL2	ABL2-HRAS-RIN1 complex
ABRAXAS1	BRCA1 A complex
ABRAXAS2	ABRAXAS2-SHMT1 complex|ABRAXAS2-SHMT2 complex|BRISC complex
ACAD8	ARC complex
ACAP1	ACAP1-CLTC-SLC2A4 complex
ACD	Rap1 complex|TIN2 complex|TRF1-TIN2 complex|Telomere-associated protein complex
ACE	ACR-HSPA2-PDIA6 complex
ACE2	ACE2-SLC6A19 complex|ACE2-TMPRSS2 complex
ACHE	ACHE homotetramer|ACHE-NRXN1 complex
ACIN1	Apoptosis- and splicing-associated protein complex (SAP18, RNPS1, Acinus-L)|Apoptosis- and splicing-associated protein complex (SAP18, RNPS1, Acinus-S)|Spliceosome, A complex
ACTA2	Nop56p-associated pre-rRNA complex|WIP-WASp-actin-myosin-IIa complex
ACTB	ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex|Alpha-dystrobrevin-ZO-1-actin complex|BAF complex|CTGF/Hcs24-actin(beta/gamma) complex|Cofilin-actin-CAP1 complex|Emerin architectural complex|Emerin complex 1|Emerin complex 25|Emerin complex 32|Emerin complex 52|Emerin regulatory complex|Emerin-actin-NMI complex|Emerin-actin-NMI-(alphaII)spectrin complex|LARC complex (LCR-associated remodeling complex)|NUMAC complex (nucleosomal methylation activator complex)|P2X7 receptor signalling complex|PBAF complex|PBAF complex (Polybromo- and BAF containing complex)|Pre-initiation complex (ACTB, POLR2A, TBP)|ProTalpha C2 complex|TLE1 corepressor complex (MASH1 promoter-corepressor complex)|cBAF complex|ncBAF complex|p400-associated complex
ACTBL2	Spliceosome, E complex
ACTG1	BAF complex|CTGF/Hcs24-actin(beta/gamma) complex|DISC-FEZ1-F-actin complex
ACTG2	Nop56p-associated pre-rRNA complex
ACTL6A	BAF complex|BRD7-SWI\u2013SNF complex|BRG1-SIN3A complex|BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I|BRG1-associated complex|BRM-SIN3A complex|BRM-SIN3A-HDAC complex|BRM-associated complex|Brg1-associated complex I|Brg1-associated complex II|Brg1-based SWI/SNF complex|Brm-associated complex|DMAP1-associated complex|EBAFa complex|EBAFb complex|H2A.Z histone-exchange complex p400/TIP60|INO80 chromatin remodeling complex|LARC complex (LCR-associated remodeling complex)|NuA4/Tip60 HAT complex|NuA4/Tip60-HAT complex|NuA4/Tip60-HAT complex A|NuA4/Tip60-HAT complex B|PBAF complex|PBAF complex (Polybromo- and BAF containing complex)|PBAF complex, BAF200-specific|RNA polymerase II complex, chromatin structure modifying|SIN3-ING1b complex II|SRCAP complex|SRCAP-containing complex|SWI-SNF chromatin remodeling-related-BRCA1 complex|Spliceosome, E complex|TIP49-TIP48-BAF53 complex|TIP60 histone acetylase complex|TRRAP-BAF53-HAT complex|WINAC complex|c-MYC-ATPase-helicase complex|cBAF complex|ncBAF complex|p400-associated complex
ACTL6B	BAF complex
ACTN1	ACTN1-PARVB complex|Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)
ACTN4	CART complex|NHE3-NHERF2-ACTN4, Ca(2+) induced|P2X7 receptor signalling complex|SLC9A3R1-ACTN4 complex|Ternary complex (ACTN4, CAMK2A, LRRC7)
ACTR2	Arp2/3 protein complex
ACTR3	ARP3-WHAMM complex|Arp2/3 protein complex
ACTR5	INO80 chromatin remodeling complex
ACTR6	SRCAP complex|SRCAP-containing complex
ACTR8	INO80 chromatin remodeling complex
ADA	ADA-ADORA2A-DPP4 complex|ADA-DPP4 complex|SAGA complex, GCN5-linked
ADAM12	ADAM12-alphaVbeta3-integrin-MMP-14 complex|ITGA9-ITGB1-ADAM12 complex
ADAM15	ITGA5-ITGB1-ADAM15 complex|ITGA9-ITGB1-ADAM15 complex|ITGAV-ITGB3-ADAM15 complex
ADAM22	ADAM22-LGI1 complex
ADAM23	ITGAV-ITGB3-ADAM23 complex
ADAM8	ITGA9-ITGB1-ADAM8 complex
ADAM9	ITGA9-ITGB1-ADAM9 complex|ITGAV-ITGB5-ADAM9 complex
ADAR	DHX9-ADAR-vigilin-DNA-PK-Ku antigen complex
ADCY2	RXFP1 signalosome
ADCYAP1	ADCYAP1-GNAS-GNB1-GNGT1-VIPR1 complex
ADD2	SLC2A1-DMTN-ADD2 complex
ADGRA2	ADGRA2-DOCK1-ELMO2-GNB1-GNG2 complex
ADGRG1	GPR56-CD81-Galpha(q/11)-Gbeta complex
ADGRL3	FLRT3-LPHN3 complex|FLRT3-LPHN3-UNC5B complex|FLRT3-LPHN3-UNC5D complex
ADGRV1	USH2 complex
ADIPOQ	ADIPOQ-GLT25D1-PLOD3 complex
ADORA1	Adenosine A1 receptor - dopamine A1 receptor complex
ADORA2A	A2A-mGluR5 receptor complex|A2AR-CB1R complex|A2AR-D2R-CB1R receptor complex|ADA-ADORA2A-DPP4 complex|ADORA2-GAS2L2 complex|Adenosine A2A-dopamine D2 receptor complex
ADRA1A	ADRA1A-CXCR4 complex
ADRA2A	2AR-mGluR2 complex
ADRB1	ADRB1-CXCR4 complex|PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex|beta(1)-AR receptosome (ADRB1-SAP97-AKAP79-PRKAR2A)
ADRB2	ADRB2 homodimer complex|ADRB2-PTGER1 complex|BKCA-beta2AR complex|BKCA-beta2AR-AKAP79 signaling complex|CFTR-NHERF-beta(2)AR signaling complex
AEBP2	EED-EZH2 complex
AFDN	Afadin-beta-catenin complex
AFF1	AFF1-MLLT1-CBX8 complex|AFF4 super elongation complex (SEC)
AFF4	AFF4 super elongation complex (SEC)
AFG3L2	Frataxin complex
AGGF1	Spliceosome, A complex
AGK	TIM22 core complex (AGK, TIMM22, TIMM29), mitochondrial|TIM22 holo-complex (AGK, TIMM9, TIMM10, TIMM10B, TIMM22, TIMM29), mitochondrial
AGO2	AGO2-DICER1-HSP90AB1-TARBP2 complex|AGO2-FXR1-TNF(alpha)ARE-RNP complex|AGO2-PARN complex|RISC-loading complex|TRBP containing complex (DICER, TRBP, AGO2, RPL7A, EIF6, MOV10)|TTP-AGO2 complex
AGO4	TTP-AGO4 complex
AGPAT2	Seipin-AGPAT2 complex|Seipin-AGPAT2-lipin1 complex
AGPS	AGPS-GNPAT complex
AGT	proMBP-angiotensinogen complex|proMBP-angiotensinogen-c3dg complex
AGTR1	AGTR1-AGTR2 complex|AGTR1-MAS1 complex
AGTR2	AGTR1-AGTR2 complex|AGTR2-MAS1 complex
AHCTF1	Nuclear pore complex
AHCYL1	AHCYL1-CPSF complex|AHCYL1-FIP1L1-PAPOLA complex
AHI1	AHI1-HAP1 complex|AHI1-NPHP1 heterodimer|AHI1-NPHP1 heterotetramer
AHNAK	DNA ligase IV-XRCC4-AHNK complex
AHR	AHR-ARNT complex|Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)
AHSG	AHSG-BCHE complex
AIFM1	AIF-CYPA-DNA complex|MIA complex (AIFM1, CHCHD4), mitochondrial
AIM2	AIM2 PANoptosome complex|AIM2 inflammasome|AIM2 inflammasome (CASP8)
AIMP1	ArgRS-GlnRS-AIMP1 complex|Multisynthetase complex
AIMP2	Multisynthetase complex
AIPL1	AIPL1 chaperone complex
AIRE	AIRE homodimer complex
AJUBA	AJUBA-GFI1-HDAC1 complex|AJUBA-GFI1-HDAC2 complex|AJUBA-GFI1-HDAC3 complex|AJUBA-LATS2 complex|AJUBA-PRMT5-SNAI1 complex
AK2	AK2-FADD-caspase-10 (AFAC10) complex
AKAP1	AKAP1-MAATS1-MYCBP-PRKAR2B complex|AMY-1-S-AKAP84-RII-beta complex
AKAP12	AKAP250-PKA-PDE4D complex
AKAP13	AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex
AKAP5	AKAP5-PRKAR2A-PPP3CA complex|BKCA-beta2AR-AKAP79 signaling complex|PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex|RXFP1 signalosome|beta(1)-AR receptosome (ADRB1-SAP97-AKAP79-PRKAR2A)
AKAP8L	CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex
AKAP9	AKAP9-CAMSAP2-PDE4DIPcomplex|AKAP9-PDE4D-PRKACA complex|KCNQ1 macromolecular complex|KCNQ1-AKAP9-PDE4D3(isoform 2) complex|SMYLE 1 complex
AKT1	AKT1-APPL1-HDAC3 complex|AKT1-CDC37-CDK4-HSPA1A-HSP90AA1-NR3C1-PPP5C-RAF1-TSC1-TSC2 complex|AKT1-FANCI-FANCD2-PHLPP1-PHLPP2-USP1-WDR48 complex|AKT1-FOXO1-WDFY2 complex|AKT1-HSPB1-MAPK14-MAPKAPK2 complex|AKT1-MAPK14-MAPKAPK2 complex|AKT1-NQO2 complex|AR-AKT-APPL complex|G alpha-13-Hax-1-cortactin-Rac complex|NOS3-HSP90-AKT complex, VEGF induced|TCL1(trimer)-AKT1 complex|YBX1-AKT1 complex
AKT1S1	mTORC1-PRAS40 complex
AKT2	POSH-AKT2 complex|TCL1(trimer)-AKT2 complex
AKTIP	FHF complex|FTS-Vps16 complex|FTS-Vps18 complex|FTS-Vps41 complex
ALAS1	ALAS1-CLPP-CLPX complex
ALB	ALB-BCHE complex
ALK	ACK1-GRB2-ALK complex|ALK-GRB2-MIG6 complex
ALYREF	ALYREF-DDX39B-SARNP complex|ALYREF-MYCN complex|ALYREF-NXF1-RBM8A-UPF3A complex|ALYREF-NXF1-RBM8A-UPF3B complex|C complex spliceosome|Exon junction complex|NARC1 complex|Spliceosome, E complex|Splicing-associated factors complex (ALYREF, DEK, RBM8A, RNPS1, SRRM1)|TREX complex
AMFR	AMFR-DERL1-VCP complex|AMFR-ERLIN2-TMUB1 complex|AMFR-STING-INSIG1 complex, herpes simplex virus 1 induced|BAG6-AMFR-FAF2 complex
AMN	Cubam complex
