Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
A1BG		594	1
A1BG-AS1	NCRNA00181|A1BGAS|A1BG-AS	1987	503538
A1CF		725	29974
A1S9T			<NA>
A2M		2148	2
A2M-AS1		1987	144571
A2ML1	CPAMD9	2148	144568
A2ML1-AS1		1987	<NA>
A2ML1-AS2		1987	<NA>
A2MP1	A2MP		3
A2MR			<NA>
A2MRAP			<NA>
A3GALT2	A3GALT2P	429	127550
A4GALT	P1	442|454	53947
A4GNT		442	51146
A12M1			<NA>
A12M2			<NA>
A12M3			<NA>
A12M4			<NA>
AA	AA		<NA>
AAAS		1051|362	8086
AABT			<NA>
AAC1			<NA>
AAC2			<NA>
AACS		40	65985
AACSP1	AACSL		729522
AACT			<NA>
AADAC		465|464	13
AADACL2		465	344752
AADACL2-AS1		1987	101928142
AADACL3		465	126767
AADACL4		465	343066
AADACP1			201651
AADAT			51166
AAGAB			79719
AAK1		1835	22848
AAMDC	C11orf67		28971
AAMP		362	14
AANAT		1134	15
AAR2	C20orf4		25980
AARD	C8orf85		441376
AARS1	AARS	132	16
AARS1P1	AARSP1		106480683
AARS2	AARSL	132	57505
AARSD1			80755
AARSD1P1			<NA>
AASDH		40	132949
AASDHPPT			60496
AASS			10157
AATBC		1992	284837
AATF		1691	26574
AATK		1691|694|321	9625
AAVS1			17
ABALON		1992	103021294
ABAT			18
ABC1			<NA>
ABC2			<NA>
ABC3			<NA>
ABC7			<NA>
ABC50			<NA>
ABCA1	ABC1|HDLDT1	805	19
ABCA2	ABC2	805	20
ABCA3	ABC3	805	21
ABCA3P1			342293
ABCA4	STGD1|ABCR|RP19|STGD	805	24
ABCA5		805	23461
ABCA6		805|1691	23460
ABCA7		805	10347
ABCA8		805	10351
ABCA9		805	10350
ABCA9-AS1		1987	<NA>
ABCA10		805	10349
ABCA11P	ABCA11	805	79963
ABCA12	ICR2B	805	26154
ABCA13		805	154664
ABCA15P	NCRNA00169|CRYM-AS1		400508
ABCA17P		805	650655
ABCB1	PGY1|MDR1|CLCS	806|471	5243
ABCB2			<NA>
ABCB3			<NA>
ABCB4	PGY3|MDR3	806	5244
ABCB5		806	340273
ABCB6		806|454	10058
ABCB7	ABC7	806	22
ABCB8		806	11194
ABCB9		806	23457
ABCB10		806	23456
ABCB10P1	ABCB10P|ABCB10P2		56476
ABCB10P2			<NA>
ABCB10P3			728248
ABCB10P4			100132289
