NCBI_Gene_ID	Approved_Symbol
7157	TP53
1956	EGFR
7124	TNF
348	APOE
7422	VEGFA
3569	IL6
7040	TGFB1
4524	MTHFR
2064	ERBB2
3091	HIF1A
2099	ESR1
3586	IL10
351	APP
1636	ACE
672	BRCA1
6774	STAT3
4318	MMP9
1401	CRP
3845	KRAS
627	BDNF
673	BRAF
9370	ADIPOQ
367	AR
207	AKT1
5243	ABCB1
3123	HLA-DRB1
4790	NFKB1
7421	VDR
3553	IL1B
1029	CDKN2A
5728	PTEN
1499	CTNNB1
7099	TLR4
5743	PTGS2
4846	NOS3
1080	CFTR
1312	COMT
6622	SNCA
3576	CXCL8
29126	CD274
7015	TERT
5468	PPARG
6532	SLC6A4
4609	MYC
4137	MAPT
3106	HLA-B
2475	MTOR
999	CDH1
3479	IGF1
596	BCL2
3952	LEP
7852	CXCR4
2944	GSTM1
3458	IFNG
675	BRCA2
4193	MDM2
3717	JAK2
4313	MMP2
920	CD4
4780	NFE2L2
5594	MAPK1
595	CCND1
3605	IL17A
5054	SERPINE1
5444	PON1
6347	CCL2
1234	CCR5
1026	CDKN1A
5290	PIK3CA
23411	SIRT1
332	BIRC5
406991	MIR21
4879	NPPB
2952	GSTT1
6647	SOD1
7097	TLR2
4851	NOTCH1
960	CD44
1493	CTLA4
2950	GSTP1
2147	F2
3146	HMGB1
4233	MET
3105	HLA-A
472	ATM
6387	CXCL12
1813	DRD2
2153	F5
3119	HLA-DQB1
3815	KIT
2908	NR3C1
3077	HFE
2146	EZH2
7515	XRCC1
3162	HMOX1
1565	CYP2D6
3383	ICAM1
5970	RELA
6696	SPP1
1557	CYP2C19
50943	FOXP3
154	ADRB2
2100	ESR2
3606	IL18
120892	LRRK2
355	FAS
2932	GSK3B
3135	HLA-G
5925	RB1
1432	MAPK14
3565	IL4
5133	PDCD1
3480	IGF1R
7450	VWF
142	PARP1
335	APOA1
177	AGER
183	AGT
5979	RET
6714	SRC
857	CAV1
51738	GHRL
2706	GJB2
3688	ITGB1
79068	FTO
10413	YAP1
3690	ITGB3
4292	MLH1
64127	NOD2
836	CASP3
3630	INS
5621	PRNP
1543	CYP1A1
3958	LGALS3
4582	MUC1
1906	EDN1
6648	SOD2
6667	SP1
9429	ABCG2
3934	LCN2
4153	MBL2
5879	RAC1
3043	HBB
4312	MMP1
6531	SLC6A3
1027	CDKN1B
1559	CYP2C9
324	APC
5595	MAPK3
8626	TP63
114548	NLRP3
185	AGTR1
3075	CFH
3725	JUN
3791	KDR
4000	LMNA
8743	TNFSF10
3557	IL1RN
1576	CYP3A4
338	APOB
581	BAX
4282	MIF
3417	IDH1
406938	MIR146A
1588	CYP19A1
238	ALK
3949	LDLR
4255	MGMT
5747	PTK2
387	RHOA
5071	PRKN
2322	FLT3
23435	TARDBP
4288	MKI67
5663	PSEN1
2332	FMR1
3107	HLA-C
4982	TNFRSF11B
54658	UGT1A1
2033	EP300
3082	HGF
6772	STAT1
7490	WT1
929	CD14
19	ABCA1
406947	MIR155
4869	NPM1
6331	SCN5A
1277	COL1A1
2157	F8
4843	NOS2
6934	TCF7L2
7428	VHL
2247	FGF2
59272	ACE2
7276	TTR
861	RUNX1
282617	IFNL3
3320	HSP90AA1
3552	IL1A
3757	KCNH2
4204	MECP2
2335	FN1
4023	LPL
5265	SERPINA1
1815	DRD4
2068	ERCC2
213	ALB
3039	HBA1
3064	HTT
3356	HTR2A
54106	TLR9
217	ALDH2
5241	PGR
10	NAT2
1071	CETP
2697	GJA1
3558	IL2
5599	MAPK8
5781	PTPN11
841	CASP8
1471	CST3
2321	FLT1
5578	PRKCA
7316	UBC
10891	PPARGC1A
25	ABL1
255738	PCSK9
3065	HDAC1
3265	HRAS
3309	HSPA5
4436	MSH2
6790	AURKA
8074	FGF23
1869	E2F1
1950	EGF
2067	ERCC1
4314	MMP3
4353	MPO
56729	RETN
6513	SLC2A1
2152	F3
3481	IGF2
3627	CXCL10
3953	LEPR
407040	MIR34A
4128	MAOA
4170	MCL1
4988	OPRM1
6352	CCL5
1577	CYP3A5
196	AHR
2263	FGFR2
3486	IGFBP3
4089	SMAD4
5347	PLK1
650	BMP2
6657	SOX2
8842	PROM1
328	APEX1
3643	INSR
4968	OGG1
682	BSG
7098	TLR3
