platemap	essentiality_False_in_other_platemaps	essentiality_False_in_platemap	essentiality_True_in_other_platemaps	essentiality_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
platemap_1	7433	725	281	42	1.5323892502147503	0.017029924006470614	0.07055254231252112
platemap_2	7422	736	292	31	1.0705870309708159	0.6926146392298664	0.8034329815066451
platemap_3	7439	720	275	47	1.7658232323232324	0.0009792281722513661	0.009465872331763206
platemap_4	7430	728	284	39	1.4015342052313884	0.0596377842551695	0.17294957433999156
platemap_5	7435	723	279	44	1.6217770440766024	0.00540071624821425	0.03915519279955332
platemap_6	7424	734	290	33	1.1509536784741143	0.42943827358939707	0.7105555155072375
platemap_7	7425	733	289	34	1.1917181606612632	0.3235619536876844	0.5918211601095995
platemap_8	7421	737	293	30	1.0309760536442825	0.8432959094850692	0.8734136205381073
platemap_9	7423	735	291	32	1.1105781144072748	0.5532958442266791	0.7640752134558901
platemap_10	7423	735	291	32	1.1105781144072748	0.5532958442266791	0.7640752134558901
platemap_11	7433	725	281	42	1.5323892502147503	0.017029924006470614	0.07055254231252112
platemap_12	7561	751	153	16	1.0528532762416996	0.78697210271592	0.8734136205381073
platemap_13	7411	747	303	20	0.6548526338577633	0.07439635023430685	0.17979117973290823
platemap_14	7418	741	296	26	0.8793266951161688	0.6201847585181899	0.7823439323278315
platemap_15	7397	761	317	6	0.18397675315146517	9.78116516419392e-08	1.4182689488081184e-06
platemap_16	7412	747	302	20	0.6571096749027013	0.07428271508130349	0.17979117973290823
platemap_17	7393	765	321	2	0.06021216378555576	3.0802466476841584e-11	8.93271527828406e-10
platemap_18	7407	751	307	16	0.5140247314113213	0.007282574609936702	0.042238932737632864
platemap_19	7410	748	304	19	0.6191510695187166	0.04714065633078708	0.15189767039920282
platemap_20	7422	736	292	31	1.0705870309708159	0.6926146392298664	0.8034329815066451
platemap_21	7427	731	287	36	1.2744319508858564	0.19737580063790658	0.40884987274994933
platemap_22	7427	731	287	36	1.2744319508858564	0.19737580063790658	0.40884987274994933
platemap_23	7423	735	291	32	1.1105781144072748	0.5532958442266791	0.7640752134558901
platemap_24	7421	737	293	30	1.0309760536442825	0.8432959094850692	0.8734136205381073
platemap_25	7417	741	297	26	0.876247858703999	0.6204796704669009	0.7823439323278315
platemap_26	7411	749	303	18	0.5877936258245318	0.028520825854286294	0.10338799372178782
platemap_27	7573	749	141	18	1.2907422662841235	0.3265220193708135	0.5918211601095995
platemap_28	7712	767	2	0	0.0	1.0	1.0
platemap_29	7642	758	72	9	1.2602242744063326	0.441034457901044	0.7105555155072375
