platemap	essentiality_False_in_other_platemaps	essentiality_False_in_platemap	essentiality_True_in_other_platemaps	essentiality_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
platemap_1	13679	1451	310	37	1.125192859207221	0.5184776401994455	0.6324203942524113
platemap_2	13682	1452	307	36	1.1049613696933804	0.5779220523509279	0.6709510107323402
platemap_3	13696	1453	293	35	1.1259745049080518	0.5071305408896738	0.6324203942524113
platemap_4	13681	1447	308	41	1.2585847117637028	0.16853034424798513	0.32973328222431875
platemap_5	13671	1459	318	29	0.8545074812161341	0.4620976080240914	0.6115997753260033
platemap_6	13757	1458	232	30	1.2201113949198241	0.29137337352544346	0.48562228920907247
platemap_7	13690	1440	299	48	1.5261984392419174	0.009685506392162495	0.02964248484059168
platemap_8	13675	1455	314	33	0.9877536279466806	1.0	1.0
platemap_9	13665	1464	324	24	0.6914086217364905	0.09690293166578116	0.20764913928381679
platemap_10	13691	1437	298	51	1.630543217833574	0.002337437902507251	0.011687189512536255
platemap_11	13687	1449	302	39	1.2198250449042272	0.26403926742050476	0.46682116121713746
platemap_12	13668	1460	321	28	0.8165919856612469	0.35795563513168605	0.5196130187395442
platemap_13	13693	1435	296	53	1.7085624823429701	0.000865029053129041	0.006171828419694002
platemap_14	13668	1460	321	28	0.8165919856612469	0.35795563513168605	0.5196130187395442
platemap_15	13689	1440	300	48	1.521	0.009880828280197226	0.02964248484059168
platemap_16	13705	1437	284	51	1.7126716457408333	0.000960062198619067	0.006171828419694002
platemap_17	13680	1448	309	40	1.2229791342595075	0.23248657323302874	0.4359123248119289
platemap_18	13672	1458	317	30	0.8874349287949007	0.5814908759680282	0.6709510107323402
platemap_19	13668	1469	321	19	0.550721133964869	0.008951338621325884	0.02964248484059168
platemap_20	13694	1439	295	49	1.5806786728071518	0.005285316035069083	0.023273841524282423
platemap_21	13661	1468	328	20	0.5674303847943112	0.012611030951599744	0.03546852455137428
platemap_22	13656	1474	333	14	0.3895021208454044	0.0001379011631601932	0.0020685174474028983
platemap_23	13667	1461	322	27	0.7843878735317	0.2697188931476794	0.46682116121713746
platemap_24	13679	1449	310	39	1.1876511053229146	0.31218750350701474	0.5017299163505594
platemap_25	13686	1442	303	46	1.4408755716070913	0.02711720222929121	0.06779300557322802
platemap_26	13677	1455	312	33	0.9942307692307693	1.0	1.0
platemap_27	13690	1441	299	47	1.4933655789945202	0.01602122107419365	0.04240911460815966
platemap_28	13682	1446	307	42	1.2944706502493681	0.11891301467523661	0.24323116638116582
platemap_29	13660	1472	329	16	0.45130170477071496	0.0008171821032646968	0.006171828419694002
platemap_30	13660	1475	329	13	0.3659368399361187	5.799229159860893e-05	0.0013048265609687008
platemap_31	13677	1451	312	37	1.1178166251391612	0.5199901019408715	0.6324203942524113
platemap_32	13680	1451	309	37	1.128916783202746	0.4614153989585257	0.6115997753260033
platemap_33	13689	1444	300	44	1.390387811634349	0.05140376679254262	0.12174576345602199
platemap_34	13694	1440	295	48	1.5473446327683615	0.009132199348809246	0.02964248484059168
platemap_35	13668	1460	321	28	0.8165919856612469	0.35795563513168605	0.5196130187395442
platemap_36	13678	1455	311	33	0.9975005801040873	1.0	1.0
platemap_37	13676	1452	313	36	1.0833047289625855	0.6458211010579236	0.726548738690164
platemap_38	13676	1454	313	34	1.02171381360662	0.8542247851679308	0.9153296368080089
platemap_39	13656	1478	333	10	0.2774628485047971	1.743934482431198e-06	7.847705170940392e-05
platemap_40	13673	1460	316	28	0.8298161955956304	0.4047684871033619	0.5692056849891026
platemap_41	13659	1469	330	19	0.5353487220743858	0.005689161261491259	0.023273841524282423
platemap_42	13662	1471	327	17	0.48283948384360637	0.0021222176650581943	0.011687189512536255
platemap_43	13660	1472	329	16	0.45130170477071496	0.0008171821032646968	0.006171828419694002
platemap_44	13673	1456	316	32	0.9509667547642231	0.8543076610208084	0.9153296368080089
platemap_45	13666	1465	323	23	0.6642462409788776	0.06437525265912727	0.1448443184830364
