platemap	expression_False_in_other_platemaps	expression_False_in_platemap	expression_True_in_other_platemaps	expression_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
platemap_1	11555	3575	286	61	0.6893784537141181	0.00852235980456757	0.021305899511418924
platemap_2	11555	3579	286	57	0.6434533613913329	0.0019543815786441845	0.00519951005768006
platemap_3	11572	3577	269	59	0.7095601493640181	0.017641230301370374	0.036084334707348495
platemap_4	11590	3538	251	98	1.2790218436598433	0.04748656122688219	0.07631768768606066
platemap_5	11569	3561	272	75	0.8958106199514346	0.4422409603470242	0.49752108039040227
platemap_6	11652	3563	189	73	1.2631231929576021	0.10552713691429044	0.1531845535852603
platemap_7	11586	3544	255	92	1.1794715177267294	0.17906378327596292	0.24417788628540402
platemap_8	11562	3568	279	68	0.7897921789864506	0.08410265103253521	0.12615397654880284
platemap_9	11580	3549	261	87	1.0876303183995493	0.5224452957990084	0.5606493665358085
platemap_10	11613	3515	228	121	1.753354046567343	1.964859232426216e-06	1.4736444243196619e-05
platemap_11	11579	3557	262	79	0.9815512686520719	0.9485096977776311	0.9485096977776311
platemap_12	11600	3528	241	108	1.4734524515200271	0.0013621428394750732	0.00408642851842522
platemap_13	11611	3517	230	119	1.7081121509191382	6.875709461912339e-06	4.420098939800789e-05
platemap_14	11557	3571	284	65	0.7407135335113453	0.029858383233292728	0.05374508981992691
platemap_15	11601	3528	240	108	1.479719387755102	0.0010851990315486244	0.003756458186129854
platemap_16	11601	3541	240	95	1.2968264614515674	0.036986624652613403	0.06401531189875398
platemap_17	11601	3527	240	109	1.4938439183442018	0.0008655267365945598	0.0032457252622295992
platemap_18	11582	3548	259	88	1.1091310347229175	0.4054186711348856	0.4677907743864065
platemap_19	11570	3567	271	69	0.8258668793584487	0.17429731917356422	0.24417788628540402
platemap_20	11596	3537	245	99	1.3247754063457444	0.024170142010888587	0.0453190162704161
platemap_21	11550	3579	291	57	0.6321238150378928	0.0013414270601154624	0.00408642851842522
platemap_22	11544	3586	297	50	0.5419504582917857	2.8824217059077066e-05	0.00013640957596635657
platemap_23	11556	3572	285	64	0.726492603288737	0.021406159145062276	0.04188161571860011
platemap_24	11566	3562	275	74	0.8737522331682915	0.3381078818741847	0.40039091274574506
platemap_25	11617	3511	224	125	1.846397292183749	1.8344490730794986e-07	2.063755207214436e-06
platemap_26	11581	3551	260	85	1.066205619218855	0.6076807120605657	0.6214916373346695
platemap_27	11586	3545	255	91	1.166322077491081	0.22292435420511147	0.28661702683514334
platemap_28	11608	3520	233	116	1.6417869683964104	3.0313239103634793e-05	0.00013640957596635657
platemap_29	11546	3586	295	50	0.5457192282605613	3.638789424774839e-05	0.00014885956737715252
platemap_30	11532	3603	309	33	0.34181871094476285	4.0427216707865746e-11	9.096123759269793e-10
platemap_31	11589	3539	252	97	1.260481841790121	0.06375962650476838	0.09893735147291645
platemap_32	11592	3539	249	97	1.2759985973847354	0.04678683465809752	0.07631768768606066
platemap_33	11597	3536	244	100	1.3441371189080928	0.017142548063475795	0.036084334707348495
platemap_34	11618	3516	223	120	1.7781110822020538	1.1699512803561383e-06	1.0529561523205245e-05
platemap_35	11579	3549	262	87	1.0833854929568376	0.523272742100088	0.5606493665358085
platemap_36	11570	3563	271	73	0.8747241275387775	0.33507722612694946	0.40039091274574506
platemap_37	11584	3544	257	92	1.1700907326242194	0.20181982533155185	0.2671144747035245
platemap_38	11596	3534	245	102	1.3660787914486678	0.01033348155979085	0.023652884763160846
platemap_39	11539	3595	302	41	0.4357588261842699	6.962200934378442e-08	1.0443301401567663e-06
platemap_40	11554	3579	287	57	0.6411558715036318	0.001964259355123578	0.00519951005768006
platemap_41	11554	3574	287	62	0.6983732688074342	0.010512393228071487	0.023652884763160846
platemap_42	11546	3587	295	49	0.5346557483946266	2.0195667939402083e-05	0.00011360063215913672
platemap_43	11521	3611	320	25	0.24926007338687345	1.3065377480651436e-15	5.879419866293146e-14
platemap_44	11566	3563	275	73	0.8617028551016763	0.27741907911526487	0.3467738488940811
platemap_45	11581	3550	260	86	1.079053087757313	0.5637890716519935	0.5900118191706909
