platemap	involvement_in_disease_False_in_other_platemaps	involvement_in_disease_False_in_platemap	involvement_in_disease_True_in_other_platemaps	involvement_in_disease_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
platemap_1	4604	3554	189	134	0.9184613506504333	0.49238146115112436	0.6657528913922662
platemap_2	4600	3558	193	130	0.8708391219378646	0.2524313653823881	0.4575318497555784
platemap_3	4636	3523	157	165	1.3829773770545153	0.0049162260504087806	0.020367222208836376
platemap_4	4633	3525	160	163	1.3389698581560283	0.011702382989924239	0.03085173697343663
platemap_5	4620	3538	173	150	1.1322160392370857	0.27748543480584364	0.473357506433498
platemap_6	4625	3533	168	155	1.207787459733398	0.09734027655329933	0.2016334300032629
platemap_7	4634	3524	159	164	1.3563346397390044	0.008390147813538218	0.027034920732512034
platemap_8	4619	3539	174	149	1.11764639014203	0.33122913311741253	0.5055602558107876
platemap_9	4619	3539	174	149	1.11764639014203	0.33122913311741253	0.5055602558107876
platemap_10	4632	3526	161	162	1.3218293211387986	0.016124790713147444	0.038968244223439655
platemap_11	4614	3544	179	144	1.0473536199351805	0.6891230836158957	0.768637285571576
platemap_12	4695	3617	98	71	0.9404145954760118	0.754028045976028	0.7809576190466004
platemap_13	4637	3521	156	167	1.4098176508713287	0.0028721982118924483	0.013882291357480167
platemap_14	4623	3536	170	152	1.1689779079052436	0.1874092088402499	0.3623244704244831
platemap_15	4616	3542	177	146	1.07497120909059	0.5295698236470826	0.6657528913922662
platemap_16	4579	3580	214	108	0.6455020101289615	0.00023585447094656297	0.002279926552483442
platemap_17	4660	3498	133	190	1.903128318222658	2.2460279896104064e-08	3.2567405849350896e-07
platemap_18	4618	3540	175	148	1.1032510088781275	0.39127547849614214	0.5673494438194061
platemap_19	4607	3551	186	137	0.9555978476455216	0.7314250105107855	0.7809576190466004
platemap_20	4588	3570	205	118	0.7397472159595545	0.01003107078530522	0.029090105277385134
platemap_21	4591	3567	202	121	0.77097125187708	0.02952739410474517	0.0658688022336623
platemap_22	4611	3547	182	141	1.0071210154379029	0.954427207143981	0.954427207143981
platemap_23	4605	3553	188	135	0.9307013551628531	0.5672657266598993	0.6657528913922662
platemap_24	4587	3571	206	117	0.7295541484395603	0.007149819061834059	0.025918094099148463
platemap_25	4543	3615	250	73	0.3669587828492393	1.7552927891283064e-15	5.0903490884720883e-14
platemap_26	4584	3576	209	112	0.6869400468835297	0.0015669422377047094	0.009088264978687314
platemap_27	4683	3639	110	49	0.573251892378026	0.0011776109995831779	0.00853767974697804
platemap_28	4791	3688	2	0	0.0	0.5084299421792998	0.6657528913922662
platemap_29	4750	3650	43	38	1.1500477859190825	0.5739249063726433	0.6657528913922662
