platemap	involvement_in_disease_False_in_other_platemaps	involvement_in_disease_False_in_platemap	involvement_in_disease_True_in_other_platemaps	involvement_in_disease_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
platemap_1	10513	4617	242	105	0.987963097213496	0.9530212554383439	0.9748102570919057
platemap_2	10535	4599	220	123	1.2807181403071815	0.0326730396479025	0.08648745789150662
platemap_3	10528	4621	227	101	1.0136906118114297	0.9036378806087588	0.9681834435093845
platemap_4	10520	4608	235	114	1.107491134751773	0.37815248801130674	0.5317769362659001
platemap_5	10508	4622	247	100	0.9204350956611314	0.5168646498376844	0.677037630166825
platemap_6	10591	4624	164	98	1.3686782639885222	0.017673673715187466	0.06543905875160862
platemap_7	10538	4592	217	130	1.3748012973875625	0.005504245672759056	0.02848995290060618
platemap_8	10534	4596	221	126	1.306747161608166	0.02131239667712815	0.06543905875160862
platemap_9	10508	4621	247	101	0.9298406237323537	0.5566753848038339	0.677037630166825
platemap_10	10527	4601	228	121	1.214235463686384	0.08846942712370798	0.22117356780926994
platemap_11	10527	4609	228	113	1.1319871875392538	0.2849649989329882	0.4768344040341142
platemap_12	10521	4607	234	115	1.1223305671970747	0.31788960268940947	0.4768344040341142
platemap_13	10500	4628	255	94	0.8363414510142865	0.15806833236288304	0.35565374781648684
platemap_14	10513	4615	242	107	1.0072177502395172	0.9531478069343078	0.9748102570919057
platemap_15	10515	4614	240	108	1.0255201560468141	0.8141338021465669	0.8935614901608662
platemap_16	10546	4596	209	126	1.3833497820030731	0.005697990580121236	0.02848995290060618
platemap_17	10483	4645	272	77	0.6388835243462293	0.00040880793306813563	0.0026280509982951577
platemap_18	10505	4625	250	97	0.8812843243243244	0.3163281300837256	0.4768344040341142
platemap_19	10593	4544	162	178	2.561448552425665	3.1093920974348346e-17	1.3992264438456755e-15
platemap_20	10526	4607	229	115	1.147380623562208	0.23661337317339726	0.46418144188205157
platemap_21	10477	4652	278	70	0.5670880320678968	1.2122323583596397e-05	9.091742687697298e-05
platemap_22	10520	4610	235	112	1.0875894217012045	0.47936756090408084	0.653683037596474
platemap_23	10493	4635	262	87	0.751740408606932	0.02181301958386954	0.06543905875160862
platemap_24	10533	4595	222	127	1.3113460577007912	0.01854039247628754	0.06543905875160862
platemap_25	10507	4621	248	101	0.9260031343585734	0.5566645873891263	0.677037630166825
platemap_26	10570	4562	185	160	2.003862696541346	5.208849472035216e-10	7.813274208052825e-09
platemap_27	10495	4636	260	86	0.748797039888498	0.021206469866844352	0.06543905875160862
platemap_28	10507	4621	248	101	0.9260031343585734	0.5566645873891263	0.677037630166825
platemap_29	10496	4636	259	86	0.7517597716044653	0.024487941009177328	0.06887233408831123
platemap_30	10460	4675	295	47	0.35647240097888155	3.422974459787034e-13	7.701692534520827e-12
platemap_31	10521	4607	234	115	1.1223305671970747	0.31788960268940947	0.4768344040341142
platemap_32	10505	4626	250	96	0.8720103761348897	0.28779637346037323	0.4768344040341142
platemap_33	10516	4617	239	105	1.000649772579597	1.0	1.0
platemap_34	10519	4615	236	107	1.033414437078796	0.767231418261479	0.8631353455441639
platemap_35	10523	4605	232	117	1.1524121082781085	0.21728563585716026	0.46418144188205157
platemap_36	10507	4626	248	96	0.8792100748922639	0.31415211824403105	0.4768344040341142
platemap_37	10533	4595	222	127	1.3113460577007912	0.01854039247628754	0.06543905875160862
platemap_38	10522	4608	233	114	1.1172098533619457	0.3456207220389316	0.501707499733933
platemap_39	10476	4658	279	64	0.5159074225404784	5.556373064542347e-07	5.000735758088112e-06
platemap_40	10469	4664	286	58	0.45520667154457894	6.8625097958527654e-09	7.720323520334361e-08
platemap_41	10503	4625	252	97	0.8741235521235521	0.2898862266664095	0.4768344040341142
platemap_42	10520	4613	235	109	1.0577692091268431	0.6359239323310024	0.7530678146025028
platemap_43	10505	4627	250	95	0.8627404365679706	0.23724829251749302	0.46418144188205157
platemap_44	10501	4628	254	94	0.8397140990479043	0.157899802652192	0.35565374781648684
platemap_45	10511	4620	244	102	0.9510698318075367	0.7231860532790071	0.834445446091162
