platemap	long_insert_size_False_in_other_platemaps	long_insert_size_False_in_platemap	long_insert_size_True_in_other_platemaps	long_insert_size_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
platemap_1	14211	919	331	16	0.747482650588943	0.304598304771304	0.342673092867717
platemap_2	14506	628	36	307	196.98080325548477	0.0	0.0
platemap_3	14234	915	308	20	1.0101483216237315	0.9068830138052146	0.9068830138052146
platemap_4	14238	890	304	45	2.3680884092253103	1.8265798296453159e-06	3.2878436933615684e-06
platemap_5	14200	930	342	5	0.22322832170030812	3.3203441978879324e-05	5.33626746089132e-05
platemap_6	14336	879	206	56	4.43363486751273	4.961028547394416e-17	8.46971013054208e-16
platemap_7	14210	920	332	15	0.6978457307490833	0.20888493407884023	0.24192039302623458
platemap_8	14197	933	345	2	0.08821162837659413	1.515227387638937e-07	3.1469495309299854e-07
platemap_9	14195	934	347	1	0.04379848070645299	1.642518284587014e-08	4.6195826754009774e-08
platemap_10	14194	934	348	1	0.043669546383125354	1.0364030694708745e-08	4.6195826754009774e-08
platemap_11	14219	917	323	18	0.8641113335651657	0.6455108028250176	0.6613740715284592
platemap_12	14194	934	348	1	0.043669546383125354	1.0364030694708745e-08	4.6195826754009774e-08
platemap_13	14195	933	347	2	0.08769084883135496	1.5385086595657705e-07	3.1469495309299854e-07
platemap_14	14196	932	346	3	0.13206728025999157	1.1194784203082845e-06	2.0990220380780336e-06
platemap_15	14196	933	346	2	0.08795048603237737	1.5228707262460264e-07	3.1469495309299854e-07
platemap_16	14249	893	293	42	2.2872550630806923	6.893635134774082e-06	1.1489391891290138e-05
platemap_17	14194	934	348	1	0.043669546383125354	1.0364030694708745e-08	4.6195826754009774e-08
platemap_18	14219	911	323	24	1.1597366891756413	0.492950777448602	0.5281615472663592
platemap_19	14267	870	275	65	3.8760919540229883	5.646473420361386e-17	8.46971013054208e-16
platemap_20	14246	887	296	48	2.604466924647308	5.6143000537434373e-08	1.4035750134358593e-07
platemap_21	14203	926	339	9	0.40720388386628187	0.004125234400459266	0.005625319636989908
platemap_22	14196	934	346	1	0.04392816031488656	1.60095708170013e-08	4.6195826754009774e-08
platemap_23	14199	929	343	6	0.26736168863978005	0.00014464035884400103	0.00022444193613724297
platemap_24	14208	920	334	15	0.693569382973184	0.20966434062273664	0.24192039302623458
platemap_25	14197	931	345	4	0.176802254082411	6.650883352115245e-06	1.1489391891290138e-05
platemap_26	14255	877	287	58	3.2848362528257957	9.247401076050206e-13	1.0403326210556482e-11
platemap_27	14244	887	298	48	2.5866240929760975	6.452740105789656e-08	1.5282805513712342e-07
platemap_28	14205	923	337	12	0.5480130268026787	0.03988691130884124	0.05128317168279588
platemap_29	14215	917	327	18	0.8533010514942023	0.6466768699389378	0.6613740715284592
platemap_30	14201	934	341	1	0.044587967120259725	2.4644533516086944e-08	6.523552989552426e-08
platemap_31	14194	934	348	1	0.043669546383125354	1.0364030694708745e-08	4.6195826754009774e-08
platemap_32	14197	934	345	1	0.04405859168916612	1.569750548795834e-08	4.6195826754009774e-08
platemap_33	14213	920	329	15	0.7043577375446015	0.20835910443634054	0.24192039302623458
platemap_34	14201	933	341	2	0.0892715140199841	2.2653225861032497e-07	4.432152885854185e-07
platemap_35	14210	918	332	17	0.7926149040606872	0.42563567267178026	0.46716110415195394
platemap_36	14199	934	343	1	0.04432173603610915	1.536637464405942e-08	4.6195826754009774e-08
platemap_37	14200	928	342	7	0.31319318410969954	0.0005564687744616813	0.0008347031616925219
platemap_38	14204	926	338	9	0.40843738418086317	0.004102986969650271	0.005625319636989908
platemap_39	14200	934	342	1	0.04445446235145322	1.533996724779845e-08	4.6195826754009774e-08
platemap_40	14199	934	343	1	0.04432173603610915	1.536637464405942e-08	4.6195826754009774e-08
platemap_41	14203	925	339	10	0.45293789364585824	0.00862173244815979	0.011411116475505606
platemap_42	14199	934	343	1	0.04432173603610915	1.536637464405942e-08	4.6195826754009774e-08
platemap_43	14198	934	344	1	0.044189781385389176	1.5484425999256982e-08	4.6195826754009774e-08
platemap_44	14207	922	335	13	0.5979570693171885	0.0684979056455908	0.0856223820569885
platemap_45	14205	926	337	9	0.4096782049720889	0.004087790598894483	0.005625319636989908
