protein_class	platemap	protein_class_False_in_other_platemaps	protein_class_False_in_platemap	protein_class_True_in_other_platemaps	protein_class_True_in_platemap	odds_ratio	pvalue	adjusted_pvalue
Enzymes	platemap_1	3006	3323	93	144	1.4006775843825536	0.014063829627949314	0.020725643662241094
Enzymes	platemap_2	3022	3312	77	155	1.8367290921638748	1.222811036051892e-05	2.633746846880998e-05
Enzymes	platemap_3	3005	3319	94	148	1.4255126832614284	0.008594852649469097	0.013369770788063038
Enzymes	platemap_4	2988	3342	111	125	1.0068416711145616	1.0	1.0
Enzymes	platemap_5	2994	3330	105	137	1.173110253110253	0.23794600477804223	0.2562495436071224
Enzymes	platemap_6	2998	3333	101	134	1.1933827046070944	0.20610400546474883	0.23083648612051869
Enzymes	platemap_7	3007	3311	92	156	1.5399655955773246	0.0011642313547281123	0.0020374048707741967
Enzymes	platemap_8	3011	3321	88	146	1.504222441214311	0.0032698191328807183	0.005385584454156478
Enzymes	platemap_9	3000	3328	99	139	1.265661421911422	0.0854135319212146	0.10398169103452214
Enzymes	platemap_10	2998	3324	101	143	1.2769834745207373	0.06735822345477697	0.0898109646063693
Enzymes	platemap_11	3004	3329	95	138	1.3108156392784305	0.05246247307516877	0.07344746230523627
Enzymes	platemap_12	3049	3389	50	78	1.4034936559457067	0.07339791503064272	0.093415528220818
Enzymes	platemap_13	3087	3193	12	274	22.075321014719698	6.7468098726658455e-62	6.297022547821456e-61
Enzymes	platemap_14	3091	3193	8	274	33.15588787973692	1.8476779031824628e-66	2.586749064455448e-65
Enzymes	platemap_15	2864	3388	235	79	0.2841769449119546	2.8014731265801543e-24	8.715694171582701e-24
Enzymes	platemap_16	3010	3285	89	182	1.8737536982880987	1.1051404596219326e-06	2.578661072451176e-06
Enzymes	platemap_17	2798	3461	301	6	0.016115020623732317	7.06732019351372e-92	1.9788496541838415e-90
Enzymes	platemap_18	2986	3274	113	193	1.5577221444364557	0.00021558921095508936	0.0004311784219101787
Enzymes	platemap_19	3017	3263	82	204	2.3002474155909196	8.565725882069456e-11	2.1803665881631342e-10
Enzymes	platemap_20	2886	3441	213	26	0.10237770710283205	5.791907414861872e-44	3.2434681523226484e-43
Enzymes	platemap_21	2896	3450	203	17	0.07029628043121297	6.207373996722654e-48	4.345161797705858e-47
Enzymes	platemap_22	2898	3435	201	32	0.1343153229485759	8.392744227561665e-37	3.357097691024666e-36
Enzymes	platemap_23	2895	3436	204	31	0.12803447921659933	5.456796335355661e-38	2.5465049564993087e-37
Enzymes	platemap_24	2968	3372	131	95	0.6383055789483216	0.0010995863262357533	0.0020374048707741967
Enzymes	platemap_25	3074	3296	25	171	6.379296116504855	2.363358939759572e-25	8.271756289158502e-25
Enzymes	platemap_26	2962	3341	137	126	0.8153771872139335	0.11494063694844603	0.13409740977318704
Enzymes	platemap_27	3087	3381	12	86	6.543478260869565	1.6615781249134608e-13	4.65241874975769e-13
Enzymes	platemap_29	3072	3439	27	28	0.9263674840877516	0.7879035822884518	0.8170851964472834
Transporters	platemap_1	6185	144	234	3	0.5506588319088319	0.4967385884837828	0.6521834327374818
Transporters	platemap_2	6195	139	224	8	1.591726618705036	0.2507155635794527	0.3721916081182166
Transporters	platemap_3	6184	140	235	7	1.3157446808510638	0.5009290385307368	0.6521834327374818
Transporters	platemap_4	6196	134	223	13	2.695535774044575	0.002317348688839336	0.026944524277256285
Transporters	platemap_5	6190	134	229	13	2.6223685068109237	0.0028869133154203162	0.026944524277256285
Transporters	platemap_6	6193	138	226	9	1.7871296652558677	0.10955651969414537	0.2107880758037225
Transporters	platemap_7	6183	135	236	12	2.328813559322034	0.012679675869950127	0.05917182072643393
Transporters	platemap_8	6193	139	226	8	1.577131215381677	0.25255859122307556	0.3721916081182166
Transporters	platemap_9	6190	138	229	9	1.7628631099297514	0.11292218346627991	0.2107880758037225
Transporters	platemap_10	6185	137	234	10	1.9293156154470024	0.07094745862910451	0.1805935310559024
Transporters	platemap_11	6195	138	224	9	1.8036684782608696	0.1074708560429109	0.2107880758037225
Transporters	platemap_12	6295	143	124	4	1.420031581321904	0.5357221054629314	0.6521834327374818
Transporters	platemap_13	6136	144	283	3	0.45170789163722025	0.21775888708811506	0.35866169638042483
Transporters	platemap_14	6141	143	278	4	0.6179000855259849	0.5328393300190852	0.6521834327374818
Transporters	platemap_15	6105	147	314	0	0.0	0.0012871587501475208	0.026944524277256285
Transporters	platemap_16	6149	146	270	1	0.15598680872653475	0.03221418334742176	0.11274964171597616
Transporters	platemap_17	6124	135	295	12	1.8452730696798494	0.07044964420768308	0.1805935310559024
Transporters	platemap_18	6118	142	301	5	0.7156894857517196	0.6896623141271412	0.7724217918223981
Transporters	platemap_19	6134	146	285	1	0.1474164864215333	0.02192599752830133	0.08770399011320532
Transporters	platemap_20	6180	147	239	0	0.0	0.006622273327588657	0.03708473063449648
Transporters	platemap_21	6200	146	219	1	0.19390754988428097	0.09710344352931519	0.2107880758037225
Transporters	platemap_22	6187	146	232	1	0.18265824279641002	0.06608067520401043	0.1805935310559024
Transporters	platemap_23	6186	145	233	2	0.36619801687139264	0.1778883246176723	0.31130456808092655
Transporters	platemap_24	6197	143	222	4	0.7808227808227808	0.819533711541363	0.882574766275314
Transporters	platemap_25	6228	142	191	5	1.1481454170046457	0.6275006235484571	0.7320840608065334
Transporters	platemap_26	6156	147	263	0	0.0	0.004466877525148974	0.03126814267604282
Transporters	platemap_27	6323	145	96	2	0.9084770114942529	1.0	1.0
