"treatment_name","Yes (p-value)","Filopodia (p-value)","Count_Nuclei (p-value)","Yes (mean diff)","Filopodia (mean diff)","Count_Nuclei (mean diff)","Yes (combined error)","Filopodia (combined error)","Count_Nuclei (combined error)"
"A1BG (alpha-1-B glycoprotein)",0.0007572322193851733,0.06433821995429811,0.16718444057383808,-0.04404071402303328,-0.07014318870041869,9.350087361677353,0.052591970389366825,0.10705693894126297,107.33226501660918
"A1CF (APOBEC1 complementation factor)",0.8023056343853043,0.9770602952407283,0.49779087873283334,0.003463359019835771,0.0013632116845243014,-7.649912638322661,0.058946168387878,0.13246758874630613,109.02850596791477
"A2M (alpha-2-macroglobulin)",0.08826917562413983,0.35323354512208116,0.005833069685980519,-0.031009308673327962,0.021678767571977398,-21.64991263832266,0.059961303331996556,0.09877439141039228,107.11542892410797
"A4GALT (alpha 1,4-galactosyltransferase (P blood group))",0.05174647896253215,0.04104203251674865,0.12221104845323127,-0.026533615475938382,0.06955972200655941,-15.249912638322655,0.05576122718430158,0.10185066590636202,108.04496801607942
"A4GNT (alpha-1,4-N-acetylglucosaminyltransferase)",0.28534143133000245,0.15521470999484333,0.8036707081372185,0.022892029756193616,0.05228257703765116,2.150087361677336,0.06605694035705414,0.10997767660460257,108.09863603947844
"AAAS (aladin WD repeat nucleoporin)",0.8604280192453626,0.00874608284426337,0.029441953005308497,0.003182849860256548,-0.051503738246281516,9.383420695010685,0.06640687110110893,0.09250868813469688,106.9064159920362
"AADAC (arylacetamide deacetylase)",0.00366324520968786,0.02981812104535253,0.39104567865004936,-0.03375597892739307,0.05711441160207603,185.75008736167734,0.052931169148970836,0.09556045018640377,445.22658850701583
"AADAT (aminoadipate aminotransferase)",0.0072522676894475335,0.15593550222385488,0.3739468304531508,0.0740502059838655,0.046500123310073416,4.9500873616773475,0.06102276355304206,0.10572317429290112,107.16023102623298
"AAGAB (alpha and gamma adaptin binding protein)",0.03653441088049281,0.04722801901329632,0.9067092491399653,-0.0312364864966215,-0.049431282409718835,-0.8499126383226638,0.05615076121133015,0.09569351442308058,107.65368137502603
"AAK1 (AP2 associated kinase 1)",0.001152546076900851,0.23754683489687922,0.42903512425953383,-0.03234845851492871,0.02727570640486554,78.55008736167734,0.05587271492988068,0.11072011611584383,318.3129375704147
"AAMDC (adipogenesis associated Mth938 domain containing)",0.04967670670414037,0.7998234229701242,0.3751978896134769,0.0659246525051572,-0.006928859635081885,-3.649912638322661,0.07380874079829308,0.10434986087102138,106.89815299431336
"AAMP (angio associated migratory cell protein)",0.1683949908273994,0.2276952945817674,0.08139639153040079,-0.02809985388801453,-0.03334770144985605,-45.04991263832265,0.06355189222648482,0.10182671252520242,115.17080842642213
