"treatment_name","Yes (p-value)","Filopodia (p-value)","Yes (mean diff)","Filopodia (mean diff)","Yes (combined error)","Filopodia (combined error)"
"A1BG (alpha-1-B glycoprotein)",0.25804589557229995,0.06433821995429767,0.0329797919560868,-0.07014318870041897,0.19763171707978502,0.10705693894126297
"A1CF (APOBEC1 complementation factor)",0.1602513661143643,0.9770602952407283,-0.056918587355983985,0.0013632116845240794,0.2034781987467038,0.1324675887463061
"A2M (alpha-2-macroglobulin)",0.00008423632870013797,0.35323354512208494,0.12361971402905425,0.021678767571977176,0.19087416366125134,0.09877439141039226
"A4GALT (alpha 1,4-galactosyltransferase (P blood group))",0.009354792619039376,0.041042032516749094,0.05662104615843966,0.06955972200655919,0.1916975435624696,0.101850665906362
"A4GNT (alpha-1,4-N-acetylglucosaminyltransferase)",0.05450178682226703,0.15521470999484444,0.09674463949137091,0.052282577037650935,0.20597275382861813,0.10997767660460257
"AAAS (aladin WD repeat nucleoporin)",0.003405402608224195,0.00874608284426337,-0.23248289395662375,-0.05150373824628168,0.21896024337712475,0.09250868813469688
"AADAC (arylacetamide deacetylase)",0.0005725749299296812,0.029818121045352752,0.1884546837602008,0.05711441160207581,0.19476500044490402,0.09556045018640376
"AADAT (aminoadipate aminotransferase)",0.00007754634701728769,0.15593550222385733,-0.5062992212616789,0.04650012331007308,0.20225702870189471,0.10572317429290111
"AAGAB (alpha and gamma adaptin binding protein)",0.6889186881135076,0.047228019013295874,-0.018983598631012955,-0.049431282409719,0.21359652148865074,0.09569351442308056
"AAK1 (AP2 associated kinase 1)",0.0003470115136958718,0.23754683489688277,0.1551070865505375,0.02727570640486532,0.20927838359064244,0.11072011611584381
"AAMDC (adipogenesis associated Mth938 domain containing)",0.00014358131679381714,0.799823422970118,-0.4542207053503017,-0.0069288596350821074,0.20333936420023596,0.10434986087102138
"AAMP (angio associated migratory cell protein)",0.6564188251972491,0.22769529458176496,-0.0108689583136663,-0.03334770144985627,0.19614650998242963,0.10182671252520241
"AANAT (aralkylamine N-acetyltransferase)",0.03590431607559186,0.023240193859784153,0.1004557281495061,-0.12935804601685852,0.20298902561528995,0.11908352034358535
"AAR2 (AAR2 splicing factor)",0.1317926585130662,0.05049087051461054,0.039893972125392474,0.08093321679378124,0.1953740944933449,0.10914213502901715
"AASDH (aminoadipate-semialdehyde dehydrogenase)",3.6726284746713134e-7,2.782498453868243e-7,0.17368486241150172,-0.13723199099610633,0.1949640695052474,0.09345190409172463
"AASDHPPT (aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase)",0.0049543174912771715,0.019710187492316456,-0.27161316793524876,0.035766218225150415,0.29997181770410464,0.09602443467880514
"AATF (apoptosis antagonizing transcription factor)",0.000542271772522307,0.014767716113022189,0.06800063360152486,0.0786261924766935,0.19053724095484834,0.09734422565120651
"ABAT (4-aminobutyrate aminotransferase)",0.4192633935153647,0.6242334178376352,0.0418245016194686,-0.006803440957262541,0.25092903893121404,0.09797840689000427
"ABCA11P (ATP binding cassette subfamily A member 11, pseudogene)",0.000004180549154408908,0.5752860825560271,-0.5390173760020559,0.0025868869669605776,0.19376076666375547,0.08780833994211124
"ABCA3 (ATP binding cassette subfamily A member 3)",0.9586545419495618,0.8318909700672497,-0.00233339589849213,0.004667606960817083,0.21178175174606576,0.09870266034083723
"ABCA8 (ATP binding cassette subfamily A member 8)",0.0002672670504708652,0.03468245771709011,0.211016597656143,-0.04128992612832172,0.1941341854678138,0.09218649307587812
"ABCA9 (ATP binding cassette subfamily A member 9)",0.0034287435552058376,0.04686061580731704,0.17310337985349178,-0.03895322409734048,0.19990938348319046,0.09260069018199639
"ABCB5 (ATP binding cassette subfamily B member 5)",0.11055988705119724,0.009488740233728032,-0.04019954617502375,-0.06438294783355075,0.19463598253906278,0.09271118557920575
"ABCB6 (ATP binding cassette subfamily B member 6 (Langereis blood group))",0.00044201076167560416,0.2004116021199458,-0.1402931397980387,-0.04459746777405388,0.19236172492199696,0.10892811109417137
"ABCB8 (ATP binding cassette subfamily B member 8)",0.0003541661096564397,0.27045400826297095,0.10617966205989549,-0.010490988622361475,0.1992320244501092,0.09170363280208223
"ABCB9 (ATP binding cassette subfamily B member 9)",0.06026608178010351,0.007816658259883758,-0.12791754807212286,-0.14702119904282052,0.21932335238913692,0.1098982969465852
"ABCC11 (ATP binding cassette subfamily C member 11)",0.000005001638221591165,0.40392016729806324,-0.5155916322049172,-0.024261194989382562,0.19374616782183507,0.10491491916970627
"ABCD3 (ATP binding cassette subfamily D member 3)",0.011055304196352367,0.0033437715936666113,0.0800068735504722,0.11180113150582865,0.1939657777856453,0.09621183602153742
"ABCE1 (ATP binding cassette subfamily E member 1)",0.12542530470541902,0.029732523530896726,0.03691437528640917,-0.060764658391608106,0.19433932051756062,0.09657008569513965
"ABCF2 (ATP binding cassette subfamily F member 2)",0.000009080408589934308,0.07307760950778253,-0.5416263484690221,0.037353285164158756,0.19526107751468963,0.09394952185090891
"ABCF3 (ATP binding cassette subfamily F member 3)",0.6936790683886791,0.03601696013171729,0.017697527645360367,-0.0655713712723705,0.23405567954547382,0.12129258609482797
"ABCG8 (ATP binding cassette subfamily G member 8)",0.00031243299518868284,0.7646577964188745,0.17708457721430482,0.006011539099510355,0.19316930227433166,0.0968458489899911
"ABHD10 (abhydrolase domain containing 10)",0.00007585429365652985,0.0009088580735463481,-0.0776718354617445,-0.05648531719562616,0.19026449986094615,0.08869867865372283
"ABHD11 (abhydrolase domain containing 11)",0.23777691611021057,0.30603545086212147,-0.049852009964944544,-0.04562402739025723,0.20588539322762606,0.1232591045887388
"ABHD12 (abhydrolase domain containing 12)",2.3608768273675196e-9,0.09470099506420371,0.21194674522846113,-0.03346610528813648,0.18997444942549532,0.09384843286737857
"ABHD12B (abhydrolase domain containing 12B)",0.6303318201070156,0.4992811040552394,-0.02562112153074092,0.022698220084504228,0.24961680217088128,0.13418861544378555
"ABHD13 (abhydrolase domain containing 13)",0.0003680866529351956,0.4500191065183632,0.1611311955795598,0.018877289941728048,0.1928465025925358,0.10083992738688899
"ABHD14A (abhydrolase domain containing 14A)",0.000005404202017889048,0.3900973946611326,0.20364158140563182,0.022424684029553166,0.19076837288316834,0.10165322649331866
"ABHD14B (abhydrolase domain containing 14B)",0.001174183219531999,0.20521331540533305,-0.07414358150683087,-0.04169398550286035,0.19099443379913816,0.10691137827472223
"ABHD15 (abhydrolase domain containing 15)",0.8802553626387202,0.012478119218530814,-0.004352185062605041,-0.058698693810099734,0.1989493663456374,0.09256842991695713
"ABHD16A (abhydrolase domain containing 16A)",0.00000770222006152288,0.21567711197706574,-0.5252449618005711,-0.025914204560845255,0.19463921022098235,0.09581265322618861
"ABHD17A (abhydrolase domain containing 17A)",0.0012252754567128044,0.08651462003531463,-0.3114833719898036,-0.03734433781991231,0.2848506409511352,0.10669633976125736
"ABHD17B (abhydrolase domain containing 17B)",0.00025218107049318483,0.39525956755139324,0.22207171944878223,-0.01562246738465356,0.19443858528058836,0.09470959232418606
"ABHD18 (abhydrolase domain containing 18)",0.02375211303487279,0.6552755222560489,0.11458409524469881,-0.016060584927718058,0.23176912291523954,0.14039503638527795
"ABHD4 (abhydrolase domain containing 4)",0.9052114618992184,0.788010760797468,0.008984627163634462,0.008511880990576814,0.2994389926123156,0.1305695744485852
"ABHD5 (abhydrolase domain containing 5)",0.0025425499256606088,0.5017100626103626,0.13571625110465857,-0.02341215795101048,0.19523294808449862,0.11251204474769629
"ABHD8 (abhydrolase domain containing 8)",0.0005510317829737765,0.011061620386173088,0.1974201350407614,0.046714779851260546,0.1951214003418837,0.09050248512930392
"ABI1 (abl interactor 1)",0.2978974170123707,0.00015045889713749538,-0.02630403321750885,-0.06965522474500446,0.19581228231610587,0.08829883047880119
"ABI2 (abl interactor 2)",0.002907813968543671,0.7913233529197883,-0.08510654159762732,0.006597137322502611,0.19215539271856388,0.10168355306875632
"ABI3 (ABI family member 3)",0.02794196742114896,0.2578636846882647,-0.08282738253730215,-0.045650384933640764,0.1974984226245653,0.1167075703434719
"ABI3BP (ABI family member 3 binding protein)",0.40113195482629527,0.3384923874992338,-0.027455372805970324,-0.021068496301419604,0.200487878510424,0.09748785811846966
"ABITRAM (actin binding transcription modulator)",0.00007183189106885202,0.007150464116196353,0.19120759638487939,-0.029988043063204517,0.19190674301085484,0.08843861937901178
"ABL1 (ABL proto-oncogene 1, non-receptor tyrosine kinase)",0.00033418638355997565,0.0023948411637240152,0.12761640445684364,0.07778896119984152,0.1917185954115694,0.09113444951153524
"ABL2 (ABL proto-oncogene 2, non-receptor tyrosine kinase)",0.0000013860550467370558,0.4202423804779931,0.24960022032845253,0.01300408273818282,0.19067823651353405,0.09312106029942016
"ABLIM1 (actin binding LIM protein 1)",9.242686282995294e-8,0.9048936903446023,-0.5330217758517801,-0.002366872044992696,0.1909532299082716,0.09669351715584264
"ABLIM2 (actin binding LIM protein family member 2)",0.0008226647268059217,0.001448888279319105,0.19490150963873787,0.12442068061361616,0.19606995585520542,0.09450864808468908
"ABLIM3 (actin binding LIM protein family member 3)",0.0028750200575564655,0.025170416940582863,-0.23289974636345323,-0.0651642317637604,0.21702424714088916,0.1009493256595257
"ABO (ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase)",0.0015212274751998933,0.038613254638572014,-0.2581124039970826,-0.04207118590804554,0.21510030053553048,0.09486774281202366
"ABRACL (ABRA C-terminal like)",0.004663916843286264,0.7089448558301128,-0.14592665912476788,0.011178447767625499,0.1983199221589691,0.10726649627418305
"ABRAXAS1",0.0001923757821749028,0.32743169719664555,-0.4802670300094234,-0.023991371789021,0.2070308478065857,0.0996936436050846
