,ACOT6,ACP4,ADAM15,ADAMTS19,ADPRS,ALDH3B2,ALDH7A1,ANO1,APLNR,ARIH1,ATM,ATP2A2,BARX2,BIRC6,CAPN15,CAPN8,CARD8,CBLIF,CDC42,CDC42SE2,CDK11A,CERS2,CFD,CHD8,CHRFAM7A,CHSY3,CKM,CKS2,CNOT3,COPS2,COPS6,CSF2,CSNK1G3,CTNNB1,CTSL,CYP11B1,CYP2A7,DAD1,DDB1,DDX41,DHX38,DLEC1,DMTF1,DNA2,DUSP1,DYNLL1,E4F1,EGLN1,EIF4A3,ELOA,ETF1,FANCM,FFAR3,FGF1,FOLR1,FOXJ2,FOXJ3,FPR3,FURIN,FXYD2,GABBR1,GPR176,GPR4,GRK2,GRK5,GSK3A,GSPT1,GTF2B,GUCY1A1,HESX1,HSPA2,HSPA5,HTR6,HYOU1,IKZF4,IL5,INPPL1,JUN,KCNAB1,KCNJ5,KIF5B,KLF13,LEPR,LZTR1,MAP2K1,MAP2K7,MAP3K6,MAPK7,MBD1,MIR9-1HG,MKNK2,MKRN1,MPP4,NAE1,NANP,NCS1,NDOR1,NFKBIB,NFRKB,NFYA,NFYB,NFYC,NTF4,NXF1,OGA,OGT,PCSK7,PCYT1A,PDCL,PDE6H,PHYHD1,PKIB,PKMYT1,POLA2,POLR2G,POU6F2,PPFIA1,PPIC,PPP1CB,PPP1R12A,PPP2R1A,PRDM10,PRIM1,PRKACB,PRKCE,PTBP1,PUS3,PYGM,RAN,RC3H2,REST,REV3L,RPN1,SAE1,SCN8A,SEC16A,SLC17A7,SLC26A5,SLK,SMPDL3B,SRD5A1,SSBP2,STK11,STT3A,STX18,TCIRG1,THAP11,TNFRSF4,TRAF3,TRIM48,UBA2,VCP,VHL,VN1R2,XAB2,YARS1,ZNF302,ZNF467,ZNF83
ACOT6,1.0,0.15816054,0.048938498,0.12590407,-0.119869195,-0.17370236,0.12664372,-0.009523834,0.13528469,-0.12234291,-0.09452266,0.2891008,-0.037444573,0.016208416,-0.12868214,0.06494416,-0.066417426,0.1623375,0.13528934,0.112367906,0.34817252,0.11529968,-0.062030263,0.12427314,-0.21808867,0.2657172,-0.10151211,0.2512515,-0.16958518,-0.0013669413,0.05612023,0.16032611,0.21803623,0.2499744,0.26259476,-0.13063283,0.31278375,0.030780628,-0.058506683,0.17724325,0.053295545,0.038709745,-0.21363531,-0.2124198,-0.068770416,-0.01879281,-0.12793407,-0.05054819,0.829587,-0.077154316,0.18713135,-0.18574871,-0.18973099,-0.11909865,-0.049824674,-0.17876069,0.008199991,-0.19177079,0.07839823,0.17240012,-0.54786384,0.078043655,-0.16085309,0.03571181,-0.5883794,-0.18311848,0.19245267,0.06522904,-0.06678957,-0.16455218,-0.63569874,0.79833096,-0.25365865,0.007106282,0.06665802,0.06023761,-0.035077266,0.007864978,-0.56325847,0.05231894,0.0499827,0.023737976,0.19017738,-0.063959,0.10067015,0.0875808,0.041452423,0.14867367,-0.008675903,-0.17238349,-0.100210935,-0.51112044,-0.03555892,0.028163034,-0.11752378,-0.021681841,-0.20025587,-0.16978629,0.057479195,-0.03630864,-0.26851463,-0.30290607,-0.0689088,0.84942126,0.037582703,0.036728654,0.11255053,-0.020649837,0.08628167,0.012041448,0.0070833485,-0.134065,0.15376432,-0.21335246,0.8352647,0.0031469492,-0.0007110988,-0.09806494,0.13141607,0.07406028,0.13270089,0.14172733,-0.17508727,-0.15777811,0.09253211,-0.08839969,0.04364402,-0.01308338,0.8281755,0.10244223,0.040646832,-0.20214969,0.14848131,0.019481646,0.26865527,0.11408754,0.1923757,-0.0025586095,-0.06439648,-0.10222406,-0.5711232,0.18820596,0.14103533,-0.009733226,0.58709973,-0.026128318,0.039709356,-0.15403461,0.013702302,0.22573486,0.0980232,0.8485254,0.027644522,-0.12564182,0.8269435,0.015667584,-0.16946645,-0.4830466,-0.06699933
ACP4,0.15816054,1.0,0.543023,0.60104287,-0.29215002,0.3791246,0.55966413,0.40386033,-0.3821813,0.52030015,-0.58193874,-0.18629146,-0.5104755,-0.3160558,0.271141,0.32876,-0.6077203,0.30137858,0.025572423,0.58370936,0.6340959,0.41722235,0.40416756,0.6776694,0.43995535,0.49032018,-0.52554107,-0.11805823,-0.5418972,0.3239036,0.45054337,0.51511925,0.6148096,-0.23964247,0.4805482,0.46316016,0.6356387,-0.3181135,0.23168145,0.47004265,0.54778653,0.58220714,0.38683948,0.06669686,0.40427682,-0.40393233,0.25399202,0.020582054,0.11081911,-0.40304062,-0.25065908,0.13721842,-0.55483055,-0.07615553,0.4126574,0.3075353,0.47032195,-0.63227755,-0.4356185,-0.3278334,-0.0838366,0.45160568,-0.70600164,0.50375164,0.029500285,-0.5629192,-0.29647425,0.2241237,0.23657799,-0.50623727,-0.1513444,0.15486372,0.29791886,-0.41335922,0.580328,0.47160658,0.5481077,-0.33419502,-0.33008552,-0.36835924,-0.31500977,0.44863626,0.07369363,-0.3563511,0.59548014,-0.5192872,-0.28529736,-0.18787937,-0.29520044,-0.26620513,0.36486304,-0.23309885,0.08830024,0.48845544,0.38783762,-0.40468878,0.29552954,-0.55942094,-0.40831816,0.21797532,0.051683586,0.19753727,-0.5281673,0.18375959,-0.0022835713,0.13481635,-0.3403008,-0.41718805,-0.33999705,-0.26916656,-0.27191207,0.5831618,-0.25053564,0.17838405,0.16689241,0.43957636,0.4210186,0.6043483,0.49481246,0.47511554,-0.030940551,-0.55012333,0.20959541,0.26042795,-0.3582852,0.41960332,-0.4829329,0.5422895,0.124276556,0.4392721,0.5356474,0.13203211,-0.41592163,-0.58300513,0.6716153,-0.34448048,0.67049766,0.45134136,0.020782333,0.336295,-0.21720295,0.1819934,0.34769174,-0.40741217,0.1755375,0.4422189,-0.3766655,0.2482893,-0.016856821,0.610787,-0.39862916,0.20876475,0.09549205,-0.5738129,0.2522373,-0.31550497,-0.66813624,-0.184508,-0.5554042
ADAM15,0.048938498,0.543023,1.0,0.24883951,-0.40547863,0.42294952,0.3433951,0.47057068,-0.52653146,0.47608826,-0.40497035,-0.21050064,-0.63127214,-0.43246767,0.42757258,0.17820135,-0.4628893,0.47824958,-0.15366155,0.39899093,0.48461765,0.51269877,0.4817875,0.34124452,0.55579376,0.25035495,-0.3557909,-0.23314202,-0.37758622,0.40833673,0.49861643,0.21303563,0.26862577,-0.3614753,0.30174738,0.5591331,0.43392393,-0.39450315,0.2204313,0.5877888,0.6617803,0.431286,0.5146351,0.2768931,0.44391817,-0.42579764,0.339443,0.03482782,-0.057631258,-0.45183992,-0.31421554,0.34789962,-0.30323583,0.019022018,0.49990603,0.3901074,0.3180468,-0.37356752,-0.37453148,-0.41534445,0.13372649,0.52643555,-0.4695535,0.60950184,0.12428836,-0.41556865,-0.37905174,0.27945524,0.39792308,-0.5825509,0.027903486,-0.057357285,0.5114535,-0.5352782,0.47317222,0.21528643,0.5949677,-0.37637666,-0.08556706,-0.37356538,-0.33402875,0.5535273,0.0024495057,-0.5383237,0.37064427,-0.5416172,-0.3521875,-0.3545844,-0.4571061,-0.002595581,0.51230866,-0.08243626,-0.021367438,0.46242142,0.46766594,-0.37038076,0.4044301,-0.32363907,-0.43904665,0.29237375,0.1358725,0.2580867,-0.36553684,0.011765097,-0.21402116,0.21751246,-0.3876779,-0.4375153,-0.30624038,-0.36772794,-0.45165008,0.42674452,-0.2742972,0.26709256,-0.008147465,0.5874785,0.5923933,0.40944535,0.2605414,0.38220888,0.05484176,-0.6825998,0.17339519,0.3127978,-0.35577512,0.4889627,-0.39988947,0.5533975,-0.053950008,0.4681906,0.40871805,0.25500596,-0.45428348,-0.51410335,0.49061218,-0.4388613,0.40420747,0.52325886,0.08094299,0.4236142,0.0071676197,0.34965658,0.39383253,-0.40980422,-0.07173633,0.59343094,-0.44957927,0.38825688,-0.15376893,0.57824636,-0.4112101,0.032211866,0.0045785825,-0.38507858,0.115116835,-0.4498169,-0.45501405,-0.11899934,-0.33424634
ADAMTS19,0.12590407,0.60104287,0.24883951,1.0,-0.09269707,0.123438545,0.5790705,0.11757692,-0.12051143,0.2758145,-0.42224488,0.0059787827,-0.25836888,-0.16163245,0.15843742,0.2578544,-0.5794388,0.19527917,0.19210647,0.55638474,0.5076971,0.15451993,0.08978884,0.6463506,0.10553397,0.5361877,-0.51111454,0.0038514389,-0.5619241,0.13797654,0.2372017,0.60945064,0.68059665,-0.048059575,0.513159,0.28923318,0.6184553,-0.06937676,0.05946175,0.32633102,0.24046852,0.4611378,0.25291008,0.0522909,0.1415474,-0.3006501,0.052387565,-0.013726214,0.11496754,-0.27904662,-0.0108574135,0.11019182,-0.6239668,-0.15888582,0.17793973,0.09976488,0.29033577,-0.64137506,-0.25061244,-0.2854439,-0.022898238,0.15240385,-0.61281985,0.16309883,-0.016783632,-0.6606083,-0.029477043,-0.01917804,-0.025715647,-0.40246975,-0.0026979358,0.21574302,0.072571464,-0.19286232,0.5272445,0.4785032,0.18257172,-0.12695071,-0.2963396,-0.14670463,-0.22448972,0.26768687,0.0947298,-0.31840548,0.596983,-0.24385223,-0.028942807,-0.07522508,-0.24598092,-0.27693415,0.06647708,-0.20564532,0.06329785,0.33321515,0.14512075,-0.39014962,-0.023169875,-0.6151947,-0.2581241,0.16314095,-0.1267966,-0.007343513,-0.48030195,0.15898147,0.12761332,-0.035022326,-0.048105463,-0.17733312,-0.15528378,0.014273062,-0.14653702,0.5550906,-0.024650509,0.0007170241,0.20395365,0.26748013,0.16386585,0.53721803,0.43447772,0.4528454,0.082734644,-0.2768087,0.082854316,0.035235427,-0.29015458,0.20174125,-0.33810887,0.30820563,0.09764713,0.33898225,0.33860898,-0.05408009,-0.099241644,-0.32378992,0.65435725,-0.07409076,0.643119,0.2953919,-0.119513586,0.09105867,-0.15293501,0.26830202,0.21708718,-0.19322008,0.32753834,0.22140582,-0.10804092,0.061102867,0.037002925,0.44337514,-0.123387575,0.26340738,0.1352621,-0.5711549,0.25065428,-0.08860111,-0.62782985,-0.21218243,-0.56328577
ADPRS,-0.119869195,-0.29215002,-0.40547863,-0.09269707,1.0,-0.40084437,-0.1474887,-0.30324757,0.3563123,-0.14150521,0.52524805,0.21838759,0.41028062,0.51609623,0.03681583,-0.08741806,0.20663022,-0.33656424,0.104911774,-0.042126805,-0.4466443,-0.4797404,-0.4582392,-0.11508442,-0.2755199,-0.10917467,0.10240086,0.015430264,0.14824095,-0.24698381,-0.33484596,-0.12930146,-0.083124846,0.20078123,-0.096170686,-0.38184434,-0.22651054,0.4051594,-0.20285703,-0.33600217,-0.3664049,-0.22086664,-0.16831706,-0.13356403,-0.4353847,0.57671297,-0.47129816,-0.3436105,-0.061803106,0.6214312,0.4613872,-0.11642813,0.21359934,0.2589653,-0.3922805,-0.38239434,-0.31506014,0.18047993,0.5806172,0.23612365,0.06528864,-0.40009636,0.2984896,-0.5402558,-0.066383675,0.2018554,0.43129745,-0.62487805,-0.36246535,0.24572524,0.15946494,-0.048521478,-0.47417134,0.50879174,-0.25057536,-0.056763593,-0.42715976,0.49897608,0.101881236,0.283482,0.4491298,-0.49254963,-0.34048203,0.19436514,-0.25433907,0.5889342,0.40453196,0.38537896,0.069276415,0.13389373,-0.26968434,0.09768546,0.01209615,-0.44223937,-0.29102072,0.39032963,-0.39659905,0.11082336,0.1517977,-0.08611408,-0.01944677,-0.12650362,0.18130092,-0.09345992,0.313536,-0.38908353,0.1919219,0.22206527,0.21017663,0.45237494,0.40948132,-0.36096323,0.28619882,0.021844452,-0.06846327,-0.31389913,-0.54323655,-0.18643023,0.0037167675,-0.09857221,0.071654774,0.5343634,0.013999894,-0.5595809,0.27632973,-0.38097355,0.23423897,-0.36658102,-0.1055637,-0.22010201,-0.2514551,-0.17370121,0.45472994,0.35734016,-0.23846504,0.30243453,-0.17030662,-0.33401322,-0.012622468,-0.21665558,-0.06288071,0.12206812,-0.45827982,0.23925768,0.192867,-0.4860876,0.6241548,-0.45139447,0.36893007,-0.35881796,0.3983478,-0.14278264,-0.3082954,0.26097426,-0.12831059,0.71039075,0.20999712,-0.0052436916,0.11476645
ALDH3B2,-0.17370236,0.3791246,0.42294952,0.123438545,-0.40084437,1.0,0.14555897,0.37324682,-0.4543622,0.36629635,-0.46343276,-0.41787133,-0.4264357,-0.49424043,0.30387345,0.16531333,-0.35963473,0.3344034,-0.17718017,0.21508577,0.30379686,0.42932376,0.5329594,0.16666171,0.53329694,0.1504782,-0.15970884,-0.23463465,-0.20595896,0.27422917,0.35436785,0.1465758,0.10308421,-0.3680999,0.08868096,0.48768342,0.18235232,-0.3450396,0.15035295,0.33062065,0.437644,0.36800957,0.30583835,0.19504903,0.44081587,-0.47218892,0.3526107,0.1483657,-0.14942363,-0.41937506,-0.41412377,0.22155231,-0.17307568,-0.07740265,0.43763962,0.33588272,0.35295263,-0.18557872,-0.3776812,-0.29939815,0.10556987,0.5019319,-0.25342426,0.5694722,0.17939089,-0.21018194,-0.48812142,0.44148418,0.2669825,-0.27867004,0.0017722575,-0.18822488,0.50778794,-0.5209851,0.28409278,0.08947417,0.5660358,-0.25046778,0.029033938,-0.41264763,-0.46211052,0.44942665,0.076636545,-0.20903222,0.2724464,-0.5023657,-0.31291723,-0.34289035,-0.23656277,-0.062658094,0.4215107,0.019596282,0.05969912,0.35710764,0.47127682,-0.3997404,0.51461476,-0.15748413,-0.3593117,0.17906044,0.12407368,0.28247786,-0.27812856,-0.13452743,-0.36981773,0.41344726,-0.37188005,-0.4167799,-0.22369969,-0.48005193,-0.38185418,0.34708768,-0.39609906,0.22091916,-0.09541067,0.38232332,0.57212,0.39382458,0.07289916,0.17086604,-0.10766005,-0.6103551,0.20283729,0.43364343,-0.294157,0.6065933,-0.40471235,0.46682546,-0.1888944,0.23771289,0.36839527,0.3400986,-0.4558093,-0.44337794,0.28685802,-0.57425326,0.2266418,0.4013293,0.027088461,0.35030422,0.19211163,-0.03532457,0.40797323,-0.38842914,-0.30724493,0.5313578,-0.45127115,0.39550525,-0.21260746,0.3276662,-0.3837493,-0.15529513,0.14467616,-0.31970072,-0.06204017,-0.45950186,-0.315877,0.08360298,-0.15708932
ALDH7A1,0.12664372,0.55966413,0.3433951,0.5790705,-0.1474887,0.14555897,1.0,0.3417252,-0.29526833,0.31763628,-0.3568205,-0.059437223,-0.4377061,-0.21605754,0.13772443,0.10779406,-0.5966665,0.38450444,0.16435951,0.62886745,0.44797236,0.2598661,0.25413314,0.48744392,0.2248436,0.537426,-0.43534327,-0.065523244,-0.505184,0.14033225,0.13156377,0.4287195,0.47073764,-0.00062164804,0.5377886,0.42493087,0.596869,-0.24496081,0.17047332,0.4743565,0.37667894,0.54795545,0.26249507,0.1327061,0.16418707,-0.23448333,0.16401856,-0.047860038,0.17481458,-0.2682974,-0.110020846,0.2919705,-0.57047564,0.020479029,0.40055043,0.20535856,0.21889694,-0.6104268,-0.25598454,-0.3035184,-0.029174097,0.31390443,-0.55232,0.27195984,-0.13486241,-0.5739481,-0.067022435,0.07542578,0.1690181,-0.42302498,-0.10981232,0.20122705,0.21789797,-0.31454965,0.48192343,0.43584174,0.25257325,-0.095076,-0.3345916,-0.17412803,-0.21483651,0.35496658,-0.035486974,-0.38893518,0.50243497,-0.28960812,-0.043973424,-0.062322915,-0.37812656,-0.14091967,0.17512816,-0.18586743,0.035367444,0.3283334,0.14600025,-0.31035498,0.08586362,-0.62714136,-0.30761993,0.30531177,0.023700625,0.1323057,-0.4592175,0.24988511,0.16394942,-0.01178782,-0.0785838,-0.17781202,-0.28598756,-0.048830137,-0.25612694,0.46193323,-0.06269401,0.2249623,0.29969925,0.35121903,0.3006583,0.4825509,0.4809021,0.52764434,0.0702318,-0.34937713,0.22032706,0.14750868,-0.40698978,0.20651272,-0.3519345,0.3944596,0.1842531,0.32647195,0.2481692,0.116107605,-0.1756737,-0.26326463,0.56887656,-0.09658907,0.49882582,0.5004142,0.055137742,0.34367493,-0.23924415,0.3496413,0.101778775,-0.34771836,0.36951172,0.44077644,-0.105780825,0.18274622,0.019046988,0.53812563,-0.12803726,0.26250702,0.13082382,-0.5266996,0.30196476,-0.15704761,-0.62002605,-0.2440311,-0.526098
ANO1,-0.009523834,0.40386033,0.47057068,0.11757692,-0.30324757,0.37324682,0.3417252,1.0,-0.5110822,0.50682914,-0.29426113,-0.29589072,-0.5454665,-0.36890405,0.2853395,0.21426004,-0.27440333,0.40180087,-0.13107447,0.3729193,0.31543252,0.470096,0.5723969,0.1710995,0.56070286,0.22600041,-0.18164837,-0.34240288,-0.31391624,0.39279333,0.43455365,0.11128716,0.14466034,-0.28126273,0.22965756,0.5061792,0.26818356,-0.5225208,0.29000443,0.4244561,0.493428,0.42084715,0.44082758,0.28458753,0.3409238,-0.33716366,0.40599018,0.034500822,-0.040225677,-0.34320563,-0.3717915,0.43390208,-0.23880579,-0.00586913,0.5045153,0.5552038,0.37469187,-0.26765633,-0.42002574,-0.38172948,0.009197129,0.5778904,-0.32280672,0.58500534,0.040088005,-0.28318045,-0.36863768,0.41017675,0.44924587,-0.38447148,0.0057383794,-0.099021666,0.444945,-0.5353285,0.43443042,0.18896742,0.5177549,-0.3484159,0.04706203,-0.4223345,-0.2736777,0.4747869,0.061873462,-0.3465386,0.36328405,-0.54988724,-0.39564615,-0.2742823,-0.3735133,0.034034573,0.4001698,-0.043365903,-0.12295801,0.42247486,0.44295055,-0.20633173,0.44825155,-0.15023948,-0.5100358,0.3840071,0.30813387,0.3647656,-0.1319315,0.0006064372,-0.1835647,0.21170753,-0.37679428,-0.43401596,-0.348447,-0.5154425,-0.5297006,0.32559097,-0.42013624,0.4958176,0.052284583,0.410634,0.50712925,0.26487556,0.17240174,0.3438756,0.09057323,-0.6122781,0.4050863,0.42488563,-0.31609538,0.39557937,-0.4632593,0.5771128,0.0030211443,0.37468082,0.3481718,0.48526084,-0.4642089,-0.42737567,0.27618492,-0.40533286,0.17318775,0.4863798,0.09721589,0.5367842,0.08998148,0.1476041,0.19571616,-0.5167068,-0.15862776,0.5456993,-0.36416635,0.52700424,-0.1747359,0.4407946,-0.44451645,-0.001731012,0.08414854,-0.28886035,0.034576304,-0.3860329,-0.3724748,-0.08291688,-0.30181217
APLNR,0.13528469,-0.3821813,-0.52653146,-0.12051143,0.3563123,-0.4543622,-0.29526833,-0.5110822,1.0,-0.49748364,0.43774623,0.43332317,0.54710263,0.35899705,-0.29111484,-0.32630962,0.34247544,-0.39500412,0.2514168,-0.26312357,-0.32202223,-0.46071082,-0.67703515,-0.27894002,-0.40223873,-0.22695734,0.23928632,0.32393056,0.26596424,-0.38383257,-0.40881765,-0.1385211,-0.15606485,0.42070475,-0.13468806,-0.47254473,-0.24795705,0.47314152,-0.30046263,-0.30216652,-0.31765497,-0.40348798,-0.44537392,-0.26327437,-0.45685723,0.33379415,-0.29530385,0.029272264,0.1531149,0.3339631,0.5246026,-0.367512,0.29738182,0.13549718,-0.5030918,-0.45837876,-0.44103578,0.2932627,0.5043806,0.3832579,-0.083107956,-0.48282677,0.37437806,-0.5974873,-0.0785982,0.38118377,0.53188837,-0.38856673,-0.4023652,0.46265483,0.05396484,0.1929049,-0.47380298,0.48268253,-0.44223616,-0.24681373,-0.49308607,0.48008963,0.041740112,0.4208103,0.28584367,-0.42641252,-0.10226916,0.29300007,-0.36555222,0.5846722,0.46410692,0.27483982,0.37915352,0.06844973,-0.553995,0.024053078,0.030763255,-0.46676353,-0.48365045,0.2906833,-0.48607057,0.16011389,0.40541595,-0.38905704,-0.4205321,-0.49807563,0.28194553,0.117488384,0.21723244,-0.28807718,0.45800287,0.49038652,0.45459926,0.51422584,0.46976128,-0.36664307,0.51768386,-0.41900703,0.12758826,-0.29160365,-0.47127384,-0.3880574,-0.112511635,-0.3038383,-0.029128402,0.61696666,-0.3691607,-0.43772894,0.3499911,-0.59016395,0.44967684,-0.48411256,0.13631321,-0.3518525,-0.46534738,-0.51769364,0.48338708,0.56457335,-0.31610346,0.40040615,-0.25678533,-0.4957974,-0.19142625,-0.47819147,-0.07962179,-0.1109421,-0.31002527,0.5346909,0.24880439,-0.41095,0.47831535,-0.43388695,0.0116239,-0.33127138,0.51231676,0.10885418,0.017153792,0.2223753,0.09336448,0.4981279,0.34483173,-0.056001823,0.20433748
ARIH1,-0.12234291,0.52030015,0.47608826,0.2758145,-0.14150521,0.36629635,0.31763628,0.50682914,-0.49748364,1.0,-0.38228816,-0.4875247,-0.5804611,-0.24771279,0.4711977,0.5212907,-0.5105848,0.16279437,-0.19512719,0.47889665,0.3089135,0.3442238,0.5550932,0.4980275,0.57241404,0.16617782,-0.4846338,-0.57513213,-0.388411,0.52611744,0.4843697,0.29036227,0.23419067,-0.58568096,0.18402508,0.51061654,0.3488512,-0.375942,0.48432297,0.46956265,0.47437203,0.5629269,0.4960966,0.44661316,0.5362617,-0.24289338,0.29637596,-0.28417015,-0.07827224,-0.28853187,-0.4379743,0.523594,-0.37975532,0.19587395,0.57066095,0.46473694,0.48429132,-0.45081666,-0.40439886,-0.56622875,0.22373469,0.49244767,-0.5089965,0.5597461,0.15134153,-0.33988133,-0.5124284,0.15251942,0.27325663,-0.3720808,0.09815748,-0.14530168,0.30986908,-0.3563561,0.60592693,0.33705243,0.60521215,-0.3606909,-0.014752215,-0.50311553,-0.1640607,0.38734236,-0.16495588,-0.30871093,0.46009794,-0.5600781,-0.3580885,-0.24024229,-0.40962037,-0.29231188,0.5632993,-0.06586801,0.19192447,0.48794407,0.5163602,-0.2819022,0.5075857,-0.2546418,-0.62300974,0.53805006,0.5497287,0.6191991,-0.28250605,-0.042227585,0.08821687,-0.06653154,-0.6165517,-0.5756857,-0.5844848,-0.4060572,-0.21383159,0.39462155,-0.5761587,0.7089177,-0.11084288,0.29085803,0.3299957,0.51504654,0.51222473,0.58027714,-0.2494923,-0.6296057,0.6627515,0.23218253,-0.3151397,0.47094703,-0.6300884,0.56449705,-0.12052363,0.42892843,0.54747355,0.594903,-0.44072542,-0.7589401,0.35468563,-0.42626658,0.30489653,0.3893398,0.05900581,0.564161,0.07865383,0.16274503,0.19395716,-0.5404624,-0.15019052,0.33426264,-0.25817445,0.39953458,0.27985805,0.41560948,-0.6672822,-0.13382678,-0.23983134,-0.3464555,-0.040601525,-0.25165564,-0.4611932,-0.16581196,-0.45141414
