,ACOT6,ACP4,ADAM15,ADAMTS19,ADPRS,ALDH7A1,ARIH1,BARX2,BIRC6,CARD8,CDC42SE2,CDK11A,CERS2,CFD,CHD8,CHRFAM7A,CHSY3,CKM,CKS2,CNOT3,CSNK1G3,CYP2A7,DAD1,DDX41,DHX38,DLEC1,DMTF1,DUSP1,DYNLL1,EIF4A3,ELOA,ETF1,FFAR3,FOLR1,FOXJ3,FPR3,FURIN,GPR176,GPR4,GRK2,GRK5,GSK3A,GSPT1,GTF2B,GUCY1A1,HSPA2,HYOU1,IKZF4,INPPL1,KCNAB1,LZTR1,MAP2K1,MAP2K7,MAP3K6,MBD1,MKNK2,MKRN1,MPP4,NAE1,NANP,NCS1,NFKBIB,NFRKB,NFYA,NFYC,NXF1,PCSK7,PCYT1A,PDCL,PDE6H,PKIB,PKMYT1,POLR2G,POU6F2,PPFIA1,PPIC,PPP1CB,PPP2R1A,PRDM10,PTBP1,PUS3,REV3L,SAE1,SCN8A,SEC16A,SLC17A7,SRD5A1,SSBP2,STT3A,TCIRG1,THAP11,TRIM48,VCP,XAB2,YARS1,ZNF302,ZNF467
ACOT6,1.0,0.15816054,0.048938498,0.12590407,-0.119869195,0.12664372,-0.12234291,-0.037444573,0.016208416,-0.066417426,0.112367906,0.34817252,0.11529968,-0.062030263,0.12427314,-0.21808867,0.2657172,-0.10151211,0.2512515,-0.16958518,0.21803623,0.31278375,0.030780628,0.17724325,0.053295545,0.038709745,-0.21363531,-0.068770416,-0.01879281,0.829587,-0.077154316,0.18713135,-0.18973099,-0.049824674,0.008199991,-0.19177079,0.07839823,0.078043655,-0.16085309,0.03571181,-0.5883794,-0.18311848,0.19245267,0.06522904,-0.06678957,-0.63569874,0.007106282,0.06665802,-0.035077266,-0.56325847,-0.063959,0.10067015,0.0875808,0.041452423,-0.008675903,-0.100210935,-0.51112044,-0.03555892,0.028163034,-0.11752378,-0.021681841,-0.16978629,0.057479195,-0.03630864,-0.30290607,0.84942126,0.11255053,-0.020649837,0.08628167,0.012041448,-0.134065,0.15376432,0.8352647,0.0031469492,-0.0007110988,-0.09806494,0.13141607,0.13270089,0.14172733,-0.08839969,0.04364402,-0.20214969,0.019481646,0.26865527,0.11408754,0.1923757,-0.5711232,0.18820596,-0.009733226,-0.026128318,0.039709356,0.22573486,0.8485254,0.8269435,0.015667584,-0.16946645,-0.4830466
ACP4,0.15816054,1.0,0.543023,0.60104287,-0.29215002,0.55966413,0.52030015,-0.5104755,-0.3160558,-0.6077203,0.58370936,0.6340959,0.41722235,0.40416756,0.6776694,0.43995535,0.49032018,-0.52554107,-0.11805823,-0.5418972,0.6148096,0.6356387,-0.3181135,0.47004265,0.54778653,0.58220714,0.38683948,0.40427682,-0.40393233,0.11081911,-0.40304062,-0.25065908,-0.55483055,0.4126574,0.47032195,-0.63227755,-0.4356185,0.45160568,-0.70600164,0.50375164,0.029500285,-0.5629192,-0.29647425,0.2241237,0.23657799,-0.1513444,-0.41335922,0.580328,0.5481077,-0.33008552,-0.3563511,0.59548014,-0.5192872,-0.28529736,-0.29520044,0.36486304,-0.23309885,0.08830024,0.48845544,0.38783762,-0.40468878,-0.55942094,-0.40831816,0.21797532,0.19753727,0.18375959,-0.3403008,-0.41718805,-0.33999705,-0.26916656,0.5831618,-0.25053564,0.16689241,0.43957636,0.4210186,0.6043483,0.49481246,-0.030940551,-0.55012333,0.41960332,-0.4829329,0.13203211,-0.58300513,0.6716153,-0.34448048,0.67049766,-0.21720295,0.1819934,-0.40741217,0.4422189,-0.3766655,0.610787,0.20876475,0.2522373,-0.31550497,-0.66813624,-0.184508
ADAM15,0.048938498,0.543023,1.0,0.24883951,-0.40547863,0.3433951,0.47608826,-0.63127214,-0.43246767,-0.4628893,0.39899093,0.48461765,0.51269877,0.4817875,0.34124452,0.55579376,0.25035495,-0.3557909,-0.23314202,-0.37758622,0.26862577,0.43392393,-0.39450315,0.5877888,0.6617803,0.431286,0.5146351,0.44391817,-0.42579764,-0.057631258,-0.45183992,-0.31421554,-0.30323583,0.49990603,0.3180468,-0.37356752,-0.37453148,0.52643555,-0.4695535,0.60950184,0.12428836,-0.41556865,-0.37905174,0.27945524,0.39792308,0.027903486,-0.5352782,0.47317222,0.5949677,-0.08556706,-0.5383237,0.37064427,-0.5416172,-0.3521875,-0.4571061,0.51230866,-0.08243626,-0.021367438,0.46242142,0.46766594,-0.37038076,-0.32363907,-0.43904665,0.29237375,0.2580867,0.011765097,-0.3876779,-0.4375153,-0.30624038,-0.36772794,0.42674452,-0.2742972,-0.008147465,0.5874785,0.5923933,0.40944535,0.2605414,0.05484176,-0.6825998,0.4889627,-0.39988947,0.25500596,-0.51410335,0.49061218,-0.4388613,0.40420747,0.0071676197,0.34965658,-0.40980422,0.59343094,-0.44957927,0.57824636,0.032211866,0.115116835,-0.4498169,-0.45501405,-0.11899934
ADAMTS19,0.12590407,0.60104287,0.24883951,1.0,-0.09269707,0.5790705,0.2758145,-0.25836888,-0.16163245,-0.5794388,0.55638474,0.5076971,0.15451993,0.08978884,0.6463506,0.10553397,0.5361877,-0.51111454,0.0038514389,-0.5619241,0.68059665,0.6184553,-0.06937676,0.32633102,0.24046852,0.4611378,0.25291008,0.1415474,-0.3006501,0.11496754,-0.27904662,-0.0108574135,-0.6239668,0.17793973,0.29033577,-0.64137506,-0.25061244,0.15240385,-0.61281985,0.16309883,-0.016783632,-0.6606083,-0.029477043,-0.01917804,-0.025715647,-0.0026979358,-0.19286232,0.5272445,0.18257172,-0.2963396,-0.31840548,0.596983,-0.24385223,-0.028942807,-0.24598092,0.06647708,-0.20564532,0.06329785,0.33321515,0.14512075,-0.39014962,-0.6151947,-0.2581241,0.16314095,-0.007343513,0.15898147,-0.048105463,-0.17733312,-0.15528378,0.014273062,0.5550906,-0.024650509,0.20395365,0.26748013,0.16386585,0.53721803,0.43447772,0.082734644,-0.2768087,0.20174125,-0.33810887,-0.05408009,-0.32378992,0.65435725,-0.07409076,0.643119,-0.15293501,0.26830202,-0.19322008,0.22140582,-0.10804092,0.44337514,0.26340738,0.25065428,-0.08860111,-0.62782985,-0.21218243
ADPRS,-0.119869195,-0.29215002,-0.40547863,-0.09269707,1.0,-0.1474887,-0.14150521,0.41028062,0.51609623,0.20663022,-0.042126805,-0.4466443,-0.4797404,-0.4582392,-0.11508442,-0.2755199,-0.10917467,0.10240086,0.015430264,0.14824095,-0.083124846,-0.22651054,0.4051594,-0.33600217,-0.3664049,-0.22086664,-0.16831706,-0.4353847,0.57671297,-0.061803106,0.6214312,0.4613872,0.21359934,-0.3922805,-0.31506014,0.18047993,0.5806172,-0.40009636,0.2984896,-0.5402558,-0.066383675,0.2018554,0.43129745,-0.62487805,-0.36246535,0.15946494,0.50879174,-0.25057536,-0.42715976,0.101881236,0.19436514,-0.25433907,0.5889342,0.40453196,0.069276415,-0.26968434,0.09768546,0.01209615,-0.44223937,-0.29102072,0.39032963,0.11082336,0.1517977,-0.08611408,-0.12650362,-0.09345992,0.1919219,0.22206527,0.21017663,0.45237494,-0.36096323,0.28619882,-0.06846327,-0.31389913,-0.54323655,-0.18643023,0.0037167675,0.071654774,0.5343634,-0.38097355,0.23423897,-0.17370121,0.35734016,-0.23846504,0.30243453,-0.17030662,-0.06288071,0.12206812,0.23925768,-0.4860876,0.6241548,-0.35881796,-0.14278264,-0.12831059,0.71039075,0.20999712,-0.0052436916
ALDH7A1,0.12664372,0.55966413,0.3433951,0.5790705,-0.1474887,1.0,0.31763628,-0.4377061,-0.21605754,-0.5966665,0.62886745,0.44797236,0.2598661,0.25413314,0.48744392,0.2248436,0.537426,-0.43534327,-0.065523244,-0.505184,0.47073764,0.596869,-0.24496081,0.4743565,0.37667894,0.54795545,0.26249507,0.16418707,-0.23448333,0.17481458,-0.2682974,-0.110020846,-0.57047564,0.40055043,0.21889694,-0.6104268,-0.25598454,0.31390443,-0.55232,0.27195984,-0.13486241,-0.5739481,-0.067022435,0.07542578,0.1690181,-0.10981232,-0.31454965,0.48192343,0.25257325,-0.3345916,-0.38893518,0.50243497,-0.28960812,-0.043973424,-0.37812656,0.17512816,-0.18586743,0.035367444,0.3283334,0.14600025,-0.31035498,-0.62714136,-0.30761993,0.30531177,0.1323057,0.24988511,-0.0785838,-0.17781202,-0.28598756,-0.048830137,0.46193323,-0.06269401,0.29969925,0.35121903,0.3006583,0.4825509,0.4809021,0.0702318,-0.34937713,0.20651272,-0.3519345,0.116107605,-0.26326463,0.56887656,-0.09658907,0.49882582,-0.23924415,0.3496413,-0.34771836,0.44077644,-0.105780825,0.53812563,0.26250702,0.30196476,-0.15704761,-0.62002605,-0.2440311
ARIH1,-0.12234291,0.52030015,0.47608826,0.2758145,-0.14150521,0.31763628,1.0,-0.5804611,-0.24771279,-0.5105848,0.47889665,0.3089135,0.3442238,0.5550932,0.4980275,0.57241404,0.16617782,-0.4846338,-0.57513213,-0.388411,0.23419067,0.3488512,-0.375942,0.46956265,0.47437203,0.5629269,0.4960966,0.5362617,-0.24289338,-0.07827224,-0.28853187,-0.4379743,-0.37975532,0.57066095,0.48429132,-0.45081666,-0.40439886,0.49244767,-0.5089965,0.5597461,0.15134153,-0.33988133,-0.5124284,0.15251942,0.27325663,0.09815748,-0.3563561,0.60592693,0.60521215,-0.014752215,-0.30871093,0.46009794,-0.5600781,-0.3580885,-0.40962037,0.5632993,-0.06586801,0.19192447,0.48794407,0.5163602,-0.2819022,-0.2546418,-0.62300974,0.53805006,0.6191991,-0.042227585,-0.6165517,-0.5756857,-0.5844848,-0.4060572,0.39462155,-0.5761587,-0.11084288,0.29085803,0.3299957,0.51504654,0.51222473,-0.2494923,-0.6296057,0.47094703,-0.6300884,0.594903,-0.7589401,0.35468563,-0.42626658,0.30489653,0.07865383,0.16274503,-0.5404624,0.33426264,-0.25817445,0.41560948,-0.13382678,-0.040601525,-0.25165564,-0.4611932,-0.16581196
BARX2,-0.037444573,-0.5104755,-0.63127214,-0.25836888,0.41028062,-0.4377061,-0.5804611,1.0,0.4183525,0.46302143,-0.3673865,-0.4968636,-0.4922902,-0.50662243,-0.376992,-0.53387684,-0.21360415,0.47094896,0.30389178,0.3683467,-0.20881017,-0.37774897,0.44690573,-0.62004936,-0.62405926,-0.5219802,-0.47058928,-0.45191112,0.35320583,0.036959335,0.375936,0.36887982,0.3764584,-0.51613206,-0.451526,0.42348984,0.46902657,-0.561544,0.5310037,-0.6230776,-0.034928955,0.38413376,0.43365723,-0.31809375,-0.3849678,-0.0071202465,0.57118565,-0.51873875,-0.5144266,0.10951131,0.42818505,-0.43858328,0.5877678,0.3659315,0.507836,-0.48504725,0.050943118,0.012604369,-0.47877458,-0.48144567,0.36365774,0.30748582,0.56383556,-0.41270524,-0.4006292,-0.040689986,0.5449385,0.52328855,0.43831843,0.39184496,-0.39602748,0.412882,-0.084096946,-0.40681005,-0.5450022,-0.3740306,-0.38343194,0.0128092365,0.70720154,-0.471325,0.5489862,-0.44475946,0.61381966,-0.44136137,0.50002635,-0.29461977,-0.009877076,-0.25438932,0.5283859,-0.52841806,0.40786436,-0.52368313,-0.03248635,-0.13874666,0.41167668,0.46951047,0.17904972
BIRC6,0.016208416,-0.3160558,-0.43246767,-0.16163245,0.51609623,-0.21605754,-0.24771279,0.4183525,1.0,0.2947762,-0.18634675,-0.31352943,-0.34274757,-0.40224102,-0.115862355,-0.381372,-0.12834904,0.20081362,0.08511552,0.2668079,-0.17043027,-0.2811947,0.3889589,-0.37527978,-0.4536317,-0.38555184,-0.35831508,-0.41509357,0.6121222,0.024665397,0.645318,0.41262993,0.22292757,-0.44196197,-0.2066758,0.2615205,0.42970222,-0.39387137,0.29574245,-0.5021048,-0.043052446,0.2960576,0.4277199,-0.4476112,-0.311651,0.056320406,0.59372413,-0.3111615,-0.4655156,-0.07066354,0.30306283,-0.28761348,0.48664954,0.1820591,0.26353556,-0.27285346,0.1490151,-0.014596805,-0.41154593,-0.44253257,0.45202562,0.14677744,0.29381192,-0.09173188,-0.08285862,-0.0023178742,0.19460234,0.33259377,0.1252421,0.49840695,-0.38126874,0.24811289,-0.008122226,-0.4302137,-0.6228963,-0.2741543,-0.14899784,0.10517959,0.62822515,-0.4945651,0.3161613,-0.16703632,0.32198626,-0.26585424,0.36889347,-0.17268226,-0.095175646,0.05845937,0.31334084,-0.5161191,0.49566355,-0.46218288,-0.052236408,-0.09184924,0.55841553,0.30960146,-0.010253599
CARD8,-0.066417426,-0.6077203,-0.4628893,-0.5794388,0.20663022,-0.5966665,-0.5105848,0.46302143,0.2947762,1.0,-0.62083334,-0.47348186,-0.32430157,-0.27142966,-0.59331495,-0.36147535,-0.508578,0.64698404,0.27250308,0.69596046,-0.55621713,-0.61451936,0.23680148,-0.43382564,-0.4221971,-0.6313376,-0.39050567,-0.28294757,0.26749098,-0.10020239,0.4237503,0.28568968,0.70010483,-0.46047935,-0.3104686,0.77021354,0.37510577,-0.33441454,0.7066124,-0.35572252,-0.075254716,0.6341729,0.2826227,-0.08288954,-0.16133623,0.10757299,0.30262873,-0.56531054,-0.43038642,0.31719255,0.46751377,-0.6507512,0.45805967,0.214395,0.42594802,-0.36388943,0.14666866,-0.095555484,-0.47789073,-0.30955696,0.4791842,0.6692994,0.4801475,-0.41621095,-0.24590681,-0.18011539,0.28060305,0.36023337,0.3621022,0.12760426,-0.59546745,0.21541856,-0.1170309,-0.37663633,-0.35224319,-0.6277354,-0.52701354,0.1202695,0.47784993,-0.30680934,0.42627072,-0.18174376,0.5242932,-0.6685326,0.20487529,-0.5602124,0.19893603,-0.31486252,0.3624488,-0.3915363,0.25129426,-0.527575,-0.17915566,-0.20381616,0.26377577,0.7405947,0.30071667
