,ABCB5,ACOT6,ANAPC2,ANAPC4,ANAPC5,AURKB,BIRC5,CA6,CCNA2,CCT2,CCT3,CCT4,CCT5,CCT6A,CDC23,CDK1,CPA4,DDX42,DHX8,DNA2,DUSP14,EIF4A3,ELMOD3,ESPL1,ETV3,FANCM,HAVCR1,HOXD12,HSPA5,IDUA,KCNG3,KIF23,LBX1,LRR1,NFYB,NFYC,NXF1,PAAF1,POLR1A,POLR1B,POLR2G,PRPF18,PSMA1,PSMA4,PSMA5,PSMA6,PSMB2,PSMB3,PSMB4,PSMB6,PSMB7,PSMC2,PSMC6,PSMD14,PSMD7,RAB3A,RAN,RPA1,SAE1,SIRT6,SOX2,STAR,TCP1,TREM2,UBA2,UFSP2,UNK,VCP,XAB2,ZAP70
ABCB5,1.0,-0.037548553,-0.030017888,-0.024112169,-0.04327555,-0.045432664,-0.02282902,0.888475,-0.04155765,-0.044020608,0.04491122,0.026143892,-0.024656266,-0.023328207,-0.034122225,-0.07226178,0.83863777,0.81885076,0.0045224465,-0.07614039,0.85293275,-0.037147455,0.8998598,-0.05512127,0.90137136,-0.0656399,0.892532,0.88895667,0.012064269,0.8428426,0.8421975,-0.03876225,0.8870762,-0.06277419,-0.059127707,-0.05196731,-0.04758958,0.8355626,0.0533541,0.111766845,-0.006227413,-0.004465181,0.18695821,0.00071112113,0.021303289,0.012971182,0.011134302,0.03670591,0.028649159,0.004096506,0.010010355,-0.009150002,0.035642967,0.04835244,0.02353657,0.8874964,-0.056524232,-0.058763295,0.10811603,0.8741276,0.8800506,-0.073820636,-0.012435587,0.8494427,0.11677027,0.88678163,0.8703553,-0.014162923,0.008272814,0.87628436
ACOT6,-0.037548553,1.0,0.35382155,0.25217208,0.023321936,-0.25685596,-0.2593515,0.024787404,-0.1432863,0.46710843,0.32534695,0.441313,0.305245,0.35104367,0.17112269,-0.134509,0.09590523,0.002197149,0.8323793,-0.2124198,-0.00564244,0.829587,-0.03122378,-0.17019892,0.062247876,-0.18574871,-0.05837602,0.02053458,0.79833096,-0.098324575,-0.01137297,-0.30769765,0.032654997,-0.21799111,-0.26851463,-0.30290607,0.84942126,-0.031423464,-0.031274594,-0.08197588,0.8352647,0.73788685,0.5701822,0.57309985,0.51437294,0.56954914,0.65257084,0.63854283,0.67864585,0.5032729,0.6311024,0.5582338,0.60629195,0.6390983,0.60345936,0.02674923,0.8281755,-0.20989546,0.019481646,-0.00075569947,0.0011544011,-0.16771118,0.38825276,-0.047506943,0.0980232,0.0675585,0.008666034,0.8485254,0.8269435,0.063168496
ANAPC2,-0.030017888,0.35382155,1.0,0.87799245,0.72942847,0.025238706,-0.041308787,-0.015828818,0.4224534,0.26598153,0.16734366,0.2500448,0.2655818,0.29559043,0.8772072,-0.03653764,0.1748965,-0.032751475,0.42932752,-0.15966636,0.09972724,0.28831676,0.04130681,-0.09328029,-0.013783106,-0.08398375,-0.016943743,-0.020590756,0.3992686,-0.014286935,0.009807602,-0.044391166,0.04674382,-0.16250905,-0.3704187,-0.39277995,0.37140065,-0.11154118,0.11380294,-0.022938779,0.35927615,0.45025533,0.1667548,0.24768956,0.15220493,0.17065115,0.1963901,0.24185957,0.28586718,0.12606935,0.23281032,0.23973924,0.30751166,0.2106088,0.21620665,0.07093301,0.4421287,-0.09365863,0.13679829,0.06852176,-0.05154702,0.27662516,0.3155646,-0.025885401,0.24784021,-0.009272947,-0.046111364,0.39212546,0.4737952,0.09238759
ANAPC4,-0.024112169,0.25217208,0.87799245,1.0,0.84164584,0.10268795,0.05007631,-0.033911515,0.58091474,0.28458792,0.20453955,0.25875473,0.293944,0.35225806,0.9167462,0.009994859,0.12420983,-0.091333374,0.28538147,-0.05851961,0.07275394,0.15094598,0.05074971,-0.06113856,-0.02994222,-2.7212314e-05,-0.025722051,-0.041096184,0.28634682,0.04736438,0.024725216,0.017199375,0.05202665,-0.06816024,-0.25848308,-0.28589073,0.23792739,-0.070394196,0.20600861,0.09401618,0.25762242,0.31569657,0.10865008,0.18321928,0.09525777,0.10703625,0.12932576,0.15046299,0.18947558,0.080512196,0.1398685,0.19906467,0.22778557,0.14795306,0.1456292,0.050243255,0.34789178,-0.017291259,0.124690905,0.03748927,-0.058849297,0.45401955,0.34796056,-0.028544549,0.20122187,-0.0335138,-0.021941045,0.27866966,0.3347255,0.08736832
ANAPC5,-0.04327555,0.023321936,0.72942847,0.84164584,1.0,0.28089982,0.19457808,-0.05437114,0.7339683,0.1913593,0.15246893,0.13411655,0.22446159,0.29187164,0.8715501,0.15814847,0.05231136,-0.07434703,0.042618886,0.0984879,0.043122754,-0.053625003,0.02777597,0.07374803,-0.05162266,0.12380497,0.0092951935,-0.044496283,0.03494667,0.07136629,0.042335987,0.16806182,0.040855147,0.0908994,-0.07642755,-0.124451175,0.048192836,-0.020640545,0.23079738,0.13685109,0.029778617,0.09890497,-0.07137523,-0.0075792344,-0.047407962,-0.047059122,-0.044465132,-0.030809486,-0.02100914,-0.055214554,-0.06412336,-0.0048854575,-0.0038563758,-0.054707643,-0.076487795,0.0059108627,0.1859036,0.11991559,0.13338761,0.031771064,-0.03519374,0.6015223,0.28928587,0.018427365,0.087730795,-0.029918162,-0.03085005,0.03602471,0.065082654,0.059312645
AURKB,-0.045432664,-0.25685596,0.025238706,0.10268795,0.28089982,1.0,0.85391283,0.0634048,0.6388459,-0.14230016,-0.2034135,-0.14625509,-0.0995149,-0.07432113,0.17179371,0.7449199,-0.042670812,0.085316606,-0.12568635,0.71853536,0.033201404,-0.24899244,0.05423881,0.82287425,0.0039333724,0.7163446,0.0047471537,0.025854629,-0.2309105,0.13422588,0.058910847,0.8546161,-0.040856477,0.7000973,0.46201062,0.5292704,-0.20744675,0.10364307,0.07394998,0.03616588,-0.25179124,-0.01957377,-0.26588616,-0.28627476,-0.21273966,-0.25632393,-0.27600083,-0.27706596,-0.3416034,-0.19547473,-0.33124635,-0.12962851,-0.28634846,-0.2594521,-0.32003453,-0.023401799,-0.2028291,0.6783613,-0.36837855,0.016634295,0.05839717,0.59731996,-0.09624031,0.084095195,-0.3346023,-0.018220449,0.014351833,-0.25823227,-0.18711874,-0.01899561
BIRC5,-0.02282902,-0.2593515,-0.041308787,0.05007631,0.19457808,0.85391283,1.0,0.04943016,0.58266616,-0.20877065,-0.23512799,-0.20322852,-0.1369577,-0.13397849,0.10851162,0.8434463,-0.04963381,0.07164815,-0.13749021,0.8450326,0.05868414,-0.2502827,0.069871746,0.87923133,0.02280161,0.84289527,0.015488833,0.039175555,-0.23726024,0.15873612,0.11214093,0.8858759,-0.028483534,0.85418344,0.5205651,0.5707209,-0.21194497,0.11106457,0.1035201,0.04871807,-0.2577235,-0.078139395,-0.20932692,-0.23577572,-0.17096807,-0.21323906,-0.2694792,-0.23940404,-0.31164995,-0.17870344,-0.2642947,-0.06957745,-0.22764774,-0.2549016,-0.26621237,0.0077437377,-0.21798939,0.8514894,-0.37621877,0.020673847,0.102087826,0.5932977,-0.15209413,0.055802267,-0.34300208,-0.0026536286,0.053573564,-0.2709969,-0.22808452,-0.017039614
CA6,0.888475,0.024787404,-0.015828818,-0.033911515,-0.05437114,0.0634048,0.04943016,1.0,0.00073847687,-0.040075973,0.005516452,0.036446847,-0.031676576,-0.04775955,-0.0544942,-0.02906321,0.8343568,0.8352173,0.09122745,-0.0043805004,0.83621764,-0.0028729304,0.8725027,0.032318927,0.88111705,0.027515393,0.8593481,0.8907444,0.03879482,0.8593755,0.8592286,0.06787397,0.85542136,-0.0029149696,0.0066606235,0.01671919,-0.01086484,0.8228264,-0.067872144,0.0023866724,0.017628945,0.09746069,0.20664962,0.013979824,0.07024166,0.032184903,0.055410143,0.06723444,0.05802771,0.05214925,0.015267699,0.0030093486,0.01632283,0.07084705,0.020890001,0.83931243,-0.045317635,-0.01320325,-0.015211182,0.8854978,0.856248,-0.07014956,-0.017463783,0.86487883,-0.011215486,0.8866898,0.87918526,0.034888145,0.06132266,0.84672874
CCNA2,-0.04155765,-0.1432863,0.4224534,0.58091474,0.7339683,0.6388459,0.58266616,0.00073847687,1.0,0.017421907,-0.009886046,-0.032630257,0.07971087,0.12476224,0.6420836,0.5222015,-0.01455427,-0.015017921,-0.07290335,0.50712216,0.058135923,-0.20725073,0.070289046,0.4841937,-0.021214962,0.5548221,0.026894897,-0.019473994,-0.17602365,0.16052704,0.08936989,0.53559357,0.004353245,0.48303434,0.3183562,0.3478957,-0.10295132,0.08982359,0.2236627,0.13305089,-0.12303938,0.018765425,-0.13166332,-0.098466754,-0.07200287,-0.12366113,-0.14816827,-0.12559684,-0.14924595,-0.115875624,-0.16674119,0.0036233189,-0.12758999,-0.15433247,-0.18586847,0.0059848446,-0.021957751,0.5171198,-0.20692989,0.015757564,0.039200142,0.8665183,0.12623127,0.06947008,-0.26208705,-0.02646576,0.0022853666,-0.16906404,-0.10283781,0.018230028
CCT2,-0.044020608,0.46710843,0.26598153,0.28458792,0.1913593,-0.14230016,-0.20877065,-0.040075973,0.017421907,1.0,0.8273052,0.82593685,0.8329518,0.8756751,0.19583382,-0.1530422,0.027005536,-0.02875526,0.42948174,-0.116357654,-0.061823197,0.22262342,-0.03842684,-0.16891596,-0.001246219,-0.1154934,-0.09942523,0.026173668,0.34097922,0.014379605,-0.050836135,-0.29053566,0.047949452,-0.123318166,-0.3252003,-0.29927891,0.2041854,0.025857694,0.27467352,0.2291389,0.38987386,0.4188103,0.4808346,0.47158846,0.46504745,0.50611895,0.5694688,0.560242,0.50113267,0.4958507,0.47684732,0.34880883,0.35603124,0.4846493,0.47734377,-0.10226404,0.3866747,-0.17413099,0.16743797,0.02636104,-0.0855062,0.00018807314,0.8897669,-0.00626403,0.18042521,0.01897988,-0.010679928,0.43893605,0.41576496,0.035530508
