,ABCB5,ACOT6,BIRC5,BRF2,CA6,CDK1,CPA4,DDX42,DHX8,DNA2,DUSP14,ELMOD3,ESPL1,ETV3,HAVCR1,HOXD12,IDUA,KCNG3,LBX1,LRR1,NMUR1,NXF1,PAAF1,RAB3A,RPA1,SIRT6,SNRNP200,SOX2,TREM2,UFSP2,UNK,VCP,XAB2,ZAP70
ABCB5,1.0,-0.037548553,-0.02282902,-0.025257302,0.888475,-0.07226178,0.83863777,0.81885076,0.0045224465,-0.07614039,0.85293275,0.8998598,-0.05512127,0.90137136,0.892532,0.88895667,0.8428426,0.8421975,0.8870762,-0.06277419,0.78916746,-0.04758958,0.8355626,0.8874964,-0.058763295,0.8741276,0.021110114,0.8800506,0.8494427,0.88678163,0.8703553,-0.014162923,0.008272814,0.87628436
ACOT6,-0.037548553,1.0,-0.2593515,0.7300582,0.024787404,-0.134509,0.09590523,0.002197149,0.8323793,-0.2124198,-0.00564244,-0.03122378,-0.17019892,0.062247876,-0.05837602,0.02053458,-0.098324575,-0.01137297,0.032654997,-0.21799111,-0.09926302,0.84942126,-0.031423464,0.02674923,-0.20989546,-0.00075569947,0.708487,0.0011544011,-0.047506943,0.0675585,0.008666034,0.8485254,0.8269435,0.063168496
BIRC5,-0.02282902,-0.2593515,1.0,-0.20369178,0.04943016,0.8434463,-0.04963381,0.07164815,-0.13749021,0.8450326,0.05868414,0.069871746,0.87923133,0.02280161,0.015488833,0.039175555,0.15873612,0.11214093,-0.028483534,0.85418344,0.22856362,-0.21194497,0.11106457,0.0077437377,0.8514894,0.020673847,-0.19845514,0.102087826,0.055802267,-0.0026536286,0.053573564,-0.2709969,-0.22808452,-0.017039614
BRF2,-0.025257302,0.7300582,-0.20369178,1.0,0.056103628,-0.10202298,0.10433571,0.074154556,0.7962111,-0.17293066,0.0040347455,-0.008409133,-0.09344694,0.05519058,-0.08278692,0.025549648,-0.026739603,-0.0069923545,0.015332128,-0.17460647,-0.049844284,0.62330693,0.003583963,-0.007049773,-0.17671333,0.03023446,0.8246159,-0.02518208,-0.0022301036,0.030646183,0.014378816,0.72301954,0.7770697,0.092402644
CA6,0.888475,0.024787404,0.04943016,0.056103628,1.0,-0.02906321,0.8343568,0.8352173,0.09122745,-0.0043805004,0.83621764,0.8725027,0.032318927,0.88111705,0.8593481,0.8907444,0.8593755,0.8592286,0.85542136,-0.0029149696,0.7801141,-0.01086484,0.8228264,0.83931243,-0.01320325,0.8854978,0.103370056,0.856248,0.86487883,0.8866898,0.87918526,0.034888145,0.06132266,0.84672874
CDK1,-0.07226178,-0.134509,0.8434463,-0.10202298,-0.02906321,1.0,-0.08795057,0.06144061,-0.10772698,0.8442681,-0.053543165,-0.0022570896,0.86876017,-0.0047416193,-0.04133644,-0.031137226,0.06315966,0.04958289,-0.088296674,0.90239936,0.09985329,-0.055397935,0.06728403,-0.0295253,0.8657773,-0.048844855,-0.13274956,0.03391177,0.014222029,-0.03180412,-0.0032060267,-0.17227048,-0.16591357,-0.04922923
CPA4,0.83863777,0.09590523,-0.04963381,0.10433571,0.8343568,-0.08795057,1.0,0.8148844,0.13183646,-0.09118194,0.8337188,0.844812,-0.05780756,0.8391794,0.8127815,0.8418383,0.7950821,0.7758579,0.83958936,-0.0913153,0.71967995,0.049088802,0.7436036,0.86315155,-0.09823674,0.8607703,0.14787231,0.7959676,0.8094184,0.8528728,0.8252143,0.113864526,0.14422646,0.8582804
DDX42,0.81885076,0.002197149,0.07164815,0.074154556,0.8352173,0.06144061,0.8148844,1.0,0.06991331,0.05235369,0.7791759,0.82038,0.09408844,0.851255,0.8347206,0.8715615,0.80988216,0.7666545,0.81426036,0.056123197,0.6863554,-0.02962768,0.7558994,0.790592,0.006146773,0.85823333,0.101961136,0.85873234,0.8538268,0.8659214,0.83067214,0.00021172804,0.06124147,0.79578394
DHX8,0.0045224465,0.8323793,-0.13749021,0.7962111,0.09122745,-0.10772698,0.13183646,0.06991331,1.0,-0.16147651,0.074192636,0.03586836,-0.064692035,0.084097974,-0.03166099,0.07664437,-0.043543,0.051207036,0.053791,-0.17016535,-0.034747172,0.793994,0.014048941,0.054118957,-0.12138475,0.044053227,0.7527299,0.048554096,-0.009054414,0.08104674,0.06391796,0.8817106,0.93546534,0.0878696
DNA2,-0.07614039,-0.2124198,0.8450326,-0.17293066,-0.0043805004,0.8442681,-0.09118194,0.05235369,-0.16147651,1.0,-0.038003564,-0.004089613,0.807405,-0.008254433,-0.051829472,-0.02175028,0.09985539,0.049115997,-0.08581723,0.91798127,0.15919006,-0.23031981,0.10784565,-0.04910335,0.8790128,-0.032045506,-0.15849264,0.050982837,0.026784128,-0.037063718,0.0024834438,-0.25683492,-0.27573836,-0.07203561
