,ABCG8,ABTB1,ACVRL1,ADISSP,ARFIP2,ARHGAP8,ARHGEF9,ATCAY,ATG7,B4GALNT2,BCAP31,CAB39,CAMKV,CCL14,CCND1,CCND2,CDK16,CDKN1A,CDKN1B,CDKN2C,CDKN2D,CERT1,CPEB4,CRACR2B,CT83,CYB561D2,CYP1A2,CYP2A6,CYP4F11,DIXDC1,DUSP10,DUSP16,DUSP6,DYRK1B,E2F6,EIF1AX,ELANE,EML1,ENOPH1,EPB41L3,EPHX1,FAM110B,FAM114A1,FAM32A,FAM43A,FAM72B,FAM81A,FAM9A,FBXO34,FMR1NB,FOXP3,FSCN2,GADD45B,GADD45G,GALNT5,GCNT2,GPC1,GPR173,GRK2,GSK3A,GULP1,HOOK1,HOOK2,HOXC11,HOXC9,IFNL1,IGF2BP2,ITGB1BP2,KLC3,LGALS9,LSMEM2,LZTS2,MAF1,MAGEB4,MAP3K9,MAP4K4,MAPKAPK5,MARCKSL1,MGAT2,MGLL,MOS,MSN,MYT1,NAP1L5,NDE1,NDEL1,NEMP1,NPR2,NTS,OCM,OOSP2,OPA3,OR10G8,PAFAH1B1,PAFAH1B2,PAFAH1B3,PAK5,PARM1,PCDHGB4,PCYT1B,PI4KB,PIGN,PIK3CB,PIK3R1,PIP4K2A,PLLP,PNPLA6,POC1A,PODXL,POLR1D,PPP1R16B,PROSER2,PRR14,PRR15,PRUNE1,PTPN5,RAET1E,RAF1,RBM26,RBM47,RCSD1,RFTN1,RIBC1,RNF41,RP2,RPS6KA1,SCAMP2,SDC2,SLC25A48,SLC39A1,SLC5A8,SOX15,SPATA25,SPCS1,SPEG,SPO11,SRPK2,ST3GAL4,ST6GAL1,ST8SIA3,STK25,STK38,STK38L,STYK1,SUN2,SYAP1,SYS1,TAPBPL,TEF,TFAP2A,TFDP1,TMED8,TMEM179B,TMPO,TMX4,TOR1A,TOR1AIP2,TOR1B,TREML1,TSSK4,TXNIP,VGLL4,WIF1,ZBTB16
ABCG8,1.0,-0.15925689,-0.0066166297,0.100203216,0.07114049,0.029410258,-0.088832274,0.20574802,-0.021011034,-0.001261387,0.4670658,0.08556651,-0.015397543,0.082936496,-0.117178515,-0.19074696,0.1161762,0.12495984,0.18091843,0.18576011,0.17959508,0.08399143,0.35933867,0.18930253,0.019713823,-0.004467752,0.46403313,0.35629407,0.43230653,-0.11373043,-0.01654417,0.004149789,-0.05063478,0.09616651,0.131758,-0.040996723,0.054160316,0.033397693,-0.07517915,0.054504693,0.51603746,-0.011228904,0.1600766,-0.20839643,0.022541523,0.051590607,0.04606811,0.0044531785,0.03241003,0.53146195,-0.062200416,0.030009964,0.03518101,-0.069301285,0.025878934,-0.010614509,0.2030371,0.05308581,0.13680476,0.09584109,-0.0010592192,0.18006492,0.12840554,-0.11519683,0.12075121,0.14600335,-0.3127738,-0.06092081,-0.014418218,-0.08040891,-0.35913876,-0.13327649,-0.112086445,0.014090164,-0.07180234,-0.022520084,-0.028047688,0.024459349,0.07818475,0.13668406,-0.027640428,0.04327031,-0.056503672,-0.032416984,-0.11321968,-0.12571985,-0.4456809,0.45748603,0.048058644,0.02501879,-0.03442271,-0.0436644,0.061026067,-0.12890866,0.13234833,0.105827436,0.04655555,0.027815862,0.06624684,-0.25533763,0.055470407,0.085510604,-0.09552043,-0.028116997,-0.26512194,0.17587802,0.3497421,-0.23512405,0.01875616,-0.009775974,-0.037565436,0.129819,-0.37383214,0.030244194,-0.12420347,0.5134263,0.064233705,0.1383848,-0.0016415622,-0.24049678,0.017561698,-0.0062098093,0.40970826,0.13248408,0.0008086823,0.04000975,-0.0026504938,0.21485862,-0.044543434,0.0462484,0.06623613,-0.09217398,-0.02027588,0.0745994,-0.010256066,-0.008943674,0.3707087,0.05627521,-0.08513496,0.1354964,0.18536304,0.0768001,0.07032275,0.552262,-0.40950215,0.2978967,0.039134953,0.049542144,-0.015457196,-0.02908896,-0.10824306,0.33940318,0.14017576,-0.479119,0.520602,0.34726477,0.4823953,0.3499503,0.01460829,0.028796753,0.096030906,0.01080532,-0.023340449,-0.012316784
ABTB1,-0.15925689,1.0,0.08037939,0.15486276,-0.07086214,-0.1024086,0.119983554,-0.13991493,-0.040806092,0.0562226,-0.19726527,-0.033765532,0.18489222,-0.007999257,0.3700447,0.32168862,0.14513363,-0.058856256,-0.02035864,-0.08763001,-0.1833933,0.0050402638,-0.15705444,-0.09176602,0.014330541,0.0924763,-0.23126522,-0.2503265,-0.19784659,-0.019489434,0.18191679,0.23442078,0.11989349,-0.18604094,-0.029726729,0.11238356,-0.06777756,0.031052414,-0.052096773,0.065656565,-0.225174,-0.07260063,-0.18162465,0.58141685,-0.11034943,-0.05886152,0.27183583,0.033594843,-0.29688412,0.019340236,-0.008235356,-0.0439622,-0.06683778,-0.087082334,-0.088340804,-0.026717298,0.040966865,-0.14545318,-0.10517089,-0.062448718,0.07196032,0.020059587,0.054888397,0.20748538,0.12827772,-0.20210765,0.16956739,-0.027741749,0.3044832,0.15271011,0.30678707,-0.02654326,0.44768238,0.20498146,-0.033192076,-0.07177201,-0.13071747,0.015667662,-0.054215863,-0.11950388,-0.073855236,0.07388597,-0.097351976,-0.17312148,0.03529486,0.036400616,0.27744108,-0.09514344,0.13014895,-0.06962563,0.028393712,0.010207815,0.023030156,0.103118315,0.10331332,0.08622429,-0.02953159,-0.0021406896,0.09127501,0.22979143,-0.10184964,0.060559496,-0.014035225,0.2543382,0.13501799,-0.07092416,-0.15492189,0.18479115,0.01943231,0.0426524,0.37550938,-0.0073972605,0.10398881,0.09846721,0.10796533,-0.17713535,0.049611,-0.09044002,0.030438919,0.2755231,-0.3285352,0.10009045,-0.089738935,0.13588254,0.122236304,-0.2088235,0.16625409,0.038115427,0.11212959,-0.028175503,0.059590187,0.07580508,0.009124607,-0.05615745,-0.008851502,-0.07661976,-0.45819563,0.011054106,-0.024141148,0.025714928,0.10408457,-0.014910605,0.0058544874,-0.26578343,0.35147107,-0.22663225,0.04395371,-0.0023053437,0.056929372,0.019355483,0.117974296,-0.2633763,0.047633898,0.10184076,-0.2676649,-0.115640804,-0.1549924,-0.26047492,-0.12710437,0.11910123,-0.009353308,0.29091465,-0.007558331,0.04013269
ACVRL1,-0.0066166297,0.08037939,1.0,0.19135481,-0.07018088,-0.052911803,0.25241354,-0.043175608,0.057226844,-0.1570915,-0.00023656338,0.13121946,0.221371,0.017380007,0.19003245,0.20184618,0.19030514,-0.09211427,-0.057866205,-0.061582256,0.0034257174,0.12720834,0.019961208,-0.1000185,-0.0030924967,-0.109281674,0.08223669,0.19164234,0.013992295,0.16837606,0.51258516,0.4002784,0.34325278,-0.061521515,-0.073222205,-0.07471219,0.16825539,0.020895135,0.17058395,0.063472606,-0.0020705462,0.014450285,-0.12669915,0.12466372,-0.032686185,0.012142762,-0.23968565,0.07901888,-0.21817833,-0.02776556,0.31183118,0.037857234,-0.47741076,-0.47168797,0.11841575,0.18180707,-0.045425106,0.074819006,-0.050583743,0.13442078,0.13774185,-0.20947757,-0.13603996,0.25763634,0.2830766,0.08524947,-0.021001965,-0.03526227,-0.008373417,0.103549376,0.06350273,0.22206765,-0.058868937,0.18046828,-0.27430832,-0.01736548,-0.12607129,0.08285269,0.0068987757,0.04879632,-0.23299488,-0.005131632,0.26981902,0.084848575,0.13365558,0.11636246,-0.0076811165,0.062491328,0.053383917,-0.011980695,0.43468317,0.03180927,-0.048009235,0.14772482,0.011840429,-0.023458844,-0.4525702,0.1558764,0.019395297,0.168509,0.042338207,-0.13125674,-0.31333494,0.28876162,0.29185984,0.14378238,0.041537814,-0.1552008,0.0017055869,-0.040858418,0.32220843,0.11438911,-0.1780662,0.061104354,0.017699502,0.11743267,0.23096123,-0.33695439,-0.033666093,-0.06678801,0.039634213,0.04923877,-0.12006191,-0.1492287,0.024164427,-0.12843576,0.058678605,-0.017710079,0.09006435,0.090008095,0.13653767,0.40609118,0.053522848,-0.027627,-0.1229267,-0.02569827,0.025429077,0.17414144,-0.17052731,-0.18724513,-0.11215364,-0.014466339,0.08786984,0.08416169,0.13925615,0.048686206,-0.0041346364,-0.045430943,-0.076243386,0.050417233,0.08311872,-0.108061835,0.10364069,-0.06513405,0.038510624,-0.030932367,0.010617845,-0.10901725,0.018362448,0.0755673,-0.052762344,0.167418,0.09317039,-0.029122781
ADISSP,0.100203216,0.15486276,0.19135481,1.0,0.106015965,0.005127035,0.037005857,-0.048600715,0.04883913,-0.0027802894,0.07790034,0.24371205,0.013501242,0.005560362,0.10417965,0.2772845,0.04306957,-0.028077591,0.060031313,0.013389137,0.013027081,-0.17981887,0.17184742,0.0004841294,0.011737946,0.020100176,0.0945019,-0.054489106,0.105074346,0.18642461,0.34415185,0.36487353,0.33965313,-0.06882153,0.010577831,0.05916653,0.09343919,0.06970835,-0.21665056,0.012733314,0.13217077,0.13462561,0.13462713,0.033802398,-0.4495164,-0.056028876,0.23405294,0.11023986,-0.063676536,0.19386627,-0.21454981,0.025534272,-0.09441295,-0.2033185,-0.08402541,0.021631807,-0.008875238,-0.016076189,-0.048803,-0.17107037,-0.019226432,-0.15019819,-0.11301988,-0.106117845,0.16985965,-0.0068966653,0.073516265,-0.11733233,0.30191025,-0.21553326,-0.048130065,-0.32486302,0.012543421,0.2591844,-0.3178367,0.1332986,-0.23024704,-0.15737194,0.016688168,-0.03970306,-0.24484448,-0.093866944,-0.2994277,-0.09984813,0.07228516,0.006828971,-0.09902318,0.17523889,0.09447633,-0.07713699,0.18094218,0.00997103,0.031401984,0.052193053,-0.07343803,0.048674583,-0.16346832,-0.00609459,0.07525422,-0.20885116,0.09616811,0.10473198,-0.1385046,0.159739,-0.044200853,0.23195426,-0.038185958,0.12039607,-0.06557207,-0.1493989,0.22248895,-0.050085917,-0.07279546,-0.2189064,0.018126335,0.14467789,0.105331816,-0.26917326,-0.044786446,-0.11092695,0.07654656,-0.14796564,0.15059263,0.34322405,-0.23380832,-0.06934621,0.06820514,0.1088839,0.048992842,0.019094994,0.029785592,-0.20730537,0.08841962,-0.05350019,-0.2041939,-0.12704855,0.087047115,0.08091603,-0.027247943,0.06810065,-0.11677641,-0.0873876,0.062763475,0.07739049,0.0040229633,0.15764223,0.079322875,-0.044295378,0.092388436,-0.08339724,0.07861325,0.1139806,0.09283365,-0.12377183,0.092821784,0.1330421,0.21304314,0.09309968,-0.15373825,0.12389633,0.2854569,0.037208997,0.09132525,-0.014085315
ARFIP2,0.07114049,-0.07086214,-0.07018088,0.106015965,1.0,0.015141472,-0.11825311,0.24850908,0.04095806,0.30350572,0.19135812,0.56717265,-0.39060575,-0.036953557,0.048040304,0.11265175,0.22443765,-0.22738299,-0.18342364,-0.1614511,-0.13319987,-0.49470192,0.123601295,0.32767957,-0.0022926312,0.3010763,0.1411288,0.1861225,-0.019610863,-0.11371197,0.04252301,0.10014837,-0.06944634,-0.08765014,-0.22396019,-0.23728138,0.023848852,0.08535537,0.03678729,-0.056408115,0.05965279,0.51254624,0.42519838,0.086137354,-0.21117112,0.06997682,-0.017331276,-0.03563803,0.06819217,0.071339846,-0.089125015,-0.027964914,-0.0056446455,-0.060785577,-0.360377,-0.2897104,0.31250033,0.4160358,0.05837567,-0.14674063,0.0044015422,0.2170275,0.23716602,0.20033558,-0.02995595,-0.1610018,-0.14482173,0.0422477,-0.017651793,0.17603002,-0.11959477,-0.053079758,-0.15842927,0.10901818,0.106267735,0.22074568,-0.20040825,-0.5091732,-0.057318598,0.0091912355,-0.08686889,-0.3395482,0.037288755,0.010879006,-0.16325708,-0.1468121,-0.10499727,0.10070467,0.042569708,0.0634558,-0.28884983,0.02884394,-0.03159481,-0.18953782,0.26864567,0.15940198,0.11213601,-0.112951204,0.62868655,-0.06313373,0.50023466,0.056022897,-0.0638708,0.041088898,-0.41585875,0.62831223,0.09879816,0.054297514,-0.15065174,-0.016875017,0.022590153,-0.32867694,-0.07517351,-0.36730668,0.122197986,0.028265491,-0.103897266,0.17743951,0.057909213,-0.37395066,0.24448764,-0.41632313,0.029053919,-0.04844831,-0.47863984,0.13741273,0.6025472,0.340127,-0.0006689057,-0.018217575,-0.09304786,0.02345755,0.047715753,0.03625608,-0.27072775,0.034544304,-0.045187123,-0.23518199,0.16180691,0.30511814,0.3594221,0.42549336,0.54333687,0.03633305,0.020445555,0.47242525,0.6781386,-0.007375734,0.037312258,-0.016621752,0.24616799,0.11152018,0.6003544,-0.022697229,0.10720654,0.07603588,0.053360842,-0.067962855,0.07417818,-0.06593645,-0.108296156,-0.05085796,0.2005301,-0.017772704
ARHGAP8,0.029410258,-0.1024086,-0.052911803,0.005127035,0.015141472,1.0,-0.12488554,-0.01881563,-0.005759035,0.078169666,0.05005933,0.018496579,-0.075373456,0.0565786,-0.07427804,0.017790474,0.033696786,-0.040530838,-0.020202663,-0.026963383,0.05152996,0.03328861,0.04797124,-0.021427147,0.052266963,-0.09601781,0.006874386,0.1207623,0.12302166,0.1449289,-0.0037217569,-0.008975841,-1.7631799e-05,-0.02312172,-0.05130137,0.14654674,-0.47254416,-0.030098617,0.093234204,-0.039641988,0.09934372,0.09007253,0.006329706,-0.16107306,0.0052963523,-0.45727897,-0.044947304,-0.040310312,0.30004156,0.058829747,0.024322005,-0.041255835,0.13168737,0.05982805,0.21916093,0.055772126,0.10930471,0.10928634,0.14852518,0.16187125,-0.48820508,-0.06721024,-0.123936415,-0.013309598,0.029607423,0.19372775,-0.05015569,-0.022550462,0.018520545,-0.13347167,-0.14387193,-0.031131767,-0.1514777,-0.07992059,-0.010439701,0.1546275,0.02497746,0.07675927,0.7337414,0.030794494,0.11874838,-0.01799503,-0.04343623,0.07959292,0.19500956,0.26878774,-0.04346638,-0.010433359,-0.48225594,-0.03043383,0.09868385,0.03803453,0.03579224,0.28920037,-0.100681014,-0.0313076,0.0235001,-0.0021810485,-0.043247886,-0.15178908,0.17614335,0.11008097,0.0066767037,-0.10141275,-0.1516792,0.008661456,0.021485632,-0.009092108,0.77299666,0.001742566,-0.054505058,-0.015331694,-0.04434534,-0.061182857,-0.057704434,0.055558763,0.072974995,-0.09735696,-0.50638676,-0.05128009,0.1313558,-0.06267285,0.11232181,0.031439517,-0.06981143,0.1171939,-0.03784357,0.061148513,0.027636029,0.09448046,0.114575624,-0.0018297154,0.07129417,0.04875443,-0.117336884,-0.46204123,0.21828079,0.29383448,0.024179317,-0.076527625,-0.0590791,0.04910835,0.017820677,0.10052444,-0.145708,0.07906586,-0.006192833,-0.033809718,0.08196927,-0.011531904,-0.03389872,0.0141633,0.027407715,-0.046114624,0.09197934,0.071998216,0.06438462,0.12588438,0.07060962,-0.021518078,0.17039101,-0.012800304,-0.44770104,-0.079872295
ARHGEF9,-0.088832274,0.119983554,0.25241354,0.037005857,-0.11825311,-0.12488554,1.0,-0.010599367,0.09784107,0.047135204,-0.061163515,-0.05164869,0.166508,-0.07140454,0.22699746,0.16205852,-0.089930475,0.012854975,-0.0056889467,-0.020801645,-0.06080594,0.090683684,-0.16782643,-0.0037108678,-0.06095061,-0.06358458,-0.15815774,-0.15176359,-0.122677684,0.11339157,0.028397089,0.0077039637,0.12725954,-0.061408885,-0.015016433,-0.032335777,0.047184993,0.060130168,-0.018886454,0.034769118,-0.15568604,-0.3493235,-0.021916091,0.1930317,-0.13887247,0.077073105,-0.005837433,0.079830915,-0.18589917,-0.09340437,0.22592932,0.13336061,-0.166652,-0.15262586,-0.08859337,0.027693626,-0.17801797,-0.074408576,-0.49284086,-0.20043404,0.042387933,0.045762468,0.0636471,0.10279267,0.028733414,-0.20935278,-0.04205434,0.0017785099,-0.06637733,0.13290851,0.2338785,0.07542706,0.2163423,0.20403314,0.057855543,-0.027544517,0.16083786,0.07664211,-0.07827058,0.03766672,-0.20189449,-0.08957018,0.002828367,-0.101361334,-0.09283775,-0.07953768,0.22757666,-0.20833255,0.056367677,0.0057086926,-0.075735524,0.03927768,-0.07142456,0.008823112,0.15415415,0.02555281,-0.30333647,-0.0107845515,-0.012212563,0.33238304,-0.12147847,-0.24725819,0.09950055,-0.014287072,0.3185561,-0.05473496,-0.123193935,-0.019375388,-0.06772245,-0.014573003,0.24811141,0.21619211,-0.08478002,0.15326205,0.17157228,-0.006702617,-0.04608598,-0.053307176,0.06636877,0.31499872,-0.24146889,0.1129152,-0.12460797,-0.096564315,0.1407991,-0.46454883,0.029308157,-0.11579515,-0.015499893,-0.020100929,-0.025543664,0.08207116,0.027523974,0.0045711957,-0.0067373854,0.008212067,-0.07819581,-0.11027178,0.031634692,0.08955577,-0.18867487,-0.16182932,0.00057963654,-0.23598906,0.17721237,-0.14975917,-0.06863363,0.0018205419,-0.013907228,0.25547522,-0.030395454,-0.13677062,-0.10894847,0.024080299,-0.123431265,-0.1442858,-0.17092092,-0.24695359,0.16707578,-0.047383524,-0.21847458,0.11139347,0.13649215,0.036572963
ATCAY,0.20574802,-0.13991493,-0.043175608,-0.048600715,0.24850908,-0.01881563,-0.010599367,1.0,0.030972075,0.19504638,0.16894057,0.24182974,-0.23771706,-0.017663918,-0.15981278,-0.09155827,0.24141976,-0.12170534,-0.07857507,-0.06021309,-0.09040113,-0.22731373,0.0044333413,0.428219,-0.039073754,0.3100899,0.12807576,0.4252,0.14355107,-0.26920423,0.013074115,-0.04068378,-0.06786885,0.09951675,-0.05577305,-0.23449774,-0.032264736,0.10612754,0.008666839,-0.014581066,0.16955632,0.15918829,0.42989793,0.0014379434,0.15903923,-0.008701298,-0.03564302,-0.12880264,0.050651148,0.20986979,-0.020497646,-0.00666037,0.027342863,-0.06893253,-0.2516476,-0.16822258,0.21334091,0.22297639,0.19304965,0.10738103,-0.033790506,0.41833276,0.5002428,0.016779654,-0.11139319,-0.2333897,-0.40779155,0.07476564,-0.11332554,0.15790118,-0.24262534,-0.026102345,-0.11452465,0.24785453,0.10451369,0.09515683,-0.13407522,-0.22778562,-0.088386804,0.009496034,0.11594324,-0.07528191,-0.0414685,-0.34339032,-0.5328878,-0.4901271,-0.25523168,0.11888486,0.022224775,0.021474477,-0.124734506,-0.027208384,-0.029457768,-0.45077473,0.45943865,0.40487063,0.0071826056,-0.10253651,0.19005045,-0.07328263,0.00994483,-0.12969807,-0.09533762,0.011137966,-0.1713236,0.29648238,0.34699118,-0.3562665,-0.034537222,-0.041284025,-0.083939016,-0.062460415,-0.041372236,-0.124285504,-0.18603793,0.14409453,-0.1273469,0.27867624,-0.013039403,-0.26512933,0.12552613,-0.10586712,0.024016917,-0.06904003,-0.15028426,0.12646255,0.18630517,0.14039989,0.0035971291,-0.04531595,-0.17776564,0.10664798,-0.035817858,0.087812334,-0.07402932,-0.05149987,0.008718841,-0.28094488,0.026428053,0.25971442,0.30625862,0.25181347,0.2448965,0.2664497,-0.2643422,0.34360147,0.23658083,-0.082946256,-0.027457282,-0.028006786,0.0129892975,0.24313831,0.21945968,-0.19756941,0.16542746,0.06917928,0.111151874,0.023648486,0.19194499,-0.053143635,-0.20054908,-0.14684235,-0.025762556,0.0072917026
ATG7,-0.021011034,-0.040806092,0.057226844,0.04883913,0.04095806,-0.005759035,0.09784107,0.030972075,1.0,0.0017567202,-0.020873409,0.02839773,0.02042061,0.42790574,0.03427881,0.02371918,0.055462044,-0.0027123555,0.00095817354,-0.040580645,-0.05264475,-0.004865434,-0.076684356,0.04168132,-0.555008,0.019765435,-0.08015542,-0.019091142,-0.049613457,0.032652877,0.040673584,-0.019267522,0.018795488,-0.019304097,-0.01241131,-0.019897828,0.03756883,0.4088921,0.07513593,-0.3723639,-0.05267994,0.012463041,0.04661727,0.017653733,-0.037528228,-0.010612965,-0.055976596,0.5817784,0.032794688,-0.09899151,0.09797165,0.572562,-0.049807355,-0.068212956,-0.013241956,0.067075655,-0.014765538,0.010332307,-0.0471756,-0.002764199,-0.0026570894,-0.022328306,0.052233387,0.039302815,0.0039449297,0.010299558,0.005848948,-0.5411522,-0.096563,0.04999028,-0.01787328,0.03660012,0.021684537,0.009851663,0.0053291023,0.08978744,0.030221589,-0.03364435,-0.014242917,0.4080018,-0.06854831,-0.028276267,0.06421897,0.034318276,-0.034313343,-0.051248703,0.028197024,-0.05516778,0.039157897,-0.44498694,-0.0017618053,0.38812757,-0.53550416,-0.03218229,0.043440726,0.059153516,-0.07309459,-0.029619616,0.011829771,0.033559106,-0.07771345,-0.048050757,0.039660454,-0.024145102,0.07658084,0.059701554,0.0312696,-0.008648485,-0.040887326,-0.5141964,0.04083157,0.040286582,-0.022309454,0.0029820912,0.011773476,-0.06108761,0.06324519,-0.0649566,0.047086235,-0.010669854,0.03593408,0.017970502,-0.035173714,-0.063046396,-0.0039625117,-0.02295943,0.04264816,-0.0037109246,0.37192425,0.545236,0.4295143,0.063376844,-0.54604536,-0.4558553,-0.061536286,-0.04198378,0.0050562983,-0.05720303,-0.022752427,0.06966352,-0.024234632,-0.018356198,-0.056613956,-0.05195884,0.056673296,0.005942447,0.058306698,-0.5069033,0.40176976,0.022804454,-0.03298279,0.026799373,-0.010193259,-0.03747169,-0.07195629,-0.045941584,-0.054411564,-0.11166456,-0.021511804,0.35335824,-0.04251004,0.42249885,-0.035636004,-0.46811974
B4GALNT2,-0.001261387,0.0562226,-0.1570915,-0.0027802894,0.30350572,0.078169666,0.047135204,0.19504638,0.0017567202,1.0,0.02791768,0.026740046,0.021170579,0.01318991,0.07183619,0.08124198,0.07128303,-0.12591392,-0.100335605,-0.11624837,-0.14600468,-0.080464974,-0.121113196,0.3276112,0.019338435,0.4115166,-0.033584706,0.1136328,0.042986054,-0.13014641,-0.09820749,-0.059961334,0.017279867,-0.010044577,-0.11830422,-0.13493642,-0.08151943,0.07003382,-0.13716392,0.02012464,0.08452754,-0.005995471,0.370066,0.15448831,0.09831944,-0.056405045,0.07245469,-0.060071163,-0.055757977,0.057745263,-0.102263354,-0.021370295,0.05520559,0.08518742,-0.4839099,-0.4714357,0.013592744,-0.12917006,0.029212851,-0.07736566,-0.06469975,0.30289435,0.1296925,0.13702622,-0.031652488,-0.29407603,0.0060160886,0.1080151,0.09210263,0.22062908,0.16040945,-0.055611324,0.157758,0.16682713,0.0054515153,-0.031672254,0.06012772,0.052667513,-0.014390789,-0.053685293,-0.010640774,0.042203676,-0.010984848,-0.17381084,-0.070479,-0.028655708,0.17400262,0.06408389,-0.026275516,0.08097385,-0.15334964,0.014158244,0.018115878,0.01887371,0.35005552,0.25617978,-0.00261317,-0.4577726,0.19488896,0.034717582,0.019550614,-0.09215225,-0.096117616,0.016557693,0.015520072,0.033895854,0.032551028,0.030926803,0.019866262,0.010819865,-0.037457377,0.0065335464,0.048175905,0.00949895,0.1162712,-0.112778306,-0.35997772,0.14637974,0.023257066,-0.0017620781,0.036546838,0.010757284,-0.113550425,0.062386997,-0.01973677,0.104195476,0.07114803,-0.0069388114,0.03487976,-0.038956042,-0.12252672,0.028936435,0.010940574,0.04449847,0.06799103,-0.14909834,-0.07599854,-0.3566292,0.57366765,0.50231814,0.20221356,-0.018614992,0.0062246453,0.047377337,0.12667897,0.16130194,0.17806958,0.027218811,0.0075476,-0.020387042,0.071757704,0.001783201,0.00089691766,0.03547723,-0.08558077,-0.12399181,-0.093900055,-0.18345754,0.034738727,0.05390707,-0.13551363,-0.11897629,0.03272897,0.035960533
