,ABCG8,ABTB1,ARFIP2,ARHGAP8,ATG7,B4GALNT2,BCAP31,CAB39,CAMKV,CCL14,CERT1,CRACR2B,CT83,CYB561D2,CYP2A6,ELANE,EML1,EPHX1,FAM110B,FAM114A1,FAM32A,FAM9A,FBXO34,FMR1NB,FSCN2,GALNT5,GPR173,GULP1,HOOK2,HOXC9,ITGB1BP2,KLC3,LSMEM2,MAP4K4,MARCKSL1,MGAT2,MGLL,MOS,MSN,MYT1,NAP1L5,NDE1,NEMP1,NPR2,NTS,OCM,OPA3,OR10G8,PAFAH1B1,PAFAH1B2,PAFAH1B3,PARM1,PI4KB,PIP4K2A,POC1A,PODXL,POLR1D,PPP1R16B,PROSER2,PRR14,PRR15,PTPN5,RBM26,RBM47,RFTN1,RIBC1,RNF41,SCAMP2,SLC25A48,SLC39A1,SLC5A8,SPATA25,SPCS1,SPEG,SPO11,SRPK2,STK38,STK38L,STYK1,SUN2,SYAP1,TEF,TFAP2A,TMED8,TMEM179B,TMPO,TMX4,TOR1A,TOR1AIP2,TOR1B,TSSK4,VGLL4
ABCG8,1.0,-0.15925689,0.07114049,0.029410258,-0.021011034,-0.001261387,0.4670658,0.08556651,-0.015397543,0.082936496,0.08399143,0.18930253,0.019713823,-0.004467752,0.35629407,0.054160316,0.033397693,0.51603746,-0.011228904,0.1600766,-0.20839643,0.0044531785,0.03241003,0.53146195,0.030009964,0.025878934,0.05308581,-0.0010592192,0.12840554,0.12075121,-0.06092081,-0.014418218,-0.35913876,-0.022520084,0.024459349,0.07818475,0.13668406,-0.027640428,0.04327031,-0.056503672,-0.032416984,-0.11321968,-0.4456809,0.45748603,0.048058644,0.02501879,-0.0436644,0.061026067,-0.12890866,0.13234833,0.105827436,0.027815862,0.055470407,-0.26512194,-0.23512405,0.01875616,-0.009775974,-0.037565436,0.129819,-0.37383214,0.030244194,0.5134263,-0.0016415622,-0.24049678,-0.0062098093,0.40970826,0.13248408,-0.0026504938,-0.044543434,0.0462484,0.06623613,-0.02027588,0.0745994,-0.010256066,-0.008943674,0.3707087,0.0768001,0.07032275,0.552262,-0.40950215,0.2978967,-0.015457196,-0.02908896,0.33940318,0.14017576,-0.479119,0.520602,0.34726477,0.4823953,0.3499503,0.028796753,0.01080532
ABTB1,-0.15925689,1.0,-0.07086214,-0.1024086,-0.040806092,0.0562226,-0.19726527,-0.033765532,0.18489222,-0.007999257,0.0050402638,-0.09176602,0.014330541,0.0924763,-0.2503265,-0.06777756,0.031052414,-0.225174,-0.07260063,-0.18162465,0.58141685,0.033594843,-0.29688412,0.019340236,-0.0439622,-0.088340804,-0.14545318,0.07196032,0.054888397,0.12827772,-0.027741749,0.3044832,0.30678707,-0.07177201,0.015667662,-0.054215863,-0.11950388,-0.073855236,0.07388597,-0.097351976,-0.17312148,0.03529486,0.27744108,-0.09514344,0.13014895,-0.06962563,0.010207815,0.023030156,0.103118315,0.10331332,0.08622429,-0.0021406896,-0.10184964,0.13501799,0.18479115,0.01943231,0.0426524,0.37550938,-0.0073972605,0.10398881,0.09846721,-0.17713535,0.030438919,0.2755231,0.10009045,-0.089738935,0.13588254,0.16625409,0.11212959,-0.028175503,0.059590187,0.009124607,-0.05615745,-0.008851502,-0.07661976,-0.45819563,-0.014910605,0.0058544874,-0.26578343,0.35147107,-0.22663225,0.056929372,0.019355483,-0.2633763,0.047633898,0.10184076,-0.2676649,-0.115640804,-0.1549924,-0.26047492,0.11910123,0.29091465
ARFIP2,0.07114049,-0.07086214,1.0,0.015141472,0.04095806,0.30350572,0.19135812,0.56717265,-0.39060575,-0.036953557,-0.49470192,0.32767957,-0.0022926312,0.3010763,0.1861225,0.023848852,0.08535537,0.05965279,0.51254624,0.42519838,0.086137354,-0.03563803,0.06819217,0.071339846,-0.027964914,-0.360377,0.4160358,0.0044015422,0.23716602,-0.02995595,0.0422477,-0.017651793,-0.11959477,0.22074568,-0.5091732,-0.057318598,0.0091912355,-0.08686889,-0.3395482,0.037288755,0.010879006,-0.16325708,-0.10499727,0.10070467,0.042569708,0.0634558,0.02884394,-0.03159481,-0.18953782,0.26864567,0.15940198,-0.112951204,0.50023466,-0.41585875,0.054297514,-0.15065174,-0.016875017,0.022590153,-0.32867694,-0.07517351,-0.36730668,0.028265491,0.057909213,-0.37395066,-0.41632313,0.029053919,-0.04844831,0.6025472,-0.0006689057,-0.018217575,-0.09304786,0.047715753,0.03625608,-0.27072775,0.034544304,-0.045187123,0.42549336,0.54333687,0.03633305,0.020445555,0.47242525,0.037312258,-0.016621752,0.11152018,0.6003544,-0.022697229,0.10720654,0.07603588,0.053360842,-0.067962855,-0.06593645,-0.05085796
ARHGAP8,0.029410258,-0.1024086,0.015141472,1.0,-0.005759035,0.078169666,0.05005933,0.018496579,-0.075373456,0.0565786,0.03328861,-0.021427147,0.052266963,-0.09601781,0.1207623,-0.47254416,-0.030098617,0.09934372,0.09007253,0.006329706,-0.16107306,-0.040310312,0.30004156,0.058829747,-0.041255835,0.21916093,0.10928634,-0.48820508,-0.123936415,0.029607423,-0.022550462,0.018520545,-0.14387193,0.1546275,0.07675927,0.7337414,0.030794494,0.11874838,-0.01799503,-0.04343623,0.07959292,0.19500956,-0.04346638,-0.010433359,-0.48225594,-0.03043383,0.03803453,0.03579224,0.28920037,-0.100681014,-0.0313076,-0.0021810485,0.17614335,-0.1516792,-0.009092108,0.77299666,0.001742566,-0.054505058,-0.015331694,-0.04434534,-0.061182857,0.055558763,-0.50638676,-0.05128009,-0.06267285,0.11232181,0.031439517,-0.03784357,0.027636029,0.09448046,0.114575624,0.07129417,0.04875443,-0.117336884,-0.46204123,0.21828079,0.04910835,0.017820677,0.10052444,-0.145708,0.07906586,0.08196927,-0.011531904,0.0141633,0.027407715,-0.046114624,0.09197934,0.071998216,0.06438462,0.12588438,-0.021518078,-0.012800304
ATG7,-0.021011034,-0.040806092,0.04095806,-0.005759035,1.0,0.0017567202,-0.020873409,0.02839773,0.02042061,0.42790574,-0.004865434,0.04168132,-0.555008,0.019765435,-0.019091142,0.03756883,0.4088921,-0.05267994,0.012463041,0.04661727,0.017653733,0.5817784,0.032794688,-0.09899151,0.572562,-0.013241956,0.010332307,-0.0026570894,0.052233387,0.0039449297,-0.5411522,-0.096563,-0.01787328,0.08978744,-0.03364435,-0.014242917,0.4080018,-0.06854831,-0.028276267,0.06421897,0.034318276,-0.034313343,0.028197024,-0.05516778,0.039157897,-0.44498694,0.38812757,-0.53550416,-0.03218229,0.043440726,0.059153516,-0.029619616,-0.07771345,0.07658084,-0.008648485,-0.040887326,-0.5141964,0.04083157,0.040286582,-0.022309454,0.0029820912,-0.06108761,0.047086235,-0.010669854,0.017970502,-0.035173714,-0.063046396,0.04264816,0.37192425,0.545236,0.4295143,-0.54604536,-0.4558553,-0.061536286,-0.04198378,0.0050562983,-0.018356198,-0.056613956,-0.05195884,0.056673296,0.005942447,0.40176976,0.022804454,0.026799373,-0.010193259,-0.03747169,-0.07195629,-0.045941584,-0.054411564,-0.11166456,0.35335824,0.42249885
B4GALNT2,-0.001261387,0.0562226,0.30350572,0.078169666,0.0017567202,1.0,0.02791768,0.026740046,0.021170579,0.01318991,-0.080464974,0.3276112,0.019338435,0.4115166,0.1136328,-0.08151943,0.07003382,0.08452754,-0.005995471,0.370066,0.15448831,-0.060071163,-0.055757977,0.057745263,-0.021370295,-0.4839099,-0.12917006,-0.06469975,0.1296925,-0.031652488,0.1080151,0.09210263,0.16040945,-0.031672254,0.052667513,-0.014390789,-0.053685293,-0.010640774,0.042203676,-0.010984848,-0.17381084,-0.070479,0.17400262,0.06408389,-0.026275516,0.08097385,0.014158244,0.018115878,0.01887371,0.35005552,0.25617978,-0.4577726,0.019550614,0.015520072,0.030926803,0.019866262,0.010819865,-0.037457377,0.0065335464,0.048175905,0.00949895,-0.112778306,0.023257066,-0.0017620781,0.010757284,-0.113550425,0.062386997,0.07114803,0.03487976,-0.038956042,-0.12252672,0.010940574,0.04449847,0.06799103,-0.14909834,-0.07599854,-0.018614992,0.0062246453,0.047377337,0.12667897,0.16130194,0.0075476,-0.020387042,0.001783201,0.00089691766,0.03547723,-0.08558077,-0.12399181,-0.093900055,-0.18345754,0.05390707,-0.11897629
BCAP31,0.4670658,-0.19726527,0.19135812,0.05005933,-0.020873409,0.02791768,1.0,0.19399223,-0.024722055,0.06829825,-0.0035757553,0.18258381,0.056685664,-0.02800192,0.32498997,0.14598918,0.053133134,0.48200947,0.06676361,0.16048637,-0.22551796,0.019810364,0.1347481,0.48875663,0.1274607,-0.046109837,0.1682089,0.08754076,0.09528029,0.20274666,0.032485917,-0.112934336,-0.44866168,0.08794795,-0.11639248,0.0037116967,0.10823183,-0.04327228,-0.01912262,-0.015536278,0.006471753,-0.14563425,-0.46060008,0.51546425,0.021855388,0.08014283,-0.12260863,0.052337654,-0.18722825,0.03832598,0.06411302,-0.007676298,0.07407834,-0.3203332,-0.13854098,0.0003380105,0.06942414,-0.015050881,0.08719097,-0.3979154,-0.053440012,0.48845375,0.08382541,-0.32426545,-0.09606637,0.3347503,0.054061793,0.12597768,-0.16704983,0.07968271,0.06987267,0.06255019,0.15112408,-0.048153926,0.038922388,0.368328,0.17372778,0.19811709,0.48741245,-0.36693084,0.34082133,0.043494035,-0.01038354,0.38626635,0.23133592,-0.40466344,0.54030716,0.22322609,0.5164621,0.41352803,-0.10187946,-0.008098785
CAB39,0.08556651,-0.033765532,0.56717265,0.018496579,0.02839773,0.026740046,0.19399223,1.0,-0.35634115,-0.017676849,-0.32689014,0.30929467,0.024657834,0.12016742,0.21418275,-0.008871693,0.15620881,0.04611449,0.4026211,0.23496455,0.040895157,-0.04778806,-0.078865305,0.05849182,-0.019370345,-0.038814828,0.4518913,-0.055640828,0.2224238,0.084282875,0.035910167,0.053935654,-0.19603968,0.3792504,-0.45543498,0.063664645,-0.01925201,-0.09806344,-0.36820704,0.037085943,-0.051920794,-0.21610329,-0.1659163,0.08896043,0.008994972,0.07356014,-0.06953685,0.002576679,-0.17847307,0.29302943,0.20302059,0.0664168,0.4244534,-0.30312145,-0.13515717,-0.035519723,-0.02024452,0.17177996,-0.43532073,-0.0714635,-0.45806935,0.040837795,-0.039010603,-0.31001297,-0.4166614,-0.07459658,-0.073972344,0.43311465,-0.045406274,-0.02439701,-0.0074845143,0.06582112,0.019943519,-0.42429456,-0.04738701,-0.03259049,0.5279405,0.65556735,0.07170602,-0.007853866,0.3790558,0.0066739805,-0.0723346,0.046954438,0.5347786,-0.08177015,0.15318619,0.093843855,0.11795372,-0.029005237,-0.13213721,-0.03084565
CAMKV,-0.015397543,0.18489222,-0.39060575,-0.075373456,0.02042061,0.021170579,-0.024722055,-0.35634115,1.0,0.05736553,0.5914963,-0.10535737,-0.031149838,-0.097245306,-0.15337619,0.105543,0.021350887,-0.071183756,-0.3582384,-0.25265846,0.09305544,0.030544274,-0.30219752,0.029056124,0.08718276,0.11517942,-0.4948278,0.07216942,-0.16811794,0.15961167,0.0037390143,0.12661138,0.25164598,-0.47992605,0.52155066,-0.014559327,-0.003408229,0.0029004123,0.4465574,-0.07148674,-0.07796658,0.19086026,0.21525279,0.13961077,0.090171166,-0.0028062537,-0.03148629,0.06576763,0.16688085,-0.15872648,-0.020100582,-0.026209278,-0.37754607,0.50369227,0.05966796,0.07065009,0.106984064,0.3139685,0.42205462,-0.003066035,0.47896147,0.08563804,0.024616811,0.4477376,0.5838058,-0.1716926,0.23477934,-0.2869457,-0.07873508,0.1354422,0.1683071,-0.05987554,0.041314818,0.36287123,0.031947043,0.046993107,-0.4677823,-0.415332,0.054576002,0.14072224,-0.2993111,0.017345041,-0.16236283,-0.17202552,-0.36941573,0.023690749,-0.04407892,-0.11283459,0.0030144304,-0.016123027,0.059543315,0.059491053
CCL14,0.082936496,-0.007999257,-0.036953557,0.0565786,0.42790574,0.01318991,0.06829825,-0.017676849,0.05736553,1.0,0.08424427,-0.06874162,-0.53387713,-0.011867409,0.07400536,-0.06613888,0.48578948,0.026435524,-0.0058562495,-0.0077483915,-0.07888797,0.41302228,0.0020331088,0.02899937,0.32255587,0.006028585,-0.057209767,-0.034062736,-0.06647828,-0.04970333,-0.45396382,0.05750627,-0.07514705,0.042127647,0.040180683,0.09011584,0.36929893,0.05863163,0.0681656,0.032911666,0.0061964504,0.11228852,-0.085454054,0.0892912,-0.051272906,-0.39011618,0.2508438,-0.4719468,0.0898332,-0.08586073,-0.026332974,0.0043019764,0.006362279,0.041707665,0.03918338,0.031792246,-0.3994827,0.029185552,0.028530616,0.022456422,0.020337021,0.04834368,-0.05190227,-0.030128114,0.03634152,0.022585548,0.0968904,-0.08881115,0.27420288,0.3811588,0.32236642,-0.4404552,-0.32652894,0.015096341,-0.11043859,0.08045927,-0.080118455,-0.07734556,0.1315062,-0.061180905,-0.00043690577,0.37881082,-0.094943956,0.023990547,-0.06391137,-0.081411466,0.0662816,0.025062524,0.08059606,0.015481337,0.34675312,0.27611846
