,ACSM5,ALDH18A1,ALKBH7,ANKDD1A,ATG9A,BCAT2,BCKDK,BDKRB1,CLCNKB,CLEC1A,COQ5,CYC1,DGUOK,EARS2,ECHDC3,GLYATL1,GNRHR,GPR152,GPR176,HEMK1,KCND1,KIR2DL1,LDHAL6B,LY6K,MCAT,METTL17,MIPEP,MPPED1,MRPS2,NEU1,NPBWR2,OLFML3,OR10H2,OR12D3,OR13A1,OR2A2,OR2L13,OR2S2,OR6B2,OS9,PHB1,PIGV,PTDSS1,PTGR3,RHBG,RIDA,SCAPER,SFTPD,SLC22A13,SLC22A14,SLC35F5,SLC7A9,SLCO6A1,TUFM,UCP2,UQCRFS1,VIT,VSIR
ACSM5,1.0,0.69145554,0.8429111,0.04101394,-0.055503033,0.61148715,0.80616087,-0.140649,-0.04038826,-0.1099899,0.84304786,-0.011056382,0.8087776,0.73700786,0.77313405,0.79946935,-0.10294409,-0.13335802,-0.030393431,0.7718854,-0.05531417,-0.08805295,0.8163449,-0.0702698,0.78253424,0.7826785,0.8273514,0.7587194,0.7331617,-0.13471374,-0.049199115,-0.15907334,-0.11114891,-0.04282214,-0.08399146,0.025101595,-0.17162171,-0.13754918,-0.007370036,-0.11979918,0.17402676,-0.009500522,0.037284903,0.83971786,-0.07855354,0.8556838,-0.04639267,-0.16303757,-0.09279949,0.00039057247,-0.09925245,-0.0992226,-0.03912215,0.75995666,0.15762156,0.76793283,0.10074966,-0.040498145
ALDH18A1,0.69145554,1.0,0.6606306,0.07174599,-0.017012684,0.7328457,0.6294195,-0.063614614,-0.034753382,-0.14892894,0.63543,0.34339353,0.8607793,0.734103,0.5285994,0.6791177,-0.06030401,-0.119098246,0.05028495,0.6919621,-0.028681042,-0.036842972,0.7032674,-0.012269449,0.7973593,0.69491374,0.63729495,0.6532445,0.85756695,-0.16395271,-0.016489405,-0.21165326,-0.033128187,-0.0041211965,-0.023405556,0.100501016,-0.09597652,-0.08232677,0.03095782,-0.17654788,0.5089091,0.009537824,0.09328541,0.73813653,-0.033980504,0.76541424,0.010415288,-0.22467329,-0.04302039,0.039730605,-0.062121686,-0.03463968,0.028691342,0.6917067,0.48294407,0.77001804,0.11318828,0.037536364
ALKBH7,0.8429111,0.6606306,1.0,0.05290606,-0.042118497,0.60482955,0.8921034,-0.09380902,-0.026884943,-0.09544692,0.92166483,0.10563425,0.82920206,0.76558346,0.83750427,0.7883996,-0.06882635,-0.09520343,-0.007818548,0.7794062,-0.04612627,-0.035810202,0.81227934,-0.035516787,0.803632,0.73646605,0.8797147,0.71194637,0.76917505,-0.10825158,-0.03239443,-0.12581687,-0.07750911,-0.013150189,-0.044933543,0.03649275,-0.12899224,-0.089082256,0.004958503,-0.098144434,0.2377884,0.008753691,0.048299067,0.81620485,-0.05422228,0.87203395,-0.024902405,-0.14484258,-0.059016004,0.012933817,-0.08300656,-0.05062446,-0.007781828,0.79686105,0.23064113,0.695233,0.09630206,0.006100405
ANKDD1A,0.04101394,0.07174599,0.05290606,1.0,0.31660095,0.16587833,-0.015669888,0.23342374,0.24531132,-0.053091127,0.003960723,0.19897,0.0325884,0.030706044,0.10338311,0.05136924,0.25985613,0.17002751,0.3206045,0.036049984,0.25342226,0.06812877,0.25057504,0.26715398,0.08571016,-0.0030137673,0.006324079,0.018642567,0.09984328,0.06819425,0.32106692,0.04606398,0.28132397,0.3345793,0.27949083,0.31820917,0.2705893,0.22379673,0.32031673,0.073382676,0.18779767,0.36530513,0.31916422,0.008978669,0.23613578,0.08587863,0.44032794,0.13911416,0.21128508,0.3705596,0.3168838,0.31631866,0.27563173,0.013842305,0.11127422,0.043368492,0.8091384,-0.0029056594
ATG9A,-0.055503033,-0.017012684,-0.042118497,0.31660095,1.0,0.14591254,-0.11105968,0.7465163,0.7485583,-0.09814122,-0.09034971,0.23949647,-0.015989862,-0.01568633,0.03796693,-0.04565184,0.81531715,0.54772216,0.8216398,-0.008854361,0.7099869,0.04043686,0.09548707,0.7593088,0.016353851,-0.06070417,-0.08426719,-0.055493455,0.007458615,0.0288442,0.7841332,-0.043083373,0.84223604,0.757236,0.6664532,0.81399846,0.8095981,0.7241552,0.74282885,-0.12242803,0.23022789,0.8211517,0.74997985,-0.084460944,0.74209833,-0.014150895,0.79091394,-0.014412409,0.7287415,0.79048353,0.76510197,0.8011898,0.72795343,-0.0139884055,0.18554686,-0.06440542,0.26328254,-0.0021718852
BCAT2,0.61148715,0.7328457,0.60482955,0.16587833,0.14591254,1.0,0.49053675,0.041584462,0.10236062,-0.1525383,0.5740956,0.44632408,0.7542839,0.6995214,0.5400951,0.59425,0.06942148,-0.011626517,0.1843963,0.64111567,0.09192294,-0.051278424,0.6804963,0.11831076,0.7485345,0.63760996,0.56412184,0.6037872,0.80685145,-0.15781282,0.12435915,-0.19943303,0.07122007,0.11844418,0.07141932,0.21690895,0.036932778,0.027428692,0.15173535,-0.19305691,0.56022274,0.1635609,0.21746786,0.6680869,0.089944735,0.7147448,0.13105634,-0.18935493,0.065760486,0.16732252,0.05926142,0.08159513,0.13002428,0.6558398,0.5707611,0.7045015,0.14761391,-0.026257098
BCKDK,0.80616087,0.6294195,0.8921034,-0.015669888,-0.11105968,0.49053675,1.0,-0.13135248,-0.06397289,-0.059590288,0.8739359,-0.029509123,0.7706326,0.70455915,0.7739299,0.75735533,-0.10220003,-0.117736995,-0.060921088,0.76097,-0.06911722,-0.041072037,0.7703979,-0.07821734,0.7192739,0.7160936,0.8876745,0.70545137,0.67970544,-0.07044796,-0.07507796,-0.10520877,-0.11602636,-0.07549152,-0.09416407,-0.015795153,-0.16748466,-0.116556585,-0.027657583,-0.06217641,0.07120516,-0.040722292,-0.025543097,0.7888166,-0.08567427,0.80598736,-0.08553365,-0.12371828,-0.09017272,-0.03275085,-0.11936249,-0.09810171,-0.03695944,0.7362292,0.06889899,0.6735724,0.03496378,0.016101833
BDKRB1,-0.140649,-0.063614614,-0.09380902,0.23342374,0.7465163,0.041584462,-0.13135248,1.0,0.82682484,0.0084444955,-0.15252002,0.20713162,-0.08867839,-0.090563476,-0.054307476,-0.1265744,0.86857134,0.7917423,0.7969205,-0.08002019,0.70352507,-0.025243703,-0.0067446698,0.8042679,-0.059982464,-0.10761872,-0.13186973,-0.08133499,-0.09457378,0.104879335,0.8227982,0.053823892,0.8564162,0.75949323,0.8330159,0.731952,0.8524429,0.88686806,0.8032657,-0.014956795,0.1472691,0.76005554,0.7262152,-0.12952867,0.8559916,-0.06285964,0.76827836,0.082518205,0.8780459,0.7523738,0.74410534,0.87748253,0.80037344,-0.07386336,0.13787329,-0.14933331,0.19139948,-0.048725277
CLCNKB,-0.04038826,-0.034753382,-0.026884943,0.24531132,0.7485583,0.10236062,-0.06397289,0.82682484,1.0,0.015042502,-0.07107358,0.17748275,-0.033321127,-0.019992359,0.039329633,-0.06074118,0.8711741,0.7564964,0.81564283,-0.018957634,0.70406604,0.01651033,0.07460659,0.8130866,0.0028764997,-0.065786034,-0.06559164,-0.04913824,-0.030998608,0.096125774,0.8248448,0.03580288,0.84145594,0.7846914,0.7783671,0.761191,0.8368382,0.8415927,0.798212,-0.028321858,0.14655292,0.777532,0.7345177,-0.060622875,0.83171165,0.013735769,0.7860098,0.06873457,0.856347,0.78736365,0.7801665,0.8507668,0.8133073,-0.0028702505,0.13122018,-0.060704708,0.1910863,-0.012365501
CLEC1A,-0.1099899,-0.14892894,-0.09544692,-0.053091127,-0.09814122,-0.1525383,-0.059590288,0.0084444955,0.015042502,1.0,-0.07043402,-0.14751637,-0.14032516,-0.06582467,-0.0799482,-0.06622955,0.010081098,0.05469252,-0.016114054,-0.09246405,-0.0069338316,-0.049967263,-0.14754537,-0.020306822,-0.08749852,-0.046638314,-0.084842384,-0.049401343,-0.12670979,0.80015004,0.00052713044,0.8667413,-0.039160255,-0.0058973813,0.016904507,-0.07494706,-0.011561792,0.004577917,-0.011421902,0.837213,-0.14544451,-0.004787158,-0.055678282,-0.084740795,0.05879682,-0.11000653,-0.030121973,0.7819077,0.0052385116,-0.047027655,-0.041577242,0.020712871,-0.026123963,-0.103669904,-0.17175946,-0.11729644,-0.09419726,-0.07122857
