Approved_symbol	Chromosome	NCBI_Gene_ID	Chromosome_number	Arm_name	Region_name	Chromosome_arm
A1BG	19q13.43	1	19	q	13.43	19q
A1BG-AS1	19q13.43	503538	19	q	13.43	19q
A1CF	10q11.23	29974	10	q	11.23	10q
A2M	12p13.31	2	12	p	13.31	12p
A2M-AS1	12p13.31	144571	12	p	13.31	12p
A2ML1	12p13.31	144568	12	p	13.31	12p
A2MP1	12p13.31	3	12	p	13.31	12p
A3GALT2	1p35.1	127550	1	p	35.1	1p
A4GALT	22q13.2	53947	22	q	13.2	22q
A4GNT	3q22.3	51146	3	q	22.3	3q
AAAS	12q13.13	8086	12	q	13.13	12q
AACS	12q24.31	65985	12	q	24.31	12q
AACSP1	5q35.3	729522	5	q	35.3	5q
AADAC	3q25.1	13	3	q	25.1	3q
AADACL2	3q25.1	344752	3	q	25.1	3q
AADACL2-AS1	3q25.1	101928142	3	q	25.1	3q
AADACL3	1p36.21	126767	1	p	36.21	1p
AADACL4	1p36.21	343066	1	p	36.21	1p
AADACP1	3q25.1	201651	3	q	25.1	3q
AADAT	4q33	51166	4	q	33	4q
AAGAB	15q23	79719	15	q	23	15q
AAK1	2p13.3	22848	2	p	13.3	2p
AAMDC	11q14.1	28971	11	q	14.1	11q
AAMP	2q35	14	2	q	35	2q
AANAT	17q25.1	15	17	q	25.1	17q
AAR2	20q11.23	25980	20	q	11.23	20q
AARD	8q24.11	441376	8	q	24.11	8q
AARS1	16q22.1	16	16	q	22.1	16q
AARS1P1	4q28.3	106480683	4	q	28.3	4q
AARS2	6p21.1	57505	6	p	21.1	6p
AARSD1	17q21.31	80755	17	q	21.31	17q
AASDH	4q12	132949	4	q	12	4q
AASDHPPT	11q22.3	60496	11	q	22.3	11q
AASS	7q31.32	10157	7	q	31.32	7q
AATBC	21q22.3	284837	21	q	22.3	21q
AATF	17q12	26574	17	q	12	17q
AATK	17q25.3	9625	17	q	25.3	17q
AAVS1	19q13	17	19	q	13	19q
ABALON	20q11.21	103021294	20	q	11.21	20q
ABAT	16p13.2	18	16	p	13.2	16p
ABCA1	9q31.1	19	9	q	31.1	9q
ABCA2	9q34.3	20	9	q	34.3	9q
ABCA3	16p13.3	21	16	p	13.3	16p
ABCA3P1	16p12.2	342293	16	p	12.2	16p
ABCA4	1p22.1	24	1	p	22.1	1p
ABCA5	17q24.3	23461	17	q	24.3	17q
ABCA6	17q24.2-q24.3	23460	17	q	24.2	17q
ABCA7	19p13.3	10347	19	p	13.3	19p
ABCA8	17q24.2	10351	17	q	24.2	17q
ABCA9	17q24.2	10350	17	q	24.2	17q
ABCA10	17q24.3	10349	17	q	24.3	17q
ABCA11P	4p16.3	79963	4	p	16.3	4p
ABCA12	2q35	26154	2	q	35	2q
ABCA13	7p12.3	154664	7	p	12.3	7p
ABCA15P	16p12.2	400508	16	p	12.2	16p
ABCA17P	16p13.3	650655	16	p	13.3	16p
ABCB1	7q21.12	5243	7	q	21.12	7q
ABCB4	7q21.12	5244	7	q	21.12	7q
ABCB5	7p21.1	340273	7	p	21.1	7p
ABCB6	2q35	10058	2	q	35	2q
ABCB7	Xq13.3	22	X	q	13.3	Xq
ABCB8	7q36.1	11194	7	q	36.1	7q
ABCB9	12q24.31	23457	12	q	24.31	12q
ABCB10	1q42.13	23456	1	q	42.13	1q
ABCB10P1	15q11.2	56476	15	q	11.2	15q
ABCB10P3	15q13.1	728248	15	q	13.1	15q
ABCB10P4	15q13.1	100132289	15	q	13.1	15q
ABCB11	2q31.1	8647	2	q	31.1	2q
ABCC1	16p13.11	4363	16	p	13.11	16p
ABCC2	10q24.2	1244	10	q	24.2	10q
ABCC3	17q21.33	8714	17	q	21.33	17q
ABCC4	13q32.1	10257	13	q	32.1	13q
ABCC5	3q27.1	10057	3	q	27.1	3q
ABCC6	16p13.11	368	16	p	13.11	16p
