Symbol	Homologue
A1BG	True
A1CF	True
A2M	True
A2ML1	True
A3GALT2	True
A4GALT	True
A4GNT	True
AAAS	True
AACS	True
AADAC	True
AADACL2	True
AADACL3	True
AADACL4	True
AADAT	True
AAED1	True
AAGAB	True
AAK1	True
AAMDC	True
AAMP	True
AANAT	True
AAR2	True
AARD	True
AARS	True
AARS2	True
AARSD1	True
AASDH	True
AASDHPPT	True
AASS	True
AATF	True
AATK	True
ABAT	True
ABCA1	True
ABCA10	True
ABCA12	True
ABCA13	True
ABCA2	True
ABCA3	True
ABCA4	True
ABCA5	True
ABCA6	True
ABCA7	True
ABCA8	True
ABCA9	True
ABCB1	True
ABCB10	True
ABCB11	True
ABCB4	True
ABCB5	True
ABCB6	True
ABCB7	True
ABCB8	True
ABCB9	True
ABCC1	True
ABCC10	True
ABCC11	True
ABCC12	True
ABCC2	True
ABCC3	True
ABCC4	True
ABCC5	True
ABCC6	True
ABCC8	True
ABCC9	True
ABCD1	True
ABCD2	True
ABCD3	True
ABCD4	True
ABCE1	True
ABCF1	True
ABCF2	True
ABCF3	True
ABCG1	True
ABCG2	True
ABCG4	True
ABCG5	True
ABCG8	True
ABHD1	True
ABHD10	True
ABHD11	True
ABHD12	True
ABHD12B	True
ABHD13	True
ABHD14A	True
ABHD14B	True
ABHD15	True
ABHD16A	True
ABHD16B	True
ABHD17A	True
ABHD17B	True
ABHD17C	True
ABHD2	True
ABHD3	True
ABHD4	True
ABHD5	True
ABHD6	True
ABHD8	True
ABI1	True
ABI2	True
ABI3	True
ABI3BP	True
ABL1	True
ABL2	True
ABLIM1	True
ABLIM2	True
ABLIM3	True
ABO	True
ABR	True
ABRA	True
ABRACL	True
ABT1	True
ABTB1	True
ABTB2	True
AC010731.4	False
AC011718.2	False
AC022173.2	False
AC137932.6	False
ACAA1	True
ACAA2	True
ACACA	True
ACACB	True
ACAD10	True
ACAD11	True
ACAD8	True
ACAD9	True
ACADL	True
ACADM	True
ACADS	True
ACADSB	True
ACADVL	True
ACAN	True
ACAP1	True
ACAP2	True
ACAP3	True
ACAT1	True
ACAT2	True
ACBD3	True
ACBD4	True
