Approved symbol	Chromosome	NCBI Gene ID
A1BG	19q13.43	1
A1BG-AS1	19q13.43	503538
A1CF	10q11.23	29974
A1S9T		
A2M	12p13.31	2
A2M-AS1	12p13.31	144571
A2ML1	12p13.31	144568
A2ML1-AS1	12p13.31	
A2ML1-AS2	12p13.31	
A2MP1	12p13.31	3
A2MR		
A2MRAP		
A3GALT2	1p35.1	127550
A4GALT	22q13.2	53947
A4GNT	3q22.3	51146
A12M1		
A12M2		
A12M3		
A12M4		
AA	11p15	
AAAS	12q13.13	8086
AABT		
AAC1		
AAC2		
AACS	12q24.31	65985
AACSP1	5q35.3	729522
AACT		
AADAC	3q25.1	13
AADACL2	3q25.1	344752
AADACL2-AS1	3q25.1	101928142
AADACL3	1p36.21	126767
AADACL4	1p36.21	343066
AADACP1	3q25.1	201651
AADAT	4q33	51166
AAGAB	15q23	79719
AAK1	2p13.3	22848
AAMDC	11q14.1	28971
AAMP	2q35	14
AANAT	17q25.1	15
AAR2	20q11.23	25980
AARD	8q24.11	441376
AARS1	16q22.1	16
AARS1P1	4q28.3	106480683
AARS2	6p21.1	57505
AARSD1	17q21.31	80755
AARSD1P1	Xq13.2	
AASDH	4q12	132949
AASDHPPT	11q22.3	60496
AASS	7q31.32	10157
AATBC	21q22.3	284837
AATF	17q12	26574
AATK	17q25.3	9625
AAVS1	19q13	17
ABALON	20q11.21	103021294
ABAT	16p13.2	18
ABC1		
ABC2		
ABC3		
ABC7		
ABC50		
ABCA1	9q31.1	19
ABCA2	9q34.3	20
ABCA3	16p13.3	21
ABCA3P1	16p12.2	342293
ABCA4	1p22.1	24
ABCA5	17q24.3	23461
ABCA6	17q24.2-q24.3	23460
ABCA7	19p13.3	10347
ABCA8	17q24.2	10351
ABCA9	17q24.2	10350
ABCA9-AS1	17q24.2	
ABCA10	17q24.3	10349
ABCA11P	4p16.3	79963
ABCA12	2q35	26154
ABCA13	7p12.3	154664
ABCA15P	16p12.2	400508
ABCA17P	16p13.3	650655
ABCB1	7q21.12	5243
ABCB2		
ABCB3		
ABCB4	7q21.12	5244
ABCB5	7p21.1	340273
ABCB6	2q35	10058
ABCB7	Xq13.3	22
ABCB8	7q36.1	11194
ABCB9	12q24.31	23457
ABCB10	1q42.13	23456
ABCB10P1	15q11.2	56476
ABCB10P2	15q11.2	
ABCB10P3	15q13.1	728248
ABCB10P4	15q13.1	100132289
ABCB11	2q31.1	8647
ABCC1	16p13.11	4363
ABCC2	10q24.2	1244
ABCC3	17q21.33	8714
ABCC4	13q32.1	10257
ABCC5	3q27.1	10057
ABCC5-AS1	3q27.1	
ABCC6	16p13.11	368
ABCC6P1	16p12.3	653190
ABCC6P2	16p13.11	730013
ABCC7		
ABCC8	11p15.1	6833
ABCC9	12p12.1	10060
ABCC10	6p21.1	89845
ABCC11	16q12.1	85320
ABCC12	16q12.1	94160
ABCC13	21q11.2	150000
ABCD1	Xq28	215
ABCD1P1	2p11.2	23785
ABCD1P2	10p11.1	26983
ABCD1P3	16p11.2	26982
ABCD1P4	22q11.1	26957
ABCD1P5	2p11.1	642762
ABCD2	12q12	225
ABCD3	1p21.3	5825
ABCD4	14q24.3	5826
ABCE1	4q31.21	6059
ABCF1	6p21.33	23
ABCF1-DT	6p21.33	107986587
ABCF2	7q36.1	10061
ABCF2-H2BK1	7q36.1	114483834
ABCF2P1	3p11.1	344653
ABCF2P2	7q11.22	100422059
ABCF3	3q27.1	55324
ABCG1	21q22.3	9619
ABCG2	4q22.1	9429
ABCG4	11q23.3	64137
ABCG5	2p21	64240
ABCG8	2p21	64241
ABCR		
ABHD1	2p23.3	84696
ABHD2	15q26.1	11057
ABHD3	18q11.2	171586
ABHD4	14q11.2	63874
ABHD5	3p21.33	51099
ABHD6	3p14.3	57406
ABHD8	19p13.11	79575
ABHD10	3q13.2	55347
ABHD11	7q11.23	83451
ABHD11-AS2	7q11.23	
ABHD12	20p11.21	26090
ABHD12B	14q22.1	145447
ABHD13	13q33.3	84945
ABHD14A	3p21.2	25864
ABHD14A-ACY1	3p21.2	100526760
ABHD14B	3p21.2	84836
ABHD15	17q11.2	116236
ABHD15-AS1	17q11.2	
ABHD16A	6p21.33	7920
ABHD16B	20q13.33	140701
ABHD17A	19p13.3	81926
ABHD17AP1	1q21.2	728917
ABHD17AP2	1q21.1	
ABHD17AP3	1q41	648359
ABHD17AP4	22q11.21	729495
ABHD17AP5	22q11.22	91219
ABHD17AP6	17p11.2	644988
ABHD17AP7	16p11.2	100133212
ABHD17AP8	16p11.2	647144
ABHD17AP9	16p11.2	100132251
ABHD17B	9q21.13	51104
ABHD17C	15q25.1	58489
ABHD18	4q28.2	80167
ABI1	10p12.1	10006
ABI1P1	14q22.3	326268
ABI2	2q33.2	10152
ABI3	17q21.32	51225
ABI3BP	3q12.2	25890
ABITRAM	9q31.3	54942
ABITRAMP1	13q14.13	390403
ABL1	9q34.12	25
ABL2	1q25.2	27
ABLIM1	10q25.3	3983
ABLIM2	4p16.1	84448
ABLIM3	5q32	22885
ABO	9q34.2	28
ABR	17p13.3	29
